cycle_n,time_s,CO2 %,O2 %,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,CCMB1:pCB' K194M+pCCM'.1,CCMB1:pCB' K194M+pCCM'.2,CCMB1:pCB' K194M+pCCM'.3,CCMB1:pCB' K194M+pCCM'.4,CCMB1:p1A+pFA-sfGFP.1,CCMB1:p1A+pFA-sfGFP.2,CCMB1:p1A+pFA-sfGFP.3,CCMB1:p1A+pFA-sfGFP.4,CCMB1:pCB'+pFA-sfGFP.1,CCMB1:pCB'+pFA-sfGFP.2,CCMB1:pCB'+pFA-sfGFP.3,CCMB1:pCB'+pFA-sfGFP.4,CCMB1:pCB' K194M+pCCM'.1,CCMB1:pCB' K194M+pCCM'.2,CCMB1:pCB' K194M+pCCM'.3,CCMB1:pCB' K194M+pCCM'.4,CCMB1:p1A+pFA-sfGFP.1,CCMB1:p1A+pFA-sfGFP.2,CCMB1:p1A+pFA-sfGFP.3,CCMB1:p1A+pFA-sfGFP.4,CCMB1:pCB'+pFA-sfGFP.1,CCMB1:pCB'+pFA-sfGFP.2,CCMB1:pCB'+pFA-sfGFP.3,CCMB1:pCB'+pFA-sfGFP.4,CCMB1:pCB' K194M+pCCM'.1,CCMB1:pCB' K194M+pCCM'.2,CCMB1:pCB' K194M+pCCM'.3,CCMB1:pCB' K194M+pCCM'.4,CCMB1:p1A+pFA-sfGFP.1,CCMB1:p1A+pFA-sfGFP.2,CCMB1:p1A+pFA-sfGFP.3,CCMB1:p1A+pFA-sfGFP.4,CCMB1:pCB'+pFA-sfGFP.1,CCMB1:pCB'+pFA-sfGFP.2,CCMB1:pCB'+pFA-sfGFP.3,CCMB1:pCB'+pFA-sfGFP.4,CCMB1:pCB' C173S+pFA-sfGFP.1,CCMB1:pCB' C173S+pFA-sfGFP.2,CCMB1:pCB' C173S+pFA-sfGFP.3,CCMB1:pCB' C173S+pFA-sfGFP.4,CCMB1:pCB'+pCCM'.1,CCMB1:pCB'+pCCM'.2,CCMB1:pCB'+pCCM'.3,CCMB1:pCB'+pCCM'.4,CCMB1:pCB' Y72R+pCCM'.1,CCMB1:pCB' Y72R+pCCM'.2,CCMB1:pCB' Y72R+pCCM'.3,CCMB1:pCB' Y72R+pCCM'.4,CCMB1:pCB' C173S+pFA-sfGFP.1,CCMB1:pCB' C173S+pFA-sfGFP.2,CCMB1:pCB' C173S+pFA-sfGFP.3,CCMB1:pCB' C173S+pFA-sfGFP.4,CCMB1:pCB'+pCCM'.1,CCMB1:pCB'+pCCM'.2,CCMB1:pCB'+pCCM'.3,CCMB1:pCB'+pCCM'.4,CCMB1:pCB' Y72R+pCCM'.1,CCMB1:pCB' Y72R+pCCM'.2,CCMB1:pCB' Y72R+pCCM'.3,CCMB1:pCB' Y72R+pCCM'.4,CCMB1:pCB' C173S+pFA-sfGFP.1,CCMB1:pCB' C173S+pFA-sfGFP.2,CCMB1:pCB' C173S+pFA-sfGFP.3,CCMB1:pCB' C173S+pFA-sfGFP.4,CCMB1:pCB'+pCCM'.1,CCMB1:pCB'+pCCM'.2,CCMB1:pCB'+pCCM'.3,CCMB1:pCB'+pCCM'.4,CCMB1:pCB' Y72R+pCCM'.1,CCMB1:pCB' Y72R+pCCM'.2,CCMB1:pCB' Y72R+pCCM'.3,CCMB1:pCB' Y72R+pCCM'.4,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
1,0.0,0.6,20.5,0.0411,0.0418,0.0415,0.0413,0.0431,0.0409,0.0421,0.0436,0.0431,0.0449,0.0411,0.0413,0.043,0.0466,0.0464,0.0459,0.0485,0.0424,0.0423,0.0425,0.0429,0.0446,0.042,0.0493,0.0444,0.0433,0.0452,0.0425,0.0427,0.0431,0.042,0.042,0.0424,0.0435,0.0436,0.044,0.0431,0.0434,0.0446,0.0436,0.044,0.044,0.0436,0.0453,0.0467,0.0438,0.0423,0.049,0.0435,0.0452,0.0442,0.0428,0.0438,0.0449,0.0454,0.0437,0.0442,0.0537,0.0508,0.0494,0.0467,0.0435,0.0449,0.0462,0.0494,0.0451,0.0442,0.047,0.0445,0.0465,0.0457,0.0433,0.0546,0.0444,0.0473,0.0459,0.0506,0.0457,0.0459,0.0506,0.0459,0.0464,0.0431,0.0475,0.0418,0.0413,0.0421,0.0418,0.0435,0.0419,0.041,0.0436,0.0418,0.0421,0.0464,0.0428
2,1834.792,0.5,20.6,0.0411,0.0418,0.0428,0.0416,0.0432,0.0409,0.0418,0.0437,0.0429,0.0448,0.0411,0.0423,0.0455,0.0461,0.0463,0.0449,0.0455,0.0451,0.0449,0.0454,0.0461,0.0465,0.0458,0.0655,0.0943,0.0457,0.0457,0.0448,0.0454,0.0476,0.0454,0.0449,0.0467,0.0464,0.0459,0.0447,0.0441,0.0452,0.0454,0.045,0.0455,0.0468,0.0472,0.045,0.0545,0.0463,0.0452,0.0586,0.0652,0.051,0.0462,0.0446,0.0462,0.047,0.0462,0.0478,0.046,0.0462,0.0465,0.0452,0.0527,0.0456,0.0465,0.0447,0.0468,0.0466,0.0509,0.0541,0.0461,0.0473,0.0494,0.0523,0.0709,0.0471,0.0466,0.0447,0.0457,0.0448,0.0507,0.0516,0.0486,0.0473,0.0467,0.0465,0.0413,0.0409,0.0418,0.0415,0.0431,0.0413,0.0411,0.0437,0.042,0.0417,0.0462,0.0445
3,3669.508,0.5,20.6,0.0412,0.0418,0.0425,0.0415,0.0435,0.0409,0.0415,0.0436,0.0429,0.0462,0.0411,0.0434,0.0559,0.0471,0.0474,0.0455,0.0464,0.0449,0.0484,0.048,0.0467,0.0475,0.0461,0.083,0.1366,0.0457,0.0456,0.0451,0.0471,0.0491,0.0453,0.0452,0.0475,0.0477,0.0461,0.0457,0.0462,0.0451,0.0451,0.0451,0.0459,0.0475,0.0494,0.046,0.0601,0.047,0.0458,0.0728,0.077,0.0536,0.0469,0.0453,0.0466,0.0473,0.0462,0.0482,0.0475,0.0472,0.0471,0.0462,0.0557,0.046,0.0466,0.0452,0.0471,0.0515,0.0591,0.0539,0.0461,0.0477,0.0517,0.0568,0.1089,0.048,0.0482,0.0449,0.0467,0.0452,0.0516,0.0553,0.0497,0.0496,0.0483,0.048,0.0413,0.0413,0.0421,0.0417,0.0434,0.0417,0.041,0.0442,0.0423,0.0418,0.0463,0.0558
4,5504.237,0.8,20.5,0.041,0.0417,0.0416,0.0412,0.0433,0.0413,0.0413,0.0436,0.0428,0.0426,0.042,0.0425,0.0545,0.0477,0.047,0.0451,0.0451,0.0449,0.045,0.0454,0.047,0.0478,0.0463,0.0759,0.1693,0.0455,0.0453,0.0448,0.0457,0.0499,0.0454,0.0452,0.047,0.0475,0.0479,0.0453,0.0513,0.0447,0.0453,0.045,0.0453,0.0479,0.0488,0.0477,0.0645,0.0476,0.0463,0.0715,0.1138,0.0546,0.0467,0.0452,0.0465,0.0472,0.0464,0.0491,0.0465,0.0471,0.0473,0.0459,0.0574,0.0459,0.0469,0.0455,0.0471,0.0454,0.0463,0.0753,0.0457,0.0475,0.0533,0.0868,0.0959,0.048,0.0478,0.045,0.0479,0.0454,0.0535,0.058,0.049,0.0478,0.0471,0.0484,0.0413,0.0411,0.0417,0.0416,0.0431,0.0417,0.0414,0.0434,0.0436,0.0416,0.0461,0.0555
5,7339.041,0.5,20.6,0.0412,0.0419,0.0415,0.0413,0.0431,0.0407,0.0415,0.0435,0.0427,0.0426,0.041,0.0425,0.0645,0.0492,0.0479,0.0451,0.0455,0.045,0.0454,0.0454,0.0469,0.0474,0.0466,0.1323,0.24,0.0457,0.0456,0.0447,0.047,0.0508,0.0457,0.0451,0.0468,0.0479,0.0467,0.0456,0.0851,0.0448,0.0451,0.045,0.0454,0.0481,0.0517,0.0483,0.0659,0.0476,0.0465,0.0951,0.0807,0.0558,0.0467,0.0451,0.0467,0.0472,0.0465,0.0497,0.0467,0.0477,0.0477,0.0469,0.0592,0.0462,0.0471,0.0449,0.047,0.0457,0.0549,0.0586,0.0455,0.0475,0.0542,0.0997,0.1014,0.0485,0.0476,0.0449,0.046,0.0448,0.0547,0.0597,0.0475,0.0478,0.0474,0.0487,0.0413,0.0412,0.042,0.0416,0.0434,0.0417,0.0412,0.0454,0.0425,0.0418,0.0461,0.0501
6,9173.855,0.5,20.6,0.0411,0.0419,0.0415,0.0413,0.0433,0.0409,0.0412,0.0435,0.0425,0.0429,0.041,0.0421,0.0908,0.0473,0.0463,0.0448,0.0453,0.0447,0.0455,0.0455,0.0466,0.0476,0.0464,0.1273,0.296,0.0458,0.0454,0.0446,0.0478,0.0516,0.0456,0.0453,0.0469,0.0472,0.0466,0.046,0.1018,0.0446,0.0453,0.0448,0.0467,0.0482,0.0507,0.0472,0.0675,0.0472,0.0463,0.1447,0.0863,0.0562,0.0467,0.0459,0.0464,0.0471,0.0469,0.05,0.0463,0.0481,0.0476,0.0464,0.0586,0.0462,0.047,0.0451,0.0476,0.0529,0.0583,0.0471,0.0457,0.0474,0.0554,0.1094,0.1288,0.0489,0.0486,0.0449,0.0459,0.0452,0.0558,0.061,0.0473,0.048,0.0475,0.0477,0.041,0.0409,0.0418,0.0415,0.0431,0.0412,0.0407,0.0453,0.0418,0.0417,0.0462,0.0512
7,11008.723,0.5,20.6,0.0413,0.0419,0.0416,0.0414,0.0434,0.041,0.0416,0.0436,0.0428,0.0428,0.041,0.0416,0.0867,0.0488,0.047,0.0449,0.0452,0.0447,0.0453,0.0457,0.0468,0.0475,0.0467,0.1413,0.2801,0.0452,0.0477,0.0461,0.0571,0.052,0.0457,0.0453,0.047,0.0478,0.0462,0.0471,0.0552,0.0451,0.046,0.045,0.0449,0.0494,0.0561,0.045,0.0677,0.0478,0.0466,0.12,0.1403,0.0565,0.0468,0.0449,0.047,0.0477,0.0471,0.0506,0.0464,0.0474,0.0473,0.0464,0.0596,0.0475,0.0484,0.0452,0.0482,0.0458,0.0968,0.0831,0.0488,0.0474,0.0552,0.1454,0.1063,0.0489,0.0496,0.0449,0.0545,0.0471,0.0565,0.0619,0.0481,0.0506,0.0475,0.0491,0.0414,0.0413,0.0421,0.0418,0.0432,0.0417,0.0407,0.0438,0.0419,0.0419,0.0464,0.0525
8,12843.526,0.5,20.6,0.0411,0.0419,0.0416,0.0414,0.0434,0.041,0.0413,0.0436,0.0425,0.0428,0.0424,0.0414,0.0486,0.0465,0.046,0.0448,0.0452,0.0452,0.0461,0.0455,0.0469,0.0476,0.0465,0.1539,0.2825,0.0477,0.0507,0.0453,0.0577,0.052,0.0459,0.0455,0.047,0.0473,0.0462,0.046,0.0547,0.0448,0.0452,0.0449,0.0449,0.051,0.0637,0.0454,0.0688,0.0475,0.0463,0.1648,0.1538,0.0567,0.0517,0.0455,0.0676,0.0566,0.0477,0.0502,0.0463,0.0474,0.0479,0.0472,0.0589,0.0478,0.047,0.0449,0.0471,0.054,0.2272,0.0901,0.0457,0.0478,0.0559,0.1642,0.115,0.049,0.0509,0.0449,0.0528,0.0531,0.0631,0.0622,0.047,0.0556,0.0475,0.048,0.0413,0.0411,0.0419,0.0417,0.0433,0.0414,0.0409,0.0438,0.0417,0.0417,0.0462,0.0566
9,14678.272,0.5,20.6,0.0413,0.0421,0.0418,0.0414,0.0432,0.0408,0.0416,0.0436,0.0426,0.0426,0.0421,0.0415,0.0754,0.0484,0.0476,0.0448,0.0451,0.0449,0.0463,0.0456,0.0465,0.0475,0.0467,0.2039,0.2431,0.0454,0.0477,0.045,0.0472,0.0523,0.0458,0.0454,0.047,0.0474,0.0463,0.0462,0.1327,0.0458,0.0501,0.0462,0.0719,0.0492,0.0507,0.0461,0.068,0.0472,0.0463,0.1781,0.1537,0.0571,0.0475,0.045,0.0478,0.0476,0.0472,0.0504,0.0469,0.0475,0.0472,0.0466,0.0614,0.0463,0.0489,0.0452,0.047,0.0491,0.1297,0.058,0.0455,0.0476,0.0553,0.188,0.1388,0.0493,0.0494,0.0452,0.0484,0.0454,0.0589,0.0624,0.0486,0.0484,0.0474,0.048,0.0413,0.0411,0.0417,0.0417,0.0431,0.0415,0.0409,0.0441,0.0421,0.0421,0.0463,0.0594
10,16513.103,0.5,20.6,0.0411,0.0419,0.0415,0.0412,0.0433,0.0408,0.0414,0.0434,0.0425,0.0424,0.0411,0.0408,0.0453,0.0458,0.0465,0.0446,0.0449,0.0447,0.0453,0.0456,0.0465,0.0472,0.0465,0.183,0.2808,0.0471,0.0471,0.0463,0.046,0.0519,0.0457,0.0455,0.0467,0.0469,0.0459,0.0461,0.1081,0.047,0.0467,0.0449,0.0448,0.0492,0.05,0.0453,0.0679,0.0469,0.0461,0.1926,0.1445,0.0568,0.0468,0.045,0.047,0.0474,0.0469,0.0502,0.0461,0.0472,0.0475,0.0464,0.0605,0.0463,0.0492,0.0446,0.0466,0.0471,0.0572,0.1187,0.0454,0.0474,0.0554,0.1843,0.1486,0.0491,0.0512,0.0447,0.0652,0.0484,0.0597,0.0621,0.0471,0.048,0.0469,0.0471,0.0413,0.041,0.0419,0.0417,0.0433,0.0414,0.0409,0.0433,0.0427,0.0423,0.0463,0.0606
