cycle_n,time_s,CO2 %,O2 %,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,CCMB1:pCB' K194M+pCCM'.1,CCMB1:pCB' K194M+pCCM'.2,CCMB1:pCB' K194M+pCCM'.3,CCMB1:pCB' K194M+pCCM'.4,CCMB1:p1A+pFA-sfGFP.1,CCMB1:p1A+pFA-sfGFP.2,CCMB1:p1A+pFA-sfGFP.3,CCMB1:p1A+pFA-sfGFP.4,CCMB1:pCB'+pFA-sfGFP.1,CCMB1:pCB'+pFA-sfGFP.2,CCMB1:pCB'+pFA-sfGFP.3,CCMB1:pCB'+pFA-sfGFP.4,CCMB1:pCB' K194M+pCCM'.1,CCMB1:pCB' K194M+pCCM'.2,CCMB1:pCB' K194M+pCCM'.3,CCMB1:pCB' K194M+pCCM'.4,CCMB1:p1A+pFA-sfGFP.1,CCMB1:p1A+pFA-sfGFP.2,CCMB1:p1A+pFA-sfGFP.3,CCMB1:p1A+pFA-sfGFP.4,CCMB1:pCB'+pFA-sfGFP.1,CCMB1:pCB'+pFA-sfGFP.2,CCMB1:pCB'+pFA-sfGFP.3,CCMB1:pCB'+pFA-sfGFP.4,CCMB1:pCB' K194M+pCCM'.1,CCMB1:pCB' K194M+pCCM'.2,CCMB1:pCB' K194M+pCCM'.3,CCMB1:pCB' K194M+pCCM'.4,CCMB1:p1A+pFA-sfGFP.1,CCMB1:p1A+pFA-sfGFP.2,CCMB1:p1A+pFA-sfGFP.3,CCMB1:p1A+pFA-sfGFP.4,CCMB1:pCB'+pFA-sfGFP.1,CCMB1:pCB'+pFA-sfGFP.2,CCMB1:pCB'+pFA-sfGFP.3,CCMB1:pCB'+pFA-sfGFP.4,CCMB1:pCB' C173S+pFA-sfGFP.1,CCMB1:pCB' C173S+pFA-sfGFP.2,CCMB1:pCB' C173S+pFA-sfGFP.3,CCMB1:pCB' C173S+pFA-sfGFP.4,CCMB1:pCB'+pCCM'.1,CCMB1:pCB'+pCCM'.2,CCMB1:pCB'+pCCM'.3,CCMB1:pCB'+pCCM'.4,CCMB1:pCB' Y72R+pCCM'.1,CCMB1:pCB' Y72R+pCCM'.2,CCMB1:pCB' Y72R+pCCM'.3,CCMB1:pCB' Y72R+pCCM'.4,CCMB1:pCB' C173S+pFA-sfGFP.1,CCMB1:pCB' C173S+pFA-sfGFP.2,CCMB1:pCB' C173S+pFA-sfGFP.3,CCMB1:pCB' C173S+pFA-sfGFP.4,CCMB1:pCB'+pCCM'.1,CCMB1:pCB'+pCCM'.2,CCMB1:pCB'+pCCM'.3,CCMB1:pCB'+pCCM'.4,CCMB1:pCB' Y72R+pCCM'.1,CCMB1:pCB' Y72R+pCCM'.2,CCMB1:pCB' Y72R+pCCM'.3,CCMB1:pCB' Y72R+pCCM'.4,CCMB1:pCB' C173S+pFA-sfGFP.1,CCMB1:pCB' C173S+pFA-sfGFP.2,CCMB1:pCB' C173S+pFA-sfGFP.3,CCMB1:pCB' C173S+pFA-sfGFP.4,CCMB1:pCB'+pCCM'.1,CCMB1:pCB'+pCCM'.2,CCMB1:pCB'+pCCM'.3,CCMB1:pCB'+pCCM'.4,CCMB1:pCB' Y72R+pCCM'.1,CCMB1:pCB' Y72R+pCCM'.2,CCMB1:pCB' Y72R+pCCM'.3,CCMB1:pCB' Y72R+pCCM'.4,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
1,0.0,5.0,19.8,0.0392,0.0393,0.0405,0.0393,0.0403,0.0389,0.0401,0.0403,0.0406,0.039,0.0394,0.0393,0.04,0.0428,0.0408,0.0475,0.0434,0.0407,0.04,0.0408,0.0403,0.0411,0.0413,0.0418,0.0397,0.0463,0.0418,0.0509,0.0456,0.0431,0.0415,0.0495,0.0458,0.0485,0.0484,0.0432,0.0405,0.0441,0.0554,0.0445,0.0474,0.0469,0.0413,0.0421,0.0406,0.0421,0.0421,0.0484,0.0437,0.0438,0.0415,0.0405,0.0405,0.0413,0.0393,0.0403,0.0407,0.0404,0.0409,0.04,0.0488,0.0478,0.0432,0.0409,0.0402,0.0439,0.0395,0.0446,0.0415,0.0413,0.0441,0.0405,0.0441,0.0436,0.0413,0.0414,0.04,0.0399,0.0403,0.042,0.0422,0.0401,0.045,0.0402,0.0395,0.0392,0.0405,0.0397,0.0399,0.0393,0.0391,0.0405,0.0393,0.0401,0.0397,0.039
2,1832.095,5.0,19.7,0.039,0.0394,0.0404,0.0393,0.0402,0.0389,0.0399,0.0402,0.0404,0.0391,0.0394,0.0393,0.0425,0.0444,0.0429,0.0432,0.044,0.0435,0.0435,0.0431,0.0443,0.0453,0.0422,0.0425,0.0424,0.0456,0.0429,0.0485,0.0437,0.0427,0.0443,0.0451,0.0443,0.0448,0.0425,0.0429,0.042,0.0433,0.0429,0.0429,0.0433,0.044,0.0437,0.0437,0.0445,0.0448,0.0439,0.042,0.0419,0.0445,0.0449,0.043,0.0448,0.0454,0.0436,0.0443,0.0448,0.0442,0.0445,0.043,0.0429,0.0433,0.0442,0.0425,0.0439,0.0448,0.0432,0.0507,0.0444,0.0439,0.0451,0.0429,0.0427,0.0425,0.0443,0.0427,0.0439,0.0435,0.0439,0.0441,0.0436,0.0439,0.0454,0.0427,0.0395,0.0392,0.0392,0.0396,0.0397,0.0392,0.039,0.0404,0.0392,0.0401,0.0395,0.039
3,3664.87,4.9,19.7,0.0391,0.0393,0.0403,0.0393,0.04,0.0388,0.0398,0.0401,0.0405,0.039,0.0394,0.0391,0.0424,0.0444,0.0427,0.0431,0.0437,0.0433,0.0436,0.0432,0.0451,0.0456,0.0429,0.0431,0.0423,0.0457,0.0428,0.0503,0.0433,0.0426,0.0445,0.0449,0.0449,0.0461,0.0431,0.0436,0.042,0.0432,0.0429,0.0427,0.043,0.0437,0.0439,0.0435,0.0447,0.0454,0.0452,0.0423,0.0421,0.0449,0.045,0.0431,0.0452,0.0456,0.0436,0.0443,0.0445,0.0443,0.0453,0.0437,0.0431,0.0436,0.0446,0.0425,0.0445,0.0452,0.0434,0.0549,0.0446,0.0441,0.0458,0.0438,0.0429,0.043,0.0446,0.0428,0.0439,0.0439,0.0443,0.0441,0.0438,0.0444,0.046,0.0435,0.0394,0.0391,0.0392,0.0396,0.0397,0.0391,0.039,0.0403,0.0391,0.04,0.0394,0.0389
4,5497.839,5.0,19.7,0.0391,0.0393,0.0404,0.0393,0.0401,0.0388,0.0398,0.0401,0.0405,0.0391,0.0394,0.0391,0.0423,0.0445,0.0427,0.0431,0.0437,0.0433,0.0441,0.0434,0.0449,0.0455,0.0431,0.0431,0.0421,0.0457,0.0427,0.0527,0.0432,0.0425,0.0447,0.0451,0.0446,0.0453,0.0434,0.0441,0.042,0.0434,0.043,0.0427,0.0429,0.0437,0.0441,0.0437,0.0449,0.0455,0.0454,0.0429,0.0421,0.0455,0.0454,0.0433,0.0453,0.0457,0.0438,0.0444,0.0446,0.0444,0.0456,0.0443,0.0431,0.044,0.0448,0.0426,0.0444,0.0454,0.0437,0.058,0.0447,0.0445,0.0461,0.0454,0.0429,0.0433,0.0449,0.043,0.0442,0.0441,0.0445,0.0444,0.044,0.0448,0.0465,0.0441,0.0395,0.0391,0.0392,0.0396,0.0396,0.0391,0.039,0.0404,0.0393,0.04,0.0394,0.0389
5,7330.779,5.0,19.7,0.0391,0.0392,0.0404,0.0393,0.0401,0.0388,0.0398,0.0402,0.0404,0.039,0.0394,0.0391,0.0422,0.0444,0.0426,0.0431,0.0436,0.0433,0.0442,0.0433,0.0446,0.0454,0.0429,0.0437,0.0421,0.0456,0.0427,0.0549,0.0431,0.0424,0.0448,0.0452,0.0445,0.0451,0.043,0.044,0.0421,0.0433,0.0427,0.0426,0.0428,0.0438,0.0445,0.0438,0.0447,0.045,0.0454,0.0429,0.0422,0.0457,0.0455,0.0433,0.0452,0.0459,0.0437,0.0446,0.0447,0.0445,0.0455,0.0441,0.0431,0.0443,0.0451,0.0428,0.0447,0.0454,0.0436,0.0595,0.0446,0.0444,0.0458,0.0439,0.0428,0.0438,0.0453,0.0431,0.0444,0.0444,0.0446,0.0445,0.0441,0.0447,0.0463,0.0439,0.0394,0.0391,0.0392,0.0395,0.0397,0.0391,0.039,0.0404,0.0392,0.04,0.0395,0.0389
6,9163.679,5.0,19.7,0.0391,0.0393,0.0403,0.0392,0.0401,0.0389,0.0398,0.0401,0.0404,0.039,0.0394,0.0391,0.0423,0.0443,0.0427,0.043,0.0438,0.0433,0.0445,0.0434,0.0447,0.0453,0.043,0.0438,0.042,0.0454,0.0427,0.0568,0.0432,0.0424,0.0451,0.0454,0.0444,0.045,0.0432,0.0441,0.0419,0.0433,0.0428,0.0426,0.0428,0.0437,0.0448,0.0439,0.0444,0.0447,0.0452,0.0429,0.0424,0.0464,0.0457,0.0435,0.0451,0.0457,0.0438,0.0445,0.0448,0.0445,0.0454,0.044,0.0433,0.0448,0.0454,0.043,0.0446,0.0452,0.0436,0.06,0.0448,0.0445,0.0459,0.0442,0.0428,0.0441,0.0454,0.0434,0.0444,0.0447,0.045,0.0448,0.044,0.0448,0.0462,0.0441,0.0395,0.0391,0.0392,0.0396,0.0397,0.0392,0.039,0.0403,0.0392,0.04,0.0394,0.0389
7,10996.487,5.0,19.7,0.039,0.0392,0.0403,0.0392,0.0401,0.0388,0.0398,0.0401,0.0404,0.039,0.0393,0.0391,0.0421,0.0443,0.0425,0.043,0.0437,0.0433,0.0448,0.0435,0.0445,0.0452,0.043,0.0442,0.0421,0.0454,0.0426,0.0578,0.0431,0.0424,0.0454,0.0455,0.0443,0.0451,0.0433,0.044,0.042,0.0433,0.0427,0.0424,0.0429,0.0438,0.045,0.0441,0.0444,0.0449,0.0453,0.043,0.0423,0.0469,0.0463,0.0436,0.0452,0.0457,0.0438,0.0446,0.0445,0.0446,0.0452,0.0439,0.0434,0.0452,0.0455,0.0432,0.0446,0.0454,0.0436,0.0602,0.0447,0.0447,0.0459,0.0485,0.0425,0.0445,0.0459,0.0435,0.0445,0.0449,0.0452,0.0448,0.044,0.0451,0.0463,0.0444,0.0394,0.0391,0.0392,0.0396,0.0397,0.0391,0.039,0.0404,0.0392,0.04,0.0394,0.039
8,12829.271,4.9,19.7,0.0392,0.0392,0.0403,0.0393,0.04,0.0388,0.0398,0.0402,0.0404,0.0389,0.0394,0.0391,0.0421,0.0441,0.0425,0.0428,0.0438,0.0433,0.0451,0.0436,0.0445,0.0451,0.0432,0.0436,0.0421,0.0453,0.0426,0.0586,0.0434,0.0424,0.0456,0.0455,0.0442,0.045,0.0432,0.0442,0.0419,0.0432,0.0426,0.0423,0.0432,0.0437,0.0453,0.0442,0.0443,0.0447,0.0455,0.0431,0.0424,0.0474,0.0465,0.0439,0.0453,0.0458,0.0439,0.0446,0.0447,0.0445,0.0451,0.044,0.0434,0.0458,0.0459,0.0433,0.0447,0.0451,0.0436,0.0599,0.0447,0.0444,0.046,0.0437,0.0425,0.0448,0.0462,0.0437,0.0448,0.0443,0.0445,0.0448,0.0441,0.045,0.0463,0.0448,0.0394,0.0391,0.0392,0.0395,0.0397,0.039,0.039,0.0403,0.0391,0.04,0.0394,0.0389
9,14662.161,4.9,19.7,0.0392,0.0393,0.0403,0.0392,0.0401,0.0388,0.0398,0.0401,0.0404,0.0391,0.0393,0.0391,0.0422,0.0441,0.0424,0.0429,0.0448,0.0432,0.0453,0.0437,0.0447,0.0471,0.0449,0.0444,0.042,0.0452,0.0425,0.0588,0.0439,0.0423,0.0458,0.0458,0.0442,0.0452,0.0437,0.0444,0.0419,0.0433,0.0426,0.0425,0.0435,0.0437,0.0456,0.044,0.0443,0.0445,0.047,0.0441,0.0422,0.048,0.0469,0.0442,0.0453,0.0456,0.0438,0.0446,0.0447,0.0445,0.0451,0.0445,0.0432,0.0464,0.0463,0.0437,0.0447,0.0453,0.0438,0.0602,0.0448,0.0445,0.0461,0.0479,0.0426,0.0457,0.0465,0.0437,0.0448,0.0445,0.0444,0.0448,0.0441,0.0446,0.0462,0.0487,0.0394,0.0391,0.0391,0.0396,0.0396,0.0392,0.039,0.0403,0.0391,0.04,0.0394,0.039
10,16495.019,5.0,19.7,0.0391,0.0393,0.0403,0.0392,0.0401,0.0389,0.0398,0.0401,0.0404,0.0391,0.0394,0.0392,0.0421,0.044,0.0424,0.0428,0.0445,0.0432,0.0456,0.0437,0.0449,0.0462,0.0438,0.0437,0.0424,0.0451,0.0424,0.0588,0.0441,0.0424,0.0462,0.0458,0.0444,0.045,0.0439,0.0446,0.0418,0.0432,0.0426,0.0423,0.043,0.0437,0.0458,0.0441,0.0442,0.0446,0.0467,0.0437,0.0424,0.0488,0.0473,0.0442,0.0453,0.0457,0.0439,0.0448,0.0447,0.0446,0.0449,0.0442,0.0433,0.047,0.0464,0.0438,0.0448,0.0453,0.0439,0.0591,0.0449,0.0444,0.0461,0.049,0.0426,0.0465,0.0464,0.0439,0.0446,0.0443,0.0444,0.0445,0.0439,0.0446,0.0462,0.0455,0.0395,0.0391,0.0392,0.0396,0.0398,0.0391,0.0389,0.0403,0.0392,0.04,0.0394,0.039
