cycle_n,time_s,CO2 %,O2 %,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,CCMB1:pCB' K194M+pCCM'.1,CCMB1:pCB' K194M+pCCM'.2,CCMB1:pCB' K194M+pCCM'.3,CCMB1:pCB' K194M+pCCM'.4,CCMB1:p1A+pFA-sfGFP.1,CCMB1:p1A+pFA-sfGFP.2,CCMB1:p1A+pFA-sfGFP.3,CCMB1:p1A+pFA-sfGFP.4,CCMB1:pCB'+pFA-sfGFP.1,CCMB1:pCB'+pFA-sfGFP.2,CCMB1:pCB'+pFA-sfGFP.3,CCMB1:pCB'+pFA-sfGFP.4,CCMB1:pCB' K194M+pCCM'.1,CCMB1:pCB' K194M+pCCM'.2,CCMB1:pCB' K194M+pCCM'.3,CCMB1:pCB' K194M+pCCM'.4,CCMB1:p1A+pFA-sfGFP.1,CCMB1:p1A+pFA-sfGFP.2,CCMB1:p1A+pFA-sfGFP.3,CCMB1:p1A+pFA-sfGFP.4,CCMB1:pCB'+pFA-sfGFP.1,CCMB1:pCB'+pFA-sfGFP.2,CCMB1:pCB'+pFA-sfGFP.3,CCMB1:pCB'+pFA-sfGFP.4,CCMB1:pCB' K194M+pCCM'.1,CCMB1:pCB' K194M+pCCM'.2,CCMB1:pCB' K194M+pCCM'.3,CCMB1:pCB' K194M+pCCM'.4,CCMB1:p1A+pFA-sfGFP.1,CCMB1:p1A+pFA-sfGFP.2,CCMB1:p1A+pFA-sfGFP.3,CCMB1:p1A+pFA-sfGFP.4,CCMB1:pCB'+pFA-sfGFP.1,CCMB1:pCB'+pFA-sfGFP.2,CCMB1:pCB'+pFA-sfGFP.3,CCMB1:pCB'+pFA-sfGFP.4,CCMB1:pCB' C173S+pFA-sfGFP.1,CCMB1:pCB' C173S+pFA-sfGFP.2,CCMB1:pCB' C173S+pFA-sfGFP.3,CCMB1:pCB' C173S+pFA-sfGFP.4,CCMB1:pCB'+pCCM'.1,CCMB1:pCB'+pCCM'.2,CCMB1:pCB'+pCCM'.3,CCMB1:pCB'+pCCM'.4,CCMB1:pCB' Y72R+pCCM'.1,CCMB1:pCB' Y72R+pCCM'.2,CCMB1:pCB' Y72R+pCCM'.3,CCMB1:pCB' Y72R+pCCM'.4,CCMB1:pCB' C173S+pFA-sfGFP.1,CCMB1:pCB' C173S+pFA-sfGFP.2,CCMB1:pCB' C173S+pFA-sfGFP.3,CCMB1:pCB' C173S+pFA-sfGFP.4,CCMB1:pCB'+pCCM'.1,CCMB1:pCB'+pCCM'.2,CCMB1:pCB'+pCCM'.3,CCMB1:pCB'+pCCM'.4,CCMB1:pCB' Y72R+pCCM'.1,CCMB1:pCB' Y72R+pCCM'.2,CCMB1:pCB' Y72R+pCCM'.3,CCMB1:pCB' Y72R+pCCM'.4,CCMB1:pCB' C173S+pFA-sfGFP.1,CCMB1:pCB' C173S+pFA-sfGFP.2,CCMB1:pCB' C173S+pFA-sfGFP.3,CCMB1:pCB' C173S+pFA-sfGFP.4,CCMB1:pCB'+pCCM'.1,CCMB1:pCB'+pCCM'.2,CCMB1:pCB'+pCCM'.3,CCMB1:pCB'+pCCM'.4,CCMB1:pCB' Y72R+pCCM'.1,CCMB1:pCB' Y72R+pCCM'.2,CCMB1:pCB' Y72R+pCCM'.3,CCMB1:pCB' Y72R+pCCM'.4,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
1,0.0,0.2,20.7,0.0411,0.0415,0.0424,0.0417,0.0436,0.0408,0.0423,0.0436,0.0434,0.0432,0.0414,0.0408,0.0435,0.0447,0.0452,0.0435,0.0429,0.0429,0.044,0.0433,0.0428,0.0426,0.0428,0.0457,0.0443,0.0443,0.0449,0.0447,0.0438,0.0428,0.0433,0.0435,0.0428,0.0427,0.043,0.0421,0.0422,0.0465,0.0443,0.0444,0.0435,0.0442,0.0454,0.0435,0.0441,0.0431,0.0466,0.0425,0.0521,0.0463,0.0468,0.044,0.045,0.0456,0.0464,0.0429,0.0441,0.0432,0.0422,0.0435,0.0426,0.0463,0.0441,0.0441,0.0444,0.0477,0.0482,0.0445,0.0463,0.0433,0.0431,0.0452,0.0549,0.0444,0.0446,0.0464,0.0447,0.0465,0.047,0.0455,0.0475,0.0487,0.0449,0.0456,0.0415,0.0418,0.0429,0.0428,0.0434,0.0422,0.0409,0.0437,0.0419,0.0425,0.042,0.041
2,1834.795,0.2,20.7,0.0412,0.0415,0.0423,0.0414,0.0434,0.0406,0.0418,0.0434,0.0431,0.0429,0.0408,0.0405,0.0454,0.047,0.0471,0.0456,0.046,0.0454,0.045,0.0467,0.0458,0.0459,0.0461,0.0663,0.0922,0.0464,0.0458,0.0458,0.0457,0.0453,0.0453,0.0458,0.0461,0.0463,0.0455,0.0451,0.0445,0.0452,0.0467,0.0458,0.0454,0.0456,0.0461,0.0457,0.0453,0.0453,0.045,0.093,0.0873,0.0513,0.0491,0.0478,0.0457,0.0471,0.0559,0.0458,0.0467,0.0465,0.0518,0.0449,0.0447,0.0453,0.0456,0.0462,0.0458,0.0458,0.0455,0.0454,0.0472,0.047,0.0467,0.0662,0.0994,0.0461,0.0457,0.0512,0.0461,0.0452,0.0457,0.0457,0.0461,0.0464,0.0467,0.0448,0.0408,0.0417,0.0426,0.0422,0.043,0.0415,0.044,0.0447,0.0416,0.0422,0.0417,0.0493
3,3669.631,0.2,20.7,0.0412,0.0417,0.0422,0.0415,0.0431,0.0408,0.0417,0.0434,0.0431,0.0428,0.0408,0.0407,0.0463,0.0473,0.0464,0.0457,0.0455,0.0455,0.0452,0.0466,0.0458,0.0461,0.0461,0.0832,0.1244,0.0462,0.0458,0.0458,0.0455,0.0455,0.0453,0.046,0.0463,0.0467,0.0467,0.0454,0.0452,0.0464,0.046,0.0454,0.0452,0.0455,0.0467,0.0458,0.0452,0.0456,0.0453,0.1087,0.179,0.0551,0.0506,0.0491,0.0462,0.0473,0.0602,0.0464,0.0483,0.0469,0.0482,0.0458,0.0493,0.05,0.0468,0.0476,0.0468,0.0463,0.0545,0.0478,0.0467,0.0471,0.047,0.079,0.1613,0.0478,0.0465,0.0529,0.0462,0.0455,0.0474,0.0495,0.0496,0.049,0.0483,0.0454,0.0408,0.0419,0.0428,0.0427,0.0434,0.0443,0.0476,0.0451,0.0423,0.0425,0.0418,0.0469
4,5504.397,0.2,20.6,0.0409,0.0413,0.0423,0.0425,0.0434,0.0407,0.0418,0.0435,0.0432,0.0433,0.0408,0.0407,0.0474,0.0476,0.0462,0.046,0.0455,0.0452,0.0457,0.0465,0.0458,0.0462,0.046,0.1304,0.1549,0.0455,0.0456,0.0456,0.0455,0.045,0.045,0.0458,0.0464,0.0457,0.0454,0.0451,0.0448,0.046,0.046,0.0454,0.0452,0.0453,0.0464,0.0456,0.045,0.0454,0.0454,0.0777,0.1535,0.0563,0.0511,0.0496,0.0462,0.0472,0.0625,0.0464,0.0471,0.049,0.0472,0.0456,0.0709,0.0807,0.0468,0.047,0.0463,0.047,0.0504,0.0482,0.0467,0.0469,0.0473,0.1148,0.2448,0.0901,0.0492,0.0575,0.0538,0.0461,0.0459,0.0464,0.0467,0.0488,0.0496,0.0471,0.0408,0.0421,0.0423,0.0429,0.0431,0.0413,0.0441,0.0472,0.0415,0.0422,0.0414,0.0653
5,7339.198,0.2,20.6,0.041,0.0415,0.0422,0.0417,0.0432,0.0407,0.0418,0.0434,0.0429,0.0429,0.0407,0.0408,0.0458,0.0536,0.062,0.0494,0.0467,0.0453,0.0451,0.0468,0.0459,0.0461,0.0461,0.13,0.19,0.0458,0.0456,0.0459,0.0456,0.0452,0.045,0.0458,0.0457,0.0458,0.0451,0.0452,0.0458,0.0459,0.0463,0.0543,0.0452,0.0452,0.046,0.0456,0.0452,0.0457,0.0454,0.097,0.1759,0.057,0.0513,0.05,0.0462,0.0477,0.0642,0.0462,0.0475,0.0473,0.0477,0.0457,0.0731,0.0616,0.0506,0.0471,0.0462,0.0461,0.0548,0.0477,0.0468,0.0473,0.048,0.0936,0.2368,0.0772,0.0653,0.0614,0.0473,0.0477,0.0459,0.0459,0.0469,0.0498,0.0484,0.0449,0.0411,0.0422,0.0426,0.0432,0.0432,0.0418,0.0434,0.0484,0.0421,0.0423,0.042,0.0491
6,9174.105,0.2,20.6,0.0408,0.0414,0.0422,0.0416,0.0432,0.0409,0.0419,0.0432,0.0427,0.0428,0.0406,0.0405,0.0478,0.0509,0.0468,0.0468,0.0456,0.0456,0.0452,0.0467,0.0458,0.046,0.0461,0.138,0.1481,0.0483,0.0463,0.0475,0.0455,0.0451,0.0452,0.0463,0.046,0.0461,0.0452,0.045,0.0464,0.0477,0.0483,0.0454,0.0453,0.0453,0.0462,0.0457,0.0452,0.0456,0.0453,0.1027,0.1827,0.0601,0.0578,0.0504,0.0462,0.0473,0.0645,0.0466,0.0474,0.0468,0.0478,0.0456,0.1013,0.0867,0.0572,0.0488,0.0463,0.0463,0.0464,0.0487,0.0466,0.0472,0.0477,0.113,0.2328,0.0861,0.0653,0.0583,0.053,0.0457,0.0461,0.046,0.0468,0.0491,0.0503,0.045,0.0405,0.0421,0.0425,0.0427,0.0429,0.0417,0.0433,0.0484,0.0436,0.0426,0.0418,0.0565
7,11009.074,0.2,20.6,0.041,0.0414,0.0422,0.0414,0.0432,0.0407,0.0416,0.0433,0.0427,0.0427,0.0408,0.0406,0.0528,0.0631,0.0489,0.0482,0.0459,0.0455,0.0456,0.0467,0.0461,0.046,0.0461,0.1571,0.1871,0.0622,0.0503,0.0755,0.0457,0.0451,0.0452,0.0462,0.0461,0.0458,0.0454,0.0453,0.0448,0.0452,0.0472,0.0452,0.0452,0.0452,0.0468,0.0456,0.0451,0.0456,0.0455,0.1185,0.2337,0.0647,0.0727,0.0533,0.0467,0.0477,0.0647,0.0464,0.0476,0.0479,0.0485,0.0458,0.0963,0.0952,0.0627,0.0471,0.0479,0.0466,0.0502,0.0671,0.0479,0.0468,0.0473,0.1477,0.1822,0.0488,0.0604,0.0601,0.0465,0.0454,0.0461,0.0458,0.0485,0.0467,0.0476,0.0451,0.0408,0.0424,0.0427,0.0424,0.043,0.0418,0.0419,0.0473,0.0454,0.0428,0.0415,0.0588
8,12843.9,0.2,20.7,0.0409,0.0412,0.0421,0.0413,0.0432,0.0406,0.0415,0.0433,0.043,0.0428,0.0406,0.0405,0.0468,0.0481,0.0465,0.0456,0.0455,0.0452,0.045,0.0469,0.0459,0.0461,0.0461,0.2031,0.188,0.0556,0.0463,0.0454,0.0452,0.0449,0.0449,0.0459,0.0458,0.0462,0.0452,0.0453,0.0504,0.0513,0.0485,0.048,0.0451,0.0456,0.0535,0.0541,0.0453,0.0454,0.0453,0.1268,0.2045,0.0563,0.0542,0.051,0.0466,0.0476,0.0641,0.0468,0.0477,0.049,0.0494,0.0457,0.0611,0.0542,0.0471,0.0466,0.0469,0.0559,0.0463,0.0671,0.047,0.0466,0.0474,0.161,0.2177,0.0537,0.0726,0.0601,0.0472,0.0458,0.0461,0.0465,0.0472,0.0551,0.048,0.0452,0.0406,0.0421,0.0425,0.0423,0.0429,0.0419,0.0428,0.0483,0.0543,0.0469,0.0411,0.0666
9,14678.709,0.2,20.7,0.0409,0.0416,0.0421,0.0413,0.0433,0.0409,0.0416,0.0433,0.0427,0.0429,0.041,0.0408,0.0596,0.0545,0.0491,0.0465,0.0455,0.0454,0.0496,0.0466,0.046,0.0461,0.046,0.2107,0.1793,0.0523,0.0518,0.0518,0.0453,0.0448,0.045,0.0458,0.046,0.046,0.0452,0.0453,0.0482,0.0483,0.0478,0.0468,0.0451,0.0458,0.0656,0.0544,0.0449,0.0454,0.0454,0.1613,0.1976,0.0538,0.0612,0.051,0.0463,0.0475,0.0631,0.0463,0.0481,0.0471,0.0481,0.0455,0.1114,0.1277,0.0746,0.0482,0.0478,0.0473,0.0526,0.0605,0.0489,0.0469,0.0471,0.1636,0.2889,0.051,0.0553,0.0603,0.0468,0.0456,0.0461,0.0465,0.0484,0.0524,0.0479,0.0452,0.0406,0.0419,0.0429,0.0423,0.0429,0.0416,0.0417,0.0469,0.0503,0.0426,0.0413,0.0735
10,16513.513,0.2,20.7,0.041,0.0416,0.0425,0.0416,0.0435,0.0408,0.0416,0.0434,0.0428,0.0429,0.0408,0.0408,0.0732,0.0717,0.0504,0.0465,0.0456,0.0453,0.0454,0.0467,0.0457,0.0462,0.046,0.1964,0.1764,0.0589,0.0514,0.055,0.0454,0.0452,0.0452,0.0458,0.0461,0.0461,0.0456,0.0457,0.0511,0.0486,0.0523,0.0481,0.0454,0.0458,0.0549,0.0515,0.0452,0.0455,0.0453,0.147,0.2028,0.0549,0.0737,0.0529,0.0475,0.0478,0.0614,0.0468,0.0475,0.0487,0.0474,0.0459,0.1164,0.1135,0.0568,0.0484,0.0471,0.0485,0.052,0.0779,0.0473,0.0467,0.0474,0.1273,0.2508,0.1116,0.0661,0.0597,0.0472,0.046,0.0463,0.0463,0.05,0.0506,0.0481,0.0451,0.0409,0.0418,0.0431,0.0426,0.0433,0.0417,0.0417,0.045,0.0496,0.0439,0.0415,0.0694
