cycle_n,time_s,CO2 %,O2 %,cLS/AGFP 1,cLS/AGFP 2,cLS/AGFP 3,cLS/AGFP 4,cLS/Dab2-Can 1,cLS/Dab2-Can 2,cLS/Dab2-Can 3,cLS/Dab2-Can 4,cLS/dDab2-Can 1,cLS/dDab2-Can 2,cLS/dDab2-Can 3,cLS/dDab2-Can 4,Doubled on accident don't include,Doubled on accident don't include,Doubled on accident don't include,Doubled on accident don't include,Doubled on accident don't include,Doubled on accident don't include,Doubled on accident don't include,Doubled on accident don't include,Doubled on accident don't include,Doubled on accident don't include,Doubled on accident don't include,Doubled on accident don't include,cLS/AGFP 1,cLS/AGFP 2,cLS/AGFP 3,cLS/AGFP 4,cLS/Dab2-Can 1,cLS/Dab2-Can 2,cLS/Dab2-Can 3,cLS/Dab2-Can 4,cLS/dDab2-Can 1,cLS/dDab2-Can 2,cLS/dDab2-Can 3,cLS/dDab2-Can 4,cLS/AGFP 1,cLS/AGFP 2,cLS/AGFP 3,cLS/AGFP 4,cLS/Dab2-Can 1,cLS/Dab2-Can 2,cLS/Dab2-Can 3,cLS/Dab2-Can 4,cLS/dDab2-Can 1,cLS/dDab2-Can 2,cLS/dDab2-Can 3,cLS/dDab2-Can 4,cLS/Dab2-dCan 1,cLS/Dab2-dCan 2,cLS/Dab2-dCan 3,cLS/Dab2-dCan 4,cLS/dDab2-dCan 1,cLS/dDab2-dCan 2,cLS/dDab2-dCan 3,cLS/dDab2-dCan 4,Blank,Blank,Blank,Blank,cLS/Dab2-dCan 1,cLS/Dab2-dCan 2,cLS/Dab2-dCan 3,cLS/Dab2-dCan 4,cLS/dDab2-dCan 1,cLS/dDab2-dCan 2,cLS/dDab2-dCan 3,cLS/dDab2-dCan 4,Blank,Blank,Blank,Blank,cLS/Dab2-dCan 1,cLS/Dab2-dCan 2,cLS/Dab2-dCan 3,cLS/Dab2-dCan 4,cLS/dDab2-dCan 1,cLS/dDab2-dCan 2,cLS/dDab2-dCan 3,cLS/dDab2-dCan 4,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank
1,0.0,0.3,,0.0447,0.0455,0.0461,0.0451,0.0473,0.0447,0.0455,0.0481,0.0472,0.0485,0.0499,0.0449,0.0511,0.0481,0.0473,0.0457,0.0464,0.0458,0.0448,0.0461,0.0466,0.0491,0.0483,0.0599,0.1051,0.047,0.0482,0.046,0.0464,0.0461,0.0453,0.0461,0.0481,0.0483,0.0528,0.0453,0.0458,0.0463,0.0478,0.0471,0.047,0.0473,0.0472,0.0479,0.0467,0.0576,0.0479,0.0646,0.1122,0.0463,0.0465,0.047,0.0464,0.0472,0.0472,0.0488,0.0422,0.0424,0.042,0.0413,0.0539,0.0459,0.0461,0.0468,0.0469,0.0468,0.0486,0.0491,0.0425,0.0437,0.0432,0.0429,0.113,0.0462,0.046,0.0463,0.0466,0.0465,0.0478,0.0497,0.0435,0.0438,0.0434,0.0415,0.0411,0.0412,0.0423,0.0424,0.0432,0.0421,0.0447,0.0465,0.0422,0.0421,0.0417,0.0468
2,1834.815,0.5,20.5,0.0444,0.0453,0.0462,0.0451,0.0474,0.0451,0.0454,0.048,0.0473,0.0477,0.0468,0.0447,0.0508,0.0474,0.0499,0.0457,0.0463,0.0455,0.045,0.0473,0.0464,0.0476,0.0479,0.0789,0.1409,0.047,0.0475,0.0456,0.0466,0.0459,0.046,0.0459,0.0472,0.0475,0.0476,0.0454,0.046,0.0459,0.0474,0.0462,0.0471,0.0465,0.0476,0.0513,0.0466,0.0495,0.0474,0.0943,0.2238,0.0457,0.0456,0.0468,0.0465,0.0468,0.0461,0.0481,0.0422,0.042,0.0417,0.0411,0.0493,0.046,0.0458,0.0469,0.0468,0.0458,0.055,0.0476,0.0424,0.0437,0.043,0.0444,0.2063,0.046,0.0462,0.0477,0.047,0.0462,0.0473,0.0472,0.0443,0.0438,0.0434,0.0412,0.0411,0.041,0.0425,0.0427,0.0432,0.0422,0.0432,0.0497,0.0424,0.0424,0.0419,0.0628
3,3669.597,0.5,20.5,0.0445,0.0453,0.0464,0.0448,0.0477,0.0446,0.0459,0.0484,0.0474,0.0471,0.0473,0.0451,0.0491,0.0477,0.0512,0.0482,0.0468,0.0453,0.0452,0.046,0.0459,0.0474,0.0485,0.0779,0.1548,0.047,0.0512,0.0487,0.0471,0.0455,0.0459,0.0464,0.0471,0.0476,0.0481,0.0456,0.0526,0.046,0.0511,0.0507,0.0481,0.0466,0.0467,0.051,0.0503,0.0495,0.0481,0.0841,0.1582,0.0462,0.0461,0.047,0.0462,0.0469,0.0463,0.0486,0.0421,0.0421,0.0418,0.0411,0.0863,0.0511,0.0467,0.0469,0.0468,0.0462,0.076,0.0962,0.0437,0.0433,0.0429,0.0492,0.2638,0.0476,0.046,0.0475,0.0462,0.0462,0.0471,0.0482,0.0446,0.0441,0.0433,0.0411,0.0407,0.0408,0.0424,0.042,0.0431,0.042,0.0423,0.0555,0.0433,0.0433,0.0416,0.0511
4,5504.389,0.5,20.5,0.0444,0.0456,0.0484,0.0454,0.0481,0.0448,0.0462,0.0488,0.0479,0.0477,0.0479,0.0454,0.0569,0.0484,0.0488,0.0473,0.0468,0.0452,0.0459,0.0463,0.0463,0.0475,0.0485,0.0858,0.2478,0.0472,0.0483,0.0489,0.047,0.0453,0.0465,0.0468,0.0476,0.0475,0.0481,0.0459,0.0632,0.0461,0.0505,0.0479,0.0484,0.0465,0.0489,0.0498,0.0468,0.0497,0.0482,0.1072,0.1739,0.0465,0.0464,0.0474,0.0464,0.0472,0.0464,0.0482,0.0422,0.0425,0.0418,0.0413,0.102,0.0508,0.0468,0.0474,0.0471,0.0469,0.1413,0.1498,0.0429,0.0435,0.0431,0.044,0.2237,0.0467,0.0474,0.0508,0.0464,0.0461,0.0471,0.0484,0.0437,0.0445,0.0436,0.041,0.0409,0.0409,0.0423,0.0434,0.0433,0.0424,0.042,0.0441,0.0447,0.0424,0.0417,0.0696
5,7339.202,0.5,20.5,0.0445,0.0455,0.0492,0.0472,0.0485,0.0446,0.0467,0.0491,0.0479,0.0475,0.0478,0.0457,0.0873,0.0476,0.0565,0.0475,0.047,0.0453,0.0457,0.0468,0.0465,0.0473,0.0487,0.0958,0.2349,0.0468,0.0504,0.0597,0.0502,0.046,0.047,0.0471,0.0476,0.0478,0.0486,0.0461,0.082,0.0461,0.059,0.0525,0.0496,0.0466,0.0472,0.0509,0.047,0.0495,0.0483,0.1075,0.2533,0.0486,0.0465,0.0471,0.0464,0.0469,0.0463,0.0478,0.0423,0.0423,0.0418,0.0411,0.1171,0.0701,0.0495,0.0471,0.0482,0.0468,0.0843,0.1542,0.0436,0.0433,0.0429,0.0493,0.2964,0.0477,0.0463,0.0474,0.0469,0.0463,0.047,0.0485,0.0441,0.0469,0.0433,0.041,0.0408,0.041,0.0424,0.042,0.0433,0.0462,0.0457,0.0437,0.0437,0.0419,0.0417,0.0518
6,9174.057,0.5,20.5,0.0445,0.0455,0.0482,0.0456,0.0482,0.0448,0.0471,0.0495,0.048,0.0476,0.0477,0.046,0.0532,0.0475,0.0482,0.0459,0.0468,0.0455,0.0459,0.047,0.0466,0.0474,0.0485,0.1046,0.2692,0.0468,0.0481,0.0462,0.0474,0.0453,0.0469,0.0474,0.0475,0.0481,0.0485,0.0466,0.0841,0.0463,0.0547,0.0528,0.049,0.0463,0.0477,0.0477,0.0468,0.0496,0.0487,0.1112,0.2214,0.0472,0.0459,0.047,0.0465,0.0475,0.0467,0.0479,0.0422,0.0424,0.0422,0.0413,0.1023,0.059,0.0536,0.0481,0.0473,0.0466,0.068,0.0843,0.043,0.0433,0.0427,0.0467,0.3099,0.0532,0.0483,0.0471,0.0493,0.0463,0.0471,0.0473,0.0481,0.0439,0.0437,0.0409,0.0409,0.0409,0.0424,0.0433,0.044,0.0423,0.0425,0.0597,0.0426,0.042,0.0416,0.0581
7,11008.924,0.5,20.5,0.0445,0.0454,0.0528,0.0639,0.0524,0.0455,0.047,0.0497,0.0479,0.0476,0.0479,0.0464,0.0923,0.0477,0.0495,0.046,0.047,0.0453,0.046,0.0476,0.0469,0.0477,0.0488,0.1089,0.2816,0.0469,0.0503,0.0469,0.0479,0.0454,0.0472,0.0475,0.0483,0.0478,0.0483,0.047,0.0635,0.0461,0.0476,0.0463,0.048,0.0465,0.0491,0.0474,0.0471,0.0493,0.0484,0.0925,0.1944,0.0473,0.0474,0.0473,0.0464,0.0475,0.0463,0.0478,0.0422,0.0422,0.0417,0.0413,0.0857,0.0496,0.0463,0.047,0.0486,0.0464,0.1958,0.1403,0.0426,0.0433,0.0428,0.0443,0.2846,0.048,0.047,0.0465,0.0463,0.0463,0.0471,0.0479,0.0466,0.0458,0.0431,0.0411,0.0406,0.0407,0.0428,0.0422,0.0432,0.0431,0.0416,0.0559,0.0472,0.0484,0.0414,0.0629
8,12843.721,0.6,20.5,0.0445,0.0451,0.0514,0.0488,0.0485,0.045,0.0473,0.0498,0.048,0.0479,0.0481,0.0464,0.1099,0.0477,0.0525,0.0461,0.0474,0.0454,0.0466,0.0477,0.0472,0.0475,0.0487,0.1297,0.2261,0.0469,0.0502,0.0514,0.0474,0.0455,0.0475,0.0478,0.0478,0.0478,0.0484,0.0471,0.0745,0.0459,0.0489,0.0468,0.0486,0.0466,0.0515,0.0484,0.0472,0.0493,0.0485,0.1224,0.223,0.0475,0.0469,0.0472,0.0464,0.047,0.0459,0.0478,0.0421,0.0421,0.0418,0.041,0.0997,0.0576,0.0467,0.0473,0.0474,0.0467,0.1664,0.0809,0.0427,0.0433,0.0427,0.0434,0.3415,0.0644,0.0519,0.0494,0.0464,0.0462,0.0472,0.0475,0.0439,0.0457,0.0434,0.0409,0.0407,0.0415,0.0433,0.0421,0.0442,0.0418,0.051,0.0449,0.0419,0.0417,0.0416,0.0588
9,14678.522,0.5,20.5,0.0448,0.0454,0.0567,0.0579,0.0498,0.0467,0.0472,0.0503,0.0481,0.0476,0.0485,0.0469,0.1146,0.048,0.0511,0.0464,0.047,0.0455,0.0469,0.0482,0.0468,0.0479,0.0488,0.1323,0.2263,0.0472,0.0482,0.0463,0.0477,0.0454,0.0472,0.0484,0.0481,0.0482,0.0491,0.0479,0.0936,0.0463,0.0507,0.0474,0.0486,0.0461,0.0503,0.0483,0.0472,0.0496,0.0488,0.1246,0.2181,0.0758,0.0781,0.0651,0.0476,0.0505,0.0466,0.0479,0.0424,0.0421,0.0421,0.0413,0.1309,0.0659,0.0509,0.0475,0.0473,0.048,0.1757,0.167,0.0455,0.0434,0.0429,0.0503,0.2912,0.0548,0.0485,0.0481,0.0465,0.0466,0.0473,0.0473,0.0444,0.0443,0.0434,0.0411,0.0407,0.041,0.0425,0.0423,0.0435,0.0421,0.0417,0.0555,0.0434,0.0434,0.0417,0.061
10,16513.359,0.5,20.5,0.0447,0.0454,0.0544,0.0476,0.0487,0.0453,0.0476,0.0506,0.0481,0.0479,0.0482,0.0476,0.0509,0.0475,0.0483,0.046,0.047,0.0488,0.047,0.0484,0.0474,0.0482,0.0491,0.1315,0.2631,0.05,0.0514,0.0469,0.0478,0.0468,0.0477,0.0489,0.0484,0.048,0.0489,0.0481,0.0741,0.0467,0.0475,0.0464,0.0479,0.0485,0.0509,0.0483,0.0474,0.0499,0.049,0.1839,0.2634,0.0482,0.0474,0.0472,0.0466,0.0472,0.046,0.0477,0.0426,0.0423,0.0418,0.0412,0.1469,0.0792,0.0491,0.0475,0.0478,0.0503,0.2093,0.2331,0.0515,0.0452,0.0428,0.0449,0.2838,0.0567,0.0464,0.047,0.0465,0.0467,0.0474,0.0484,0.0466,0.044,0.0434,0.0413,0.0408,0.0431,0.0424,0.0427,0.0432,0.042,0.0447,0.0534,0.0431,0.0463,0.0417,0.0579
