cycle_n,time_s,CO2 %,O2 %,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,cLS/AGFP 1,cLS/AGFP 2,cLS/AGFP 3,cLS/AGFP 4,cLS/Dab2-Can 1,cLS/Dab2-Can 2,cLS/Dab2-Can 3,cLS/Dab2-Can 4,cLS/dDab2-Can 1,cLS/dDab2-Can 2,cLS/dDab2-Can 3,cLS/dDab2-Can 4,cLS/AGFP 1,cLS/AGFP 2,cLS/AGFP 3,cLS/AGFP 4,cLS/Dab2-Can 1,cLS/Dab2-Can 2,cLS/Dab2-Can 3,cLS/Dab2-Can 4,cLS/dDab2-Can 1,cLS/dDab2-Can 2,cLS/dDab2-Can 3,cLS/dDab2-Can 4,cLS/AGFP 1,cLS/AGFP 2,cLS/AGFP 3,cLS/AGFP 4,cLS/Dab2-Can 1,cLS/Dab2-Can 2,cLS/Dab2-Can 3,cLS/Dab2-Can 4,cLS/dDab2-Can 1,cLS/dDab2-Can 2,cLS/dDab2-Can 3,cLS/dDab2-Can 4,cLS/Dab2-dCan 1,cLS/Dab2-dCan 2,cLS/Dab2-dCan 3,cLS/Dab2-dCan 4,cLS/dDab2-dCan 1,cLS/dDab2-dCan 2,cLS/dDab2-dCan 3,cLS/dDab2-dCan 4,Blank,Blank,Blank,Blank,cLS/Dab2-dCan 1,cLS/Dab2-dCan 2,cLS/Dab2-dCan 3,cLS/Dab2-dCan 4,cLS/dDab2-dCan 1,cLS/dDab2-dCan 2,cLS/dDab2-dCan 3,cLS/dDab2-dCan 4,Blank,Blank,Blank,Blank,cLS/Dab2-dCan 1,cLS/Dab2-dCan 2,cLS/Dab2-dCan 3,cLS/Dab2-dCan 4,cLS/dDab2-dCan 1,cLS/dDab2-dCan 2,cLS/dDab2-dCan 3,cLS/dDab2-dCan 4,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank
1,0.0,1.3,20.5,0.039,0.0395,0.0403,0.0395,0.0406,0.0389,0.0407,0.0407,0.0407,0.0393,0.0394,0.0395,0.052,0.042,0.0414,0.0408,0.0402,0.0404,0.0398,0.04,0.0409,0.0416,0.0402,0.0433,0.0437,0.0414,0.0412,0.0407,0.0424,0.0406,0.0419,0.0414,0.0412,0.0424,0.0436,0.0428,0.0401,0.0409,0.0424,0.0408,0.0423,0.0414,0.042,0.0425,0.0417,0.0442,0.0441,0.0445,0.0399,0.0402,0.0406,0.0403,0.0406,0.0418,0.0391,0.0404,0.0402,0.04,0.0408,0.0391,0.0425,0.0395,0.0406,0.0402,0.041,0.0413,0.04,0.0402,0.0402,0.0402,0.0412,0.0393,0.0418,0.043,0.0423,0.0412,0.0399,0.0402,0.0405,0.0406,0.0397,0.0401,0.0414,0.0389,0.0398,0.0393,0.0394,0.0398,0.0401,0.0394,0.0392,0.0405,0.0393,0.0399,0.0399,0.0394
2,1832.191,1.5,20.4,0.0388,0.0395,0.0402,0.0394,0.0404,0.0389,0.0403,0.0405,0.0406,0.0391,0.0393,0.0392,0.0423,0.0448,0.0438,0.0429,0.0437,0.0433,0.0425,0.0428,0.0442,0.0447,0.0436,0.0432,0.0425,0.0447,0.0444,0.0434,0.0451,0.0431,0.0435,0.0441,0.0441,0.0446,0.0446,0.0431,0.0426,0.0438,0.0442,0.0433,0.0436,0.0439,0.0441,0.0438,0.0443,0.0448,0.0453,0.0429,0.0431,0.0434,0.0432,0.0436,0.0437,0.0445,0.043,0.0441,0.0401,0.04,0.0407,0.0391,0.0436,0.0428,0.0433,0.0436,0.0441,0.0443,0.043,0.0436,0.0399,0.0401,0.0409,0.0391,0.0433,0.0424,0.0437,0.0445,0.043,0.0432,0.0434,0.0436,0.0397,0.04,0.0411,0.0389,0.0395,0.039,0.0393,0.0396,0.0398,0.0392,0.0391,0.0405,0.0392,0.0396,0.0398,0.0392
3,3665.134,1.5,20.4,0.0387,0.0394,0.0401,0.0394,0.0403,0.0389,0.0404,0.0404,0.0405,0.0392,0.0393,0.0393,0.0424,0.0449,0.0445,0.043,0.0445,0.0435,0.0434,0.0433,0.0447,0.0452,0.0446,0.0435,0.0425,0.0448,0.0451,0.0433,0.0459,0.0433,0.0442,0.0446,0.0446,0.0447,0.0451,0.0433,0.0427,0.0441,0.0446,0.0433,0.0442,0.0438,0.0448,0.044,0.0443,0.0447,0.046,0.0433,0.0434,0.0439,0.0432,0.044,0.0436,0.0447,0.0428,0.044,0.04,0.04,0.0406,0.039,0.0439,0.043,0.0433,0.044,0.0443,0.0444,0.0434,0.044,0.0399,0.0399,0.0408,0.0391,0.0436,0.0429,0.0439,0.0448,0.0432,0.0432,0.0441,0.0441,0.0396,0.04,0.0411,0.0387,0.0395,0.039,0.0392,0.0396,0.0399,0.0392,0.039,0.0405,0.039,0.0397,0.0396,0.0392
4,5498.107,1.5,20.4,0.0387,0.0394,0.0402,0.0394,0.0403,0.0389,0.0403,0.0405,0.0405,0.0391,0.0392,0.0391,0.0425,0.045,0.0447,0.043,0.0446,0.0436,0.0435,0.0436,0.0452,0.0449,0.0449,0.0438,0.0427,0.0451,0.0451,0.0435,0.0459,0.0432,0.0448,0.0447,0.0444,0.0446,0.0455,0.0437,0.0427,0.0443,0.0449,0.0435,0.0441,0.0436,0.0447,0.0443,0.0449,0.0445,0.0466,0.0438,0.0435,0.044,0.0432,0.044,0.0437,0.0446,0.0425,0.0441,0.04,0.0399,0.0406,0.039,0.0442,0.0435,0.0433,0.0442,0.0444,0.0446,0.0434,0.0435,0.0398,0.0399,0.0408,0.0389,0.044,0.043,0.0439,0.0448,0.0432,0.0435,0.0441,0.0439,0.0397,0.04,0.041,0.0388,0.0394,0.039,0.0391,0.0395,0.0398,0.0392,0.039,0.0403,0.039,0.0396,0.0397,0.0392
5,7331.011,1.5,20.4,0.0388,0.0394,0.0401,0.0393,0.0403,0.0389,0.0403,0.0404,0.0404,0.0391,0.0392,0.0392,0.0425,0.0454,0.0448,0.0431,0.0448,0.0438,0.0436,0.0438,0.045,0.0452,0.0452,0.0441,0.0429,0.0451,0.0451,0.0434,0.0459,0.0431,0.0444,0.0451,0.0446,0.0452,0.0459,0.0443,0.0428,0.0442,0.0447,0.0437,0.0447,0.0439,0.045,0.0446,0.0447,0.0443,0.0467,0.0442,0.0437,0.0442,0.0433,0.0442,0.0438,0.0449,0.0426,0.0436,0.0399,0.04,0.0405,0.039,0.0441,0.0436,0.0434,0.0444,0.0444,0.0447,0.0435,0.0436,0.0399,0.0399,0.0409,0.0391,0.044,0.0436,0.044,0.0452,0.0433,0.0437,0.0443,0.0443,0.0396,0.0399,0.0409,0.0388,0.0395,0.039,0.0391,0.0395,0.0398,0.0392,0.0389,0.0404,0.039,0.0397,0.0396,0.0392
6,9163.932,1.5,20.4,0.0387,0.0394,0.0401,0.0393,0.0403,0.0389,0.0403,0.0404,0.0404,0.0392,0.0393,0.0392,0.0427,0.0455,0.045,0.0433,0.0449,0.0437,0.044,0.0443,0.0452,0.0454,0.0452,0.0447,0.0429,0.045,0.0452,0.0437,0.0464,0.043,0.0451,0.0455,0.045,0.0453,0.0464,0.0448,0.0429,0.0445,0.045,0.0438,0.0447,0.0434,0.0455,0.0449,0.0449,0.0447,0.0465,0.0445,0.0439,0.0445,0.0433,0.0445,0.0439,0.0452,0.0429,0.0435,0.04,0.0399,0.0404,0.039,0.0443,0.0439,0.0435,0.0445,0.0445,0.045,0.0434,0.0435,0.0399,0.0399,0.0409,0.039,0.0456,0.0434,0.0441,0.0453,0.0435,0.0438,0.0442,0.0439,0.0396,0.04,0.041,0.0387,0.0394,0.039,0.0391,0.0395,0.0397,0.0392,0.039,0.0404,0.039,0.0397,0.0397,0.0391
7,10996.697,1.5,20.4,0.0387,0.0394,0.0401,0.0394,0.0404,0.0389,0.0404,0.0405,0.0404,0.0391,0.0392,0.0392,0.0427,0.0456,0.0449,0.0434,0.0452,0.0439,0.0441,0.0444,0.0457,0.0452,0.0456,0.0449,0.0431,0.0452,0.0451,0.0439,0.0462,0.0432,0.0451,0.0456,0.0451,0.0453,0.046,0.0449,0.043,0.0445,0.0449,0.0439,0.0449,0.0438,0.0456,0.0452,0.045,0.0447,0.0467,0.0452,0.0441,0.0448,0.0434,0.0447,0.044,0.0454,0.0427,0.0438,0.04,0.0398,0.0405,0.039,0.0447,0.0442,0.0436,0.0445,0.0446,0.0453,0.044,0.0432,0.0398,0.0399,0.0409,0.039,0.0455,0.0438,0.044,0.0454,0.0437,0.0442,0.0441,0.0441,0.0396,0.0399,0.0409,0.0387,0.0395,0.0391,0.0392,0.0396,0.0398,0.0391,0.0389,0.0404,0.039,0.0396,0.0397,0.0392
8,12829.468,1.5,20.4,0.0388,0.0394,0.0401,0.0394,0.0403,0.0389,0.0402,0.0404,0.0405,0.0392,0.0393,0.0391,0.0428,0.046,0.0453,0.0437,0.0454,0.0441,0.0447,0.0448,0.0458,0.0453,0.0456,0.0454,0.0433,0.0453,0.0456,0.0441,0.0468,0.0434,0.0456,0.0462,0.0452,0.0456,0.046,0.0453,0.043,0.0446,0.045,0.0441,0.0448,0.0437,0.046,0.0458,0.0454,0.0449,0.0473,0.0458,0.0445,0.0451,0.0434,0.0449,0.0444,0.0458,0.0428,0.0438,0.0401,0.04,0.0405,0.0391,0.0449,0.0446,0.0437,0.045,0.0447,0.0456,0.0437,0.0432,0.0399,0.04,0.0409,0.0391,0.0447,0.0442,0.0442,0.046,0.0437,0.0446,0.0442,0.0444,0.0397,0.04,0.041,0.0387,0.0395,0.0391,0.0393,0.0396,0.0399,0.0393,0.0391,0.0405,0.039,0.0397,0.04,0.0392
9,14662.505,1.5,20.4,0.0388,0.0394,0.0401,0.0394,0.0404,0.039,0.0404,0.0405,0.0404,0.0392,0.0393,0.0392,0.0428,0.0459,0.0454,0.0439,0.0454,0.0446,0.0447,0.0453,0.0458,0.0463,0.0464,0.046,0.0434,0.0455,0.0458,0.0443,0.0466,0.0439,0.0453,0.0464,0.0454,0.0458,0.0471,0.0457,0.0433,0.0446,0.0452,0.0443,0.045,0.0438,0.046,0.0459,0.0451,0.0453,0.0471,0.046,0.0449,0.0453,0.0437,0.0453,0.0443,0.046,0.0428,0.0436,0.0401,0.04,0.0405,0.0391,0.0454,0.0449,0.0438,0.0452,0.0448,0.0459,0.0434,0.0434,0.04,0.04,0.041,0.0391,0.0449,0.0446,0.0443,0.046,0.0439,0.0447,0.044,0.0441,0.0397,0.0399,0.0411,0.0389,0.0395,0.0391,0.0393,0.0396,0.0399,0.0393,0.0391,0.0406,0.0391,0.0398,0.0398,0.0392
10,16495.264,1.5,20.4,0.0388,0.0395,0.0401,0.0394,0.0404,0.0389,0.0404,0.0405,0.0404,0.0392,0.0393,0.0392,0.0431,0.046,0.0456,0.044,0.0455,0.0443,0.0451,0.0456,0.0459,0.0459,0.0461,0.0461,0.0435,0.0457,0.0458,0.0444,0.0468,0.044,0.0458,0.0465,0.046,0.0463,0.0463,0.0459,0.0434,0.0449,0.045,0.0444,0.0453,0.0438,0.0461,0.0463,0.0455,0.045,0.0473,0.0472,0.045,0.0458,0.0436,0.0455,0.0445,0.0465,0.0429,0.0438,0.0401,0.04,0.0405,0.0391,0.0455,0.0451,0.0438,0.0454,0.0449,0.0462,0.0438,0.0437,0.0399,0.04,0.0409,0.0391,0.0452,0.0446,0.0443,0.0465,0.0439,0.045,0.0444,0.0441,0.0397,0.04,0.041,0.0388,0.0395,0.0391,0.0392,0.0396,0.0399,0.0392,0.0391,0.0405,0.0391,0.0397,0.0398,0.0393
