cycle_n,time_s,CO2 %,O2 %,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,cLS/AGFP 1,cLS/AGFP 2,cLS/AGFP 3,cLS/AGFP 4,cLS/Dab2-Can 1,cLS/Dab2-Can 2,cLS/Dab2-Can 3,cLS/Dab2-Can 4,cLS/dDab2-Can 1,cLS/dDab2-Can 2,cLS/dDab2-Can 3,cLS/dDab2-Can 4,cLS/AGFP 1,cLS/AGFP 2,cLS/AGFP 3,cLS/AGFP 4,cLS/Dab2-Can 1,cLS/Dab2-Can 2,cLS/Dab2-Can 3,cLS/Dab2-Can 4,cLS/dDab2-Can 1,cLS/dDab2-Can 2,cLS/dDab2-Can 3,cLS/dDab2-Can 4,cLS/AGFP 1,cLS/AGFP 2,cLS/AGFP 3,cLS/AGFP 4,cLS/Dab2-Can 1,cLS/Dab2-Can 2,cLS/Dab2-Can 3,cLS/Dab2-Can 4,cLS/dDab2-Can 1,cLS/dDab2-Can 2,cLS/dDab2-Can 3,cLS/dDab2-Can 4,cLS/Dab2-dCan 1,cLS/Dab2-dCan 2,cLS/Dab2-dCan 3,cLS/Dab2-dCan 4,cLS/dDab2-dCan 1,cLS/dDab2-dCan 2,cLS/dDab2-dCan 3,cLS/dDab2-dCan 4,LS/Can 1,LS/Can 2,LS/Can 3,LS/Can 4,cLS/Dab2-dCan 1,cLS/Dab2-dCan 2,cLS/Dab2-dCan 3,cLS/Dab2-dCan 4,cLS/dDab2-dCan 1,cLS/dDab2-dCan 2,cLS/dDab2-dCan 3,cLS/dDab2-dCan 4,LS/Can 1,LS/Can 2,LS/Can 3,LS/Can 4,cLS/Dab2-dCan 1,cLS/Dab2-dCan 2,cLS/Dab2-dCan 3,cLS/Dab2-dCan 4,cLS/dDab2-dCan 1,cLS/dDab2-dCan 2,cLS/dDab2-dCan 3,cLS/dDab2-dCan 4,LS/Can 1,LS/Can 2,LS/Can 3,LS/Can 4,LS/Dab2 1,LS/Dab2 2,LS/Dab2 3,LS/Dab2 4,LS/Dab2 1,LS/Dab2 2,LS/Dab2 3,LS/Dab2 4,LS/Dab2 1,LS/Dab2 2,LS/Dab2 3,LS/Dab2 4
1,0.0,4.8,19.7,0.0416,0.0414,0.0429,0.0416,0.0484,0.046,0.0448,0.0444,0.0427,0.0426,0.0412,0.041,0.0455,0.0501,0.0466,0.0466,0.0489,0.0464,0.0461,0.0465,0.0447,0.0444,0.0474,0.054,0.0585,0.0465,0.0455,0.0463,0.0449,0.0439,0.044,0.0445,0.0457,0.0456,0.0447,0.0462,0.0454,0.0473,0.0482,0.0451,0.0464,0.0483,0.0474,0.0444,0.0456,0.0451,0.0456,0.046,0.0635,0.0469,0.0438,0.0454,0.044,0.0448,0.0443,0.0498,0.0473,0.047,0.0483,0.0453,0.0447,0.0478,0.046,0.0465,0.045,0.0456,0.0459,0.0452,0.0448,0.0448,0.0476,0.0478,0.0529,0.0454,0.0482,0.0486,0.0466,0.0469,0.0455,0.0455,0.0444,0.0471,0.0469,0.0474,0.0454,0.0449,0.0462,0.0445,0.0466,0.0446,0.0443,0.0458,0.0453,0.0458,0.0447,0.0507
2,1834.97,5.0,19.6,0.0413,0.0416,0.0419,0.0414,0.0477,0.0444,0.0447,0.0443,0.0425,0.0426,0.0411,0.041,0.0453,0.0473,0.0467,0.0458,0.0463,0.0453,0.0451,0.0462,0.0457,0.0463,0.0458,0.0702,0.1268,0.0462,0.0461,0.0458,0.0458,0.0451,0.0453,0.0462,0.046,0.0464,0.045,0.0458,0.0448,0.0452,0.0459,0.0458,0.0458,0.0502,0.0466,0.0454,0.0455,0.0456,0.0451,0.0702,0.1331,0.045,0.0456,0.0457,0.045,0.0466,0.0462,0.0466,0.0461,0.0457,0.0498,0.0449,0.0535,0.0449,0.0454,0.0456,0.0453,0.0457,0.0464,0.0466,0.0463,0.0465,0.0466,0.0631,0.1847,0.0449,0.0457,0.0456,0.046,0.045,0.0452,0.0476,0.0456,0.0469,0.0474,0.0447,0.0446,0.0448,0.046,0.045,0.0465,0.0452,0.0479,0.0494,0.0461,0.0461,0.0451,0.0659
3,3669.804,5.0,19.6,0.0414,0.0416,0.0419,0.0414,0.0479,0.0432,0.045,0.0442,0.0424,0.0426,0.0415,0.0411,0.0465,0.0473,0.0468,0.0457,0.0465,0.0456,0.0457,0.0469,0.046,0.0467,0.0461,0.0788,0.1523,0.0465,0.0461,0.0459,0.0457,0.0454,0.0458,0.0466,0.0462,0.0474,0.0461,0.0457,0.0449,0.0453,0.0483,0.0464,0.0459,0.0536,0.0476,0.0458,0.0456,0.046,0.0453,0.0847,0.1975,0.0452,0.046,0.0457,0.0454,0.0467,0.0462,0.0468,0.047,0.0468,0.0534,0.0456,0.0795,0.0453,0.0461,0.046,0.0457,0.0463,0.0524,0.0499,0.0506,0.0472,0.0474,0.0836,0.2427,0.0454,0.0459,0.0456,0.0463,0.0448,0.0457,0.0508,0.052,0.0514,0.047,0.0454,0.0445,0.0453,0.0497,0.0455,0.0465,0.0458,0.0495,0.0543,0.0491,0.0482,0.0457,0.07
4,5504.594,5.0,19.6,0.0415,0.0413,0.0424,0.0415,0.0482,0.0409,0.0453,0.0444,0.0424,0.043,0.0438,0.0411,0.0466,0.0473,0.0479,0.0462,0.0476,0.0459,0.0483,0.0471,0.0478,0.0471,0.0465,0.1113,0.1206,0.0463,0.0465,0.0461,0.0461,0.0458,0.0461,0.0473,0.0471,0.048,0.047,0.0468,0.0451,0.0457,0.0459,0.0469,0.0462,0.0567,0.0539,0.0471,0.047,0.0464,0.0454,0.0972,0.1453,0.0455,0.0462,0.046,0.0455,0.0473,0.0468,0.0473,0.0511,0.0479,0.054,0.0463,0.0807,0.0469,0.0467,0.0469,0.0462,0.048,0.0689,0.0522,0.0467,0.0473,0.0475,0.0734,0.1784,0.0468,0.0469,0.0494,0.0579,0.0454,0.0474,0.0504,0.0487,0.0491,0.0503,0.0461,0.0445,0.0462,0.0523,0.0451,0.048,0.0488,0.0536,0.0469,0.045,0.049,0.0462,0.0745
5,7339.281,5.0,19.6,0.0413,0.0413,0.0422,0.0415,0.0479,0.0408,0.0458,0.0443,0.0426,0.0438,0.0414,0.0414,0.0475,0.0478,0.0474,0.0463,0.0471,0.0463,0.0472,0.0476,0.0467,0.0472,0.0468,0.0979,0.1487,0.047,0.0468,0.0463,0.0463,0.0458,0.0464,0.0474,0.0483,0.0516,0.0488,0.0488,0.046,0.0458,0.0471,0.0489,0.0462,0.0591,0.0487,0.0488,0.0495,0.0465,0.0459,0.0935,0.2547,0.0466,0.0466,0.0464,0.0463,0.0476,0.0473,0.0478,0.0487,0.0475,0.0551,0.0468,0.1288,0.0644,0.0493,0.0472,0.047,0.0468,0.0602,0.061,0.047,0.0473,0.0483,0.0537,0.2553,0.0494,0.0468,0.0466,0.0484,0.0473,0.0465,0.047,0.0479,0.0505,0.0482,0.0457,0.0447,0.0474,0.0605,0.0456,0.0466,0.0489,0.0828,0.06,0.0529,0.0493,0.0463,0.0787
6,9174.11,5.1,19.6,0.0414,0.0416,0.0418,0.0416,0.0476,0.0406,0.0459,0.0445,0.0423,0.0426,0.0418,0.0408,0.0476,0.0485,0.0478,0.0473,0.0485,0.047,0.0523,0.0492,0.0473,0.0474,0.047,0.087,0.1399,0.0479,0.0471,0.0467,0.0468,0.0463,0.0468,0.0483,0.0479,0.0494,0.0551,0.0478,0.0456,0.0463,0.0469,0.0475,0.0468,0.0596,0.0573,0.0491,0.0467,0.0469,0.046,0.0778,0.2007,0.047,0.0471,0.047,0.0469,0.048,0.0477,0.0486,0.0476,0.0477,0.0562,0.0472,0.118,0.059,0.0483,0.0483,0.0476,0.0474,0.0656,0.0673,0.0478,0.0484,0.0481,0.076,0.2101,0.0512,0.0499,0.049,0.0493,0.0464,0.0473,0.0517,0.0516,0.0537,0.0488,0.0461,0.0443,0.0476,0.0578,0.0448,0.0468,0.0663,0.0889,0.0537,0.0463,0.0474,0.0472,0.0744
7,11008.856,5.0,19.6,0.0414,0.0416,0.0421,0.0413,0.0532,0.0407,0.0472,0.0443,0.0441,0.0427,0.0431,0.0417,0.0492,0.0499,0.0513,0.0503,0.0484,0.0485,0.0472,0.0482,0.05,0.0482,0.0473,0.0947,0.1366,0.0478,0.0479,0.047,0.0474,0.047,0.0474,0.0486,0.0485,0.0536,0.0492,0.0493,0.0462,0.0468,0.0482,0.0486,0.0473,0.0599,0.0495,0.0545,0.0496,0.0473,0.0465,0.0944,0.2429,0.0602,0.0519,0.048,0.0477,0.0487,0.0478,0.0487,0.0473,0.0564,0.0567,0.0473,0.0958,0.0624,0.0515,0.0478,0.0474,0.0486,0.0638,0.0705,0.0472,0.0485,0.0487,0.0903,0.2547,0.0554,0.0502,0.0473,0.0491,0.0481,0.0471,0.0477,0.053,0.0535,0.0487,0.0465,0.0451,0.0476,0.0588,0.0464,0.0481,0.0476,0.0751,0.0688,0.051,0.0477,0.0472,0.0691
8,12843.666,5.0,19.6,0.0415,0.0414,0.0418,0.0414,0.0465,0.0408,0.0477,0.0446,0.0428,0.0425,0.0413,0.0409,0.0481,0.0494,0.0494,0.0475,0.0481,0.0474,0.0481,0.0488,0.0479,0.0484,0.0478,0.0773,0.1807,0.048,0.0479,0.0475,0.0476,0.0471,0.0478,0.0488,0.0479,0.0502,0.0471,0.0479,0.0466,0.0472,0.0473,0.049,0.0476,0.0606,0.0498,0.0523,0.0486,0.0477,0.0469,0.096,0.3134,0.0737,0.0544,0.052,0.0481,0.049,0.0488,0.0494,0.049,0.0486,0.0577,0.0476,0.127,0.1008,0.0515,0.0499,0.048,0.0487,0.0631,0.0695,0.0493,0.0488,0.0495,0.0839,0.3205,0.0591,0.0498,0.0473,0.0491,0.0486,0.0477,0.0483,0.0483,0.0507,0.0494,0.0471,0.0448,0.0495,0.056,0.0456,0.0477,0.0482,0.0651,0.0611,0.0772,0.0487,0.0474,0.0727
9,14678.539,5.0,19.6,0.0413,0.0413,0.042,0.0416,0.0445,0.0407,0.0477,0.0442,0.0425,0.0431,0.0409,0.0411,0.0502,0.0517,0.0512,0.0487,0.0497,0.0486,0.0482,0.0493,0.0489,0.0489,0.0482,0.0861,0.2033,0.0485,0.0488,0.048,0.0482,0.0476,0.0485,0.0498,0.0488,0.05,0.0479,0.0481,0.0479,0.0477,0.0492,0.0505,0.0478,0.06,0.0519,0.0553,0.0524,0.0484,0.0475,0.0923,0.2986,0.1394,0.0769,0.0585,0.0577,0.0497,0.0495,0.0501,0.0482,0.0517,0.0581,0.0489,0.1347,0.068,0.0574,0.0498,0.0488,0.0489,0.0716,0.0789,0.0506,0.0489,0.0504,0.0833,0.2758,0.066,0.0724,0.0596,0.0542,0.0481,0.048,0.0489,0.0511,0.0538,0.0501,0.0476,0.0468,0.0582,0.0849,0.0518,0.0493,0.0473,0.0638,0.1004,0.0685,0.052,0.0484,0.086
10,16513.387,5.0,19.6,0.0413,0.0414,0.0416,0.0413,0.0434,0.0405,0.0476,0.0444,0.0426,0.0443,0.0414,0.0406,0.0491,0.0503,0.0493,0.0482,0.0486,0.0483,0.0483,0.0497,0.0484,0.0491,0.0486,0.0741,0.1649,0.0502,0.0487,0.0481,0.0483,0.048,0.0486,0.0499,0.049,0.055,0.0527,0.0506,0.0498,0.0487,0.0501,0.0491,0.0482,0.0588,0.0513,0.0581,0.054,0.0487,0.0478,0.0854,0.2438,0.0519,0.049,0.0486,0.0486,0.0498,0.0497,0.0512,0.0547,0.0498,0.0577,0.0485,0.1089,0.0673,0.0521,0.0504,0.0493,0.0498,0.0654,0.0737,0.0507,0.0499,0.0508,0.0893,0.2742,0.0668,0.0657,0.0547,0.0528,0.0491,0.0485,0.0491,0.0528,0.0637,0.0503,0.0478,0.0465,0.057,0.0871,0.047,0.0476,0.048,0.0656,0.0886,0.0543,0.0483,0.0487,0.084
