cycle_n,time_s,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,cLS/AGFP 1,cLS/AGFP 2,cLS/AGFP 3,cLS/AGFP 4,cLS/Dab2-Can 1,cLS/Dab2-Can 2,cLS/Dab2-Can 3,cLS/Dab2-Can 4,cLS/dDab2-Can 1,cLS/dDab2-Can 2,cLS/dDab2-Can 3,cLS/dDab2-Can 4,cLS/AGFP 1,cLS/AGFP 2,cLS/AGFP 3,cLS/AGFP 4,cLS/Dab2-Can 1,cLS/Dab2-Can 2,cLS/Dab2-Can 3,cLS/Dab2-Can 4,cLS/dDab2-Can 1,cLS/dDab2-Can 2,cLS/dDab2-Can 3,cLS/dDab2-Can 4,cLS/AGFP 1,cLS/AGFP 2,cLS/AGFP 3,cLS/AGFP 4,cLS/Dab2-Can 1,cLS/Dab2-Can 2,cLS/Dab2-Can 3,cLS/Dab2-Can 4,cLS/dDab2-Can 1,cLS/dDab2-Can 2,cLS/dDab2-Can 3,cLS/dDab2-Can 4,cLS/Dab2-dCan 1,cLS/Dab2-dCan 2,cLS/Dab2-dCan 3,cLS/Dab2-dCan 4,cLS/dDab2-dCan 1,cLS/dDab2-dCan 2,cLS/dDab2-dCan 3,cLS/dDab2-dCan 4,LS/Can 1,LS/Can 2,LS/Can 3,LS/Can 4,cLS/Dab2-dCan 1,cLS/Dab2-dCan 2,cLS/Dab2-dCan 3,cLS/Dab2-dCan 4,cLS/dDab2-dCan 1,cLS/dDab2-dCan 2,cLS/dDab2-dCan 3,cLS/dDab2-dCan 4,LS/Can 1,LS/Can 2,LS/Can 3,LS/Can 4,cLS/Dab2-dCan 1,cLS/Dab2-dCan 2,cLS/Dab2-dCan 3,cLS/Dab2-dCan 4,cLS/dDab2-dCan 1,cLS/dDab2-dCan 2,cLS/dDab2-dCan 3,cLS/dDab2-dCan 4,LS/Can 1,LS/Can 2,LS/Can 3,LS/Can 4,LS/Dab2 1,LS/Dab2 2,LS/Dab2 3,LS/Dab2 4,LS/Dab2 1,LS/Dab2 2,LS/Dab2 3,LS/Dab2 4,LS/Dab2 1,LS/Dab2 2,LS/Dab2 3,LS/Dab2 4
1,0.0,0.039,0.0393,0.0407,0.0395,0.0405,0.0389,0.0408,0.0407,0.0407,0.0392,0.0392,0.0395,0.0427,0.0668,0.0434,0.0453,0.0457,0.0444,0.0449,0.0454,0.0435,0.0506,0.0458,0.0443,0.0434,0.046,0.0436,0.0434,0.0453,0.0428,0.0452,0.044,0.0434,0.0434,0.0469,0.0431,0.0428,0.0442,0.0434,0.0444,0.0453,0.0428,0.0443,0.0448,0.0456,0.0428,0.0447,0.0434,0.0429,0.0432,0.0444,0.0437,0.0448,0.0468,0.043,0.0431,0.0439,0.045,0.0443,0.0425,0.0429,0.0431,0.0431,0.0438,0.0429,0.0435,0.0421,0.0448,0.0447,0.043,0.0445,0.0426,0.0436,0.0425,0.0436,0.0432,0.0425,0.0427,0.043,0.0432,0.0438,0.0436,0.0453,0.0427,0.0432,0.0438,0.0426,0.0429,0.0443,0.0436,0.0429,0.044,0.0431,0.0443,0.0437,0.0417
2,1800.003,0.0388,0.0392,0.0405,0.0394,0.0403,0.0389,0.0405,0.0404,0.0404,0.0391,0.0391,0.0393,0.0429,0.0777,0.0436,0.0458,0.0449,0.0437,0.0435,0.0435,0.0434,0.0502,0.0477,0.0446,0.0429,0.0449,0.0433,0.044,0.0447,0.043,0.0469,0.0446,0.0432,0.044,0.051,0.0433,0.0427,0.0436,0.0435,0.0441,0.045,0.0431,0.0444,0.0436,0.0444,0.0433,0.0435,0.0433,0.0431,0.0437,0.0442,0.0434,0.0446,0.0457,0.0432,0.0437,0.0439,0.0442,0.0445,0.0429,0.0434,0.0431,0.0439,0.0437,0.0435,0.0439,0.0431,0.0445,0.0439,0.0435,0.0444,0.0428,0.0433,0.0427,0.0441,0.0432,0.0434,0.0433,0.0438,0.044,0.0437,0.0435,0.0452,0.0424,0.0427,0.0431,0.0433,0.0429,0.0431,0.0431,0.0429,0.0435,0.0424,0.0439,0.0427,0.0414
3,3600.025,0.0388,0.0392,0.0405,0.0393,0.0403,0.0388,0.0405,0.0404,0.0404,0.039,0.0391,0.0391,0.043,0.0825,0.0436,0.0462,0.045,0.0436,0.0438,0.0437,0.0435,0.0523,0.0493,0.0449,0.043,0.0448,0.0435,0.044,0.0445,0.0431,0.0479,0.045,0.0432,0.0439,0.0547,0.0432,0.0428,0.0437,0.0436,0.0441,0.0455,0.0434,0.0447,0.0437,0.0445,0.0434,0.0436,0.0432,0.0432,0.0438,0.0444,0.0436,0.0449,0.0458,0.0433,0.0437,0.0439,0.0443,0.0448,0.043,0.0435,0.0432,0.0441,0.0438,0.0436,0.0443,0.0433,0.0446,0.0441,0.0438,0.0448,0.043,0.0437,0.0426,0.0441,0.0434,0.0436,0.0434,0.0439,0.0441,0.0438,0.0435,0.0454,0.0426,0.0428,0.0433,0.0436,0.0431,0.0431,0.0434,0.0431,0.0435,0.0425,0.044,0.0431,0.0417
4,5400.031,0.0387,0.0392,0.0405,0.0395,0.0403,0.0388,0.0405,0.0404,0.0404,0.0391,0.0391,0.0392,0.0429,0.0862,0.0437,0.0468,0.0451,0.0438,0.0437,0.0437,0.0435,0.0532,0.0502,0.045,0.0429,0.0449,0.0435,0.0441,0.0448,0.0432,0.0483,0.0451,0.0432,0.044,0.0567,0.0434,0.043,0.0437,0.0436,0.0442,0.0458,0.0434,0.0447,0.0438,0.0445,0.0435,0.0435,0.0433,0.0432,0.0438,0.0444,0.0437,0.0447,0.0461,0.0434,0.044,0.0439,0.0444,0.0448,0.0432,0.0437,0.0432,0.0442,0.0439,0.0436,0.0441,0.0433,0.0446,0.044,0.0437,0.0449,0.0431,0.0435,0.0428,0.0441,0.0433,0.0436,0.0436,0.0441,0.0441,0.044,0.0436,0.0459,0.0428,0.0427,0.0437,0.0441,0.0433,0.0431,0.0436,0.0435,0.0439,0.0424,0.0443,0.0432,0.0418
5,7200.065,0.0387,0.0391,0.0405,0.0393,0.0403,0.0387,0.0404,0.0403,0.0404,0.039,0.0392,0.0393,0.0431,0.0835,0.0439,0.0475,0.0452,0.0439,0.0439,0.0439,0.0437,0.0535,0.0529,0.0454,0.043,0.045,0.0435,0.0441,0.0448,0.0433,0.0481,0.0451,0.0432,0.044,0.0575,0.0433,0.043,0.0438,0.0436,0.0443,0.0459,0.0435,0.0447,0.0437,0.0446,0.0437,0.0435,0.0435,0.044,0.0439,0.0444,0.0436,0.0447,0.0461,0.0433,0.0441,0.044,0.0445,0.0448,0.0433,0.0438,0.0434,0.0442,0.0439,0.0437,0.0444,0.0434,0.0448,0.0443,0.044,0.045,0.0432,0.0526,0.043,0.0443,0.0436,0.0438,0.0435,0.0441,0.0442,0.0439,0.0436,0.046,0.0428,0.0428,0.0438,0.0441,0.0434,0.0432,0.0434,0.0436,0.0438,0.0425,0.0443,0.0434,0.0419
6,9000.066,0.0388,0.0392,0.0406,0.0393,0.0404,0.0388,0.0405,0.0404,0.0404,0.0391,0.0391,0.0393,0.0432,0.084,0.044,0.0477,0.0453,0.0441,0.044,0.0441,0.0438,0.0539,0.0529,0.0459,0.0431,0.0451,0.0436,0.0442,0.0449,0.0434,0.0482,0.0453,0.0435,0.0442,0.0573,0.0434,0.043,0.0437,0.0436,0.0442,0.0463,0.0436,0.045,0.0442,0.0446,0.0438,0.0437,0.0435,0.0437,0.0439,0.0446,0.0438,0.0449,0.0463,0.0435,0.0442,0.0442,0.0445,0.045,0.0434,0.0438,0.0434,0.0443,0.0441,0.0438,0.0444,0.0436,0.0449,0.0442,0.044,0.0451,0.0433,0.0448,0.043,0.0445,0.0436,0.0439,0.0438,0.0443,0.0443,0.0441,0.0438,0.0462,0.043,0.0428,0.0439,0.0442,0.0434,0.0434,0.0438,0.0438,0.0441,0.0427,0.0446,0.0435,0.0419
7,10800.099,0.0387,0.0391,0.0405,0.0393,0.0402,0.0388,0.0403,0.0403,0.0404,0.0391,0.0391,0.0392,0.0432,0.0847,0.0438,0.0474,0.0454,0.044,0.044,0.044,0.0438,0.0533,0.053,0.0458,0.0432,0.045,0.0436,0.0443,0.0449,0.0434,0.0472,0.0452,0.0434,0.0442,0.0576,0.0433,0.043,0.0438,0.0438,0.0442,0.0463,0.0437,0.045,0.0441,0.0446,0.0438,0.0437,0.0436,0.0434,0.044,0.0445,0.0438,0.0448,0.0464,0.0436,0.0439,0.0439,0.0444,0.045,0.0433,0.0438,0.0435,0.0445,0.0442,0.0437,0.0446,0.0436,0.045,0.0442,0.0439,0.045,0.0434,0.0473,0.043,0.0446,0.0437,0.0438,0.0438,0.0442,0.0443,0.0441,0.0437,0.0459,0.043,0.0428,0.0438,0.0442,0.0433,0.0432,0.0437,0.0436,0.0438,0.0425,0.0444,0.0434,0.0417
8,12600.099,0.0388,0.0391,0.0404,0.0394,0.0403,0.0388,0.0405,0.0403,0.0404,0.0391,0.0391,0.0393,0.0431,0.0851,0.0439,0.0473,0.0455,0.0442,0.044,0.0438,0.0438,0.0535,0.0529,0.0458,0.0432,0.045,0.0435,0.0442,0.0448,0.0435,0.0445,0.045,0.0435,0.0442,0.0576,0.0435,0.0431,0.0438,0.0436,0.0443,0.0463,0.0436,0.045,0.0442,0.0447,0.0437,0.0438,0.0436,0.0435,0.044,0.0445,0.0438,0.0448,0.0464,0.0435,0.0441,0.0441,0.0447,0.045,0.0434,0.0436,0.0434,0.0444,0.0443,0.0436,0.0444,0.0435,0.0449,0.0441,0.0439,0.0451,0.0433,0.0438,0.0429,0.0446,0.0436,0.0437,0.0439,0.0443,0.0444,0.0441,0.0437,0.046,0.0429,0.0429,0.044,0.0441,0.0433,0.0432,0.0437,0.0436,0.0437,0.0425,0.0444,0.0435,0.0418
9,14400.1,0.0387,0.0391,0.0405,0.0393,0.0404,0.0388,0.0405,0.0404,0.0405,0.039,0.0391,0.0392,0.0432,0.0851,0.0439,0.0471,0.0456,0.0443,0.0441,0.0441,0.0439,0.0527,0.053,0.0458,0.0433,0.0451,0.0437,0.0442,0.045,0.0436,0.0445,0.0446,0.0436,0.0444,0.0576,0.0437,0.0431,0.044,0.0438,0.0443,0.0465,0.0437,0.0451,0.0443,0.0446,0.0439,0.0438,0.0437,0.0435,0.0442,0.0448,0.0439,0.0448,0.0464,0.0436,0.0442,0.044,0.0446,0.045,0.0434,0.0437,0.0435,0.0445,0.0443,0.0436,0.0445,0.0436,0.045,0.0443,0.0441,0.0452,0.0435,0.0441,0.0431,0.0445,0.0437,0.0438,0.0437,0.0442,0.0443,0.0441,0.0439,0.046,0.0431,0.043,0.0441,0.0441,0.0434,0.0432,0.0437,0.0436,0.0438,0.0427,0.0446,0.0434,0.0417
10,16200.104,0.0388,0.0391,0.0406,0.0394,0.0403,0.0388,0.0405,0.0404,0.0405,0.0391,0.0392,0.0393,0.0433,0.0858,0.044,0.0476,0.0457,0.0442,0.0442,0.0441,0.044,0.0522,0.0532,0.0458,0.0433,0.0452,0.0437,0.0443,0.0452,0.0437,0.0446,0.0442,0.0436,0.0445,0.0575,0.0438,0.0432,0.044,0.0439,0.0443,0.0465,0.0439,0.0451,0.0443,0.0446,0.0439,0.0439,0.0436,0.0435,0.0442,0.0449,0.0439,0.0449,0.0465,0.0438,0.0441,0.0441,0.0447,0.0452,0.0435,0.0439,0.0436,0.0445,0.0443,0.0438,0.0448,0.0436,0.0451,0.0442,0.0441,0.0453,0.0434,0.046,0.0435,0.0446,0.044,0.0438,0.0439,0.0444,0.0444,0.0443,0.044,0.0462,0.0431,0.043,0.0442,0.044,0.0432,0.0432,0.0437,0.0436,0.0438,0.0425,0.0447,0.0433,0.0417
