locusId	sysName	desc	comb	setAS2 HCO	setAS3 LCO
GFF1190		hypothetical protein	 hypothetical protein	-0.0004017914542436	0.0216269714016806
GFF1209		hypothetical protein	 hypothetical protein	0.222629264656214	-0.117648716462454
GFF1357		hypothetical protein	 hypothetical protein	-0.612700683030123	-0.344187306495124
GFF1439		multidrug efflux protein	 multidrug efflux protein	-0.277287534082194	-0.268327261102026
GFF1496		hypothetical protein	 hypothetical protein	0.676933979427658	0.320858835827563
GFF160		2-isopropylmalate synthase	 2-isopropylmalate synthase	0.0910694034686688	-0.0254828603679283
GFF1606		hypothetical protein	 hypothetical protein	0.173185322457401	0.106927655899116
GFF1629		hypothetical protein	 hypothetical protein	-0.0336537304099009	0.129332740496807
GFF1704		hypothetical protein	 hypothetical protein	0.0128792177937121	0.0170337874019987
GFF1835		cytochrome C	 cytochrome C	0.039589210600952	-0.0579922271535351
GFF2046		hypothetical protein	 hypothetical protein	-0.345332748775057	-0.0352026322434932
GFF2212		hypothetical protein	 hypothetical protein	-0.132573891494812	-0.0331960022172963
GFF2252		IS66 family transposase	 IS66 family transposase	0.00143088097866506	-0.100853320166563
GFF2279		IS3 family transposase	 IS3 family transposase	-0.0249186456836709	-0.0432392906959749
GFF2280		IS3 family transposase	 IS3 family transposase	0.049329632200155	0.0373434923872929
GFF365		IS66 family transposase	 IS66 family transposase	-0.163983534169589	0.0192155327190527
GFF366		IS66 family transposase	 IS66 family transposase	0.169665222741009	0.0249520290358859
GFF371		Killer protein	 Killer protein	0.0436900983356619	0.130196826027909
GFF455		integrase	 integrase	0.0358638917519157	-0.0368777398123494
GFF511		pilus assembly protein PilG	 pilus assembly protein PilG	0.712672082380551	0.44351569915239
GFF559		hypothetical protein	 hypothetical protein	0.211420086504694	0.0660988079630843
GFF718		flagellar biosynthesis protein FlhA	 flagellar biosynthesis protein FlhA	0.014599224799301	-0.0665959356822579
GFF782		hypothetical protein	 hypothetical protein	0.0205380408491677	0.0315727094468403
GFF824		hypothetical protein	 hypothetical protein	-0.122649135781754	-0.0662707079837681
