locusId	sysName	desc	setAS2 HCO	setAS3 LCO
GFF1190		hypothetical protein	0.10068972975208	0.0949612889642075
GFF1209		hypothetical protein	0.329801071244863	-0.0364025903288644
GFF1357		hypothetical protein	-0.493158726793627	-0.251327081283931
GFF1439		multidrug efflux protein	-0.181970147861741	-0.20267327052888
GFF1496		hypothetical protein	0.748517959005527	0.361228660494069
GFF160		2-isopropylmalate synthase	0.0159975312624598	-0.0310550140030038
GFF1606		hypothetical protein	0.205609966877682	0.110425094884841
GFF1629		hypothetical protein	-0.00318109386971577	0.135503823231013
GFF1704		hypothetical protein	0.0371022195975843	0.023449579744812
GFF1835		cytochrome C	0.0477585410444406	-0.0464828184449698
GFF2046		hypothetical protein	-0.372273879871485	-0.00969501097587147
GFF2212		hypothetical protein	-0.205977171287782	-0.0211324531018351
GFF2252		IS66 family transposase	-0.0839706068922934	-0.109868611139484
GFF2279		IS3 family transposase	-0.11065157385553	-0.0548595263139755
GFF2280		IS3 family transposase	-0.0364032959717041	0.0257232567692923
GFF365		IS66 family transposase	-0.143045188695986	0.0724143074420779
GFF366		IS66 family transposase	0.190603568214612	0.0781508037589111
GFF371		Killer protein	0.0696113889118882	0.183395600750934
GFF455		integrase	0.086460010704423	0.0395261471031547
GFF511		pilus assembly protein PilG	0.777533443579837	0.5126109103125
GFF559		hypothetical protein	0.280524587562168	0.117866491361373
GFF718		flagellar biosynthesis protein FlhA	0.0790969975185194	-0.0406727332721917
GFF782		hypothetical protein	0.065318427792708	0.0307348628219619
GFF824		hypothetical protein	-0.0661505078694251	-0.060257121805729
GFF879		hypothetical protein	-0.0278709791770313	-0.206769464649707
GFF880		IS3 family transposase	0.0835791008783372	0.10280525532862
GFF881		GNAT family N-acetyltransferase	0.214534194474924	0.32574424982731
GFF94		hypothetical protein	-0.0122961743517999	0.122369427137438
GFF951		IS3 family transposase	0.0631806923184029	0.0852618191677506
HNEAP_RS00025	HNEAP_RS00025	DNA replication and repair protein RecF	-0.297040411144755	-0.275218373172281
HNEAP_RS00035	HNEAP_RS00035	LemA family protein	-0.376214997911994	-0.218246557133541
HNEAP_RS00040	HNEAP_RS00040	hypothetical protein	-0.0647868908239675	-0.0919616012750641
HNEAP_RS00045	HNEAP_RS00045	exodeoxyribonuclease III	-0.119688786288639	-0.0838168132065289
HNEAP_RS00050	HNEAP_RS00050	ABC transporter permease	-0.220429873020575	-0.109894551633457
HNEAP_RS00055	HNEAP_RS00055	ABC transporter	-0.0652286855569368	-0.000361130404332805
HNEAP_RS00060	HNEAP_RS00060	arylesterase	-0.28651205508641	-0.173449233340384
HNEAP_RS00065	HNEAP_RS00065	DUF559 domain-containing protein	0.0250125305157625	0.13655289657657
HNEAP_RS00070	HNEAP_RS00070	IS110 family transposase	-0.0992746041384273	0.0388593382872132
HNEAP_RS00075	HNEAP_RS00075	prepilin-type cleavage/methylation domain-containing protein	0.445947133231149	0.132981865242197
HNEAP_RS00080	HNEAP_RS00080	Tfp pilus assembly protein FimT-like protein	0.216557662032777	0.0818642132930354
HNEAP_RS00085	HNEAP_RS00085	type IV pilus modification protein PilV	0.62940725233335	0.326774948317545
HNEAP_RS00090	HNEAP_RS00090	prepilin-type cleavage/methylation domain-containing protein	0.504051691083657	0.24708647702084
HNEAP_RS00095	HNEAP_RS00095	hypothetical protein	0.419077543707506	0.210464945092319
HNEAP_RS00100	HNEAP_RS00100	type 4 fimbrial biogenesis protein PilY1	0.121769214105329	-0.0719891371910762
HNEAP_RS00105	HNEAP_RS00105	PilE protein	0.611576769920542	0.331380838573976
HNEAP_RS00110	HNEAP_RS00110	pilus assembly protein	-0.0646594603034636	0.00963443498148547
HNEAP_RS00115	HNEAP_RS00115	DUF559 domain-containing protein	-0.0972227844518146	0.112429459189366
HNEAP_RS00120	HNEAP_RS00120	excinuclease ABC subunit UvrA	-0.178405995348592	-0.175213839264108
HNEAP_RS00130	HNEAP_RS00130	gamma-glutamyltransferase	-0.164961721930958	-0.0178685062781319
