locusId	sysName	desc	setAS2 HCO	setAS3 LCO
GFF1190		hypothetical protein	0.111534274427099	0.0834969421376286
GFF1209		hypothetical protein	0.332556816371504	-0.0582333285413448
GFF1357		hypothetical protein	-0.461239321835141	-0.241816644465258
GFF1439		multidrug efflux protein	-0.214976202354372	-0.191218977104993
GFF1496		hypothetical protein	0.704105166816571	0.329530607950582
GFF160		2-isopropylmalate synthase	0.0349827634823487	-0.0384470524857328
GFF1606		hypothetical protein	0.231398124125972	0.131591230338673
GFF1629		hypothetical protein	-0.00755890582713103	0.123813879746954
GFF1704		hypothetical protein	0.0780939621739023	0.0514976391254258
GFF1835		cytochrome C	0.0457746128060919	-0.00591229341126187
GFF2046		hypothetical protein	-0.411035514867184	-0.0502470926471403
GFF2212		hypothetical protein	-0.130638846413069	-0.0686323716366779
GFF2252		IS66 family transposase	-0.122623587793573	-0.119338354745615
GFF2279		IS3 family transposase	-0.0339357725787686	-0.0285432679108304
GFF2280		IS3 family transposase	-0.0857707528415244	-0.0317760550814778
GFF365		IS66 family transposase	-0.0722154485903008	0.0879642979384148
GFF366		IS66 family transposase	0.0743288187447151	0.0156719430391057
GFF371		Killer protein	0.0120127913889991	0.060430201417434
GFF455		integrase	0.0787596555992405	0.0249020301887217
GFF511		pilus assembly protein PilG	0.782452639331028	0.499110525695114
GFF559		hypothetical protein	0.243405425548707	0.0724291578705296
GFF718		flagellar biosynthesis protein FlhA	0.0821726311087598	-0.0265204396655125
GFF782		hypothetical protein	0.129621747092781	0.0396309260006849
GFF824		hypothetical protein	0.0109754815004468	-0.0944124445501533
GFF879		hypothetical protein	-0.0190832888368107	-0.281783219717526
GFF880		IS3 family transposase	0.0401644366979212	0.0871971109802185
GFF881		GNAT family N-acetyltransferase	0.207950107777741	0.284168988217088
GFF94		hypothetical protein	-0.0232012523893683	0.102736367666488
GFF951		IS3 family transposase	0.0359054563762964	0.0744473232350646
HNEAP_RS00025	HNEAP_RS00025	DNA replication and repair protein RecF	-0.343867235859651	-0.282530562758437
HNEAP_RS00035	HNEAP_RS00035	LemA family protein	-0.356395584148084	-0.228584333905653
HNEAP_RS00040	HNEAP_RS00040	hypothetical protein	-0.0635996183046554	-0.0697779404273575
HNEAP_RS00045	HNEAP_RS00045	exodeoxyribonuclease III	-0.138841946493292	-0.106272599760215
HNEAP_RS00050	HNEAP_RS00050	ABC transporter permease	-0.206429200117865	-0.0999190871615916
HNEAP_RS00055	HNEAP_RS00055	ABC transporter	-0.106703002259227	-0.0284570916623998
HNEAP_RS00060	HNEAP_RS00060	arylesterase	-0.314430784620857	-0.211710515341258
HNEAP_RS00065	HNEAP_RS00065	DUF559 domain-containing protein	0.0236318746558322	0.123792859778266
HNEAP_RS00070	HNEAP_RS00070	IS110 family transposase	-0.0990366185245453	0.0148389840766754
HNEAP_RS00075	HNEAP_RS00075	prepilin-type cleavage/methylation domain-containing protein	0.541354357603966	0.293291464519255
HNEAP_RS00080	HNEAP_RS00080	Tfp pilus assembly protein FimT-like protein	0.265670060140266	0.0713601345636032
HNEAP_RS00085	HNEAP_RS00085	type IV pilus modification protein PilV	0.639459533463812	0.376941530384167
HNEAP_RS00090	HNEAP_RS00090	prepilin-type cleavage/methylation domain-containing protein	0.482332726169032	0.242908253202831
HNEAP_RS00095	HNEAP_RS00095	hypothetical protein	0.525153124501575	0.278287178369329
HNEAP_RS00100	HNEAP_RS00100	type 4 fimbrial biogenesis protein PilY1	0.176726128088065	-0.046784434971002
HNEAP_RS00105	HNEAP_RS00105	PilE protein	0.563981808182481	0.336007276663565
HNEAP_RS00110	HNEAP_RS00110	pilus assembly protein	-0.0777664636268671	9.73115730413809e-05
HNEAP_RS00115	HNEAP_RS00115	DUF559 domain-containing protein	0.110530821148334	0.414663389409012
HNEAP_RS00120	HNEAP_RS00120	excinuclease ABC subunit UvrA	-0.150877364606293	-0.152390113940031
HNEAP_RS00130	HNEAP_RS00130	gamma-glutamyltransferase	-0.18246229953532	-0.00411454234886754
HNEAP_RS00135	HNEAP_RS00135	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	-0.093169445303058	-0.0196583007800832
HNEAP_RS00140	HNEAP_RS00140	metallophosphoesterase	0.00440789403411834	-0.0311917018596208
HNEAP_RS00145	HNEAP_RS00145	ketohexokinase	-1.63748996152687	-1.36848237279597
HNEAP_RS00150	HNEAP_RS00150	GGDEF domain-containing protein	-0.21514766162479	-0.193335885230914
HNEAP_RS00155	HNEAP_RS00155	BolA family transcriptional regulator	-0.416218080084335	-0.18251736008939
HNEAP_RS00160	HNEAP_RS00160	HDOD domain-containing protein	-0.150906736629603	-0.0901784001221895
HNEAP_RS00165	HNEAP_RS00165	bifunctional (p)ppGpp synthetase/guanosine-3' 5'-bis(diphosphate) 3'-pyrophosphohydrolase	-1.17805834288957	-0.64601634832488
HNEAP_RS00170	HNEAP_RS00170	DNA-directed RNA polymerase subunit omega	-2.4475190178828	-1.5529069439334
HNEAP_RS00180	HNEAP_RS00180	DedA family protein	-0.543321525615379	-0.299862232081603
HNEAP_RS00185	HNEAP_RS00185	glycine zipper 2TM domain-containing protein	-0.311183426128931	-0.183228631282542
HNEAP_RS00190	HNEAP_RS00190	membrane protein	0.179263658532986	0.0885225084467871
HNEAP_RS00195	HNEAP_RS00195	exodeoxyribonuclease III	-0.0188597480403168	0.249286273008426
HNEAP_RS00200	HNEAP_RS00200	hypothetical protein	-0.34247686802534	-0.288051108600916
HNEAP_RS00205	HNEAP_RS00205	hypothetical protein	-0.12074152333404	-0.0959377476797041
HNEAP_RS00210	HNEAP_RS00210	TIGR01458 family HAD-type hydrolase	-0.0131412363956276	0.0166982182479938
HNEAP_RS00215	HNEAP_RS00215	competence/damage-inducible protein A	-0.0993840287616585	0.0511928776967459
HNEAP_RS00230	HNEAP_RS00230	hypothetical protein	-0.160356341156112	0.11366932234141
HNEAP_RS00235	HNEAP_RS00235	hypothetical protein	-0.136510142884484	-0.0835673555180225
HNEAP_RS00240	HNEAP_RS00240	5'-deoxynucleotidase	-0.731311983883389	-0.535833430574456
HNEAP_RS00245	HNEAP_RS00245	deoxyguanosinetriphosphate triphosphohydrolase	-0.180051841950561	-0.0666997411240473
HNEAP_RS00250	HNEAP_RS00250	NAD(P)-dependent oxidoreductase	-0.106165424407786	-0.0370180436609733
HNEAP_RS00260	HNEAP_RS00260	DNA recombination protein RmuC	-0.237569996768295	-0.2204739162939
HNEAP_RS00265	HNEAP_RS00265	hypothetical protein	0.0215901227905881	-0.322584662847129
HNEAP_RS00270	HNEAP_RS00270	metallophosphoesterase	-0.692631515719329	-0.832784859930606
HNEAP_RS00275	HNEAP_RS00275	hypothetical protein	0.106048286562824	-0.10403701815447
HNEAP_RS00280	HNEAP_RS00280	hypothetical protein	-0.522012744106933	-0.138015829418608
HNEAP_RS00285	HNEAP_RS00285	bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase	-0.538505250381308	-0.795896269876958
HNEAP_RS00290	HNEAP_RS00290	hypothetical protein	-0.27257594167386	-0.13849793302907
HNEAP_RS00295	HNEAP_RS00295	molecular chaperone Skp	-0.309146677793766	-0.102989804771136
HNEAP_RS00300	HNEAP_RS00300	phosphopantetheine-binding protein	-0.0380278911105973	0.032906955479266
HNEAP_RS00305	HNEAP_RS00305	3-oxoacyl-ACP synthase	-0.212479200289446	-0.130187839291585
HNEAP_RS00310	HNEAP_RS00310	acyl carrier protein	0.205270296661935	0.737312291226626
HNEAP_RS00320	HNEAP_RS00320	AMP-dependent synthetase and ligase	-0.203876100222418	-0.103386186910893
HNEAP_RS00325	HNEAP_RS00325	acyl-CoA synthetase	-0.233017630211362	-0.0250979439469443
HNEAP_RS00330	HNEAP_RS00330	outer membrane lipoprotein carrier protein LolA	-0.154514292958622	0.00197849220820245
HNEAP_RS00335	HNEAP_RS00335	MMPL domain-containing protein	-0.107509741298873	-0.0291004913256021
HNEAP_RS00340	HNEAP_RS00340	hypothetical protein	-0.281894153874109	-0.13144317549512
HNEAP_RS00345	HNEAP_RS00345	2-hydroxyacid dehydrogenase	-0.27231907439981	-0.0963607163396762
HNEAP_RS00350	HNEAP_RS00350	PilZ domain-containing protein	-0.231407767482504	0.043235355917826
HNEAP_RS00355	HNEAP_RS00355	glutamate racemase	-0.0525274608057131	0.0315624120073998
HNEAP_RS00360	HNEAP_RS00360	Txe/YoeB family addiction module toxin	-0.298352576607282	0.0268938516719794
HNEAP_RS00365	HNEAP_RS00365	prevent-host-death family protein	-0.384509220356998	-0.145942745190236
HNEAP_RS00370	HNEAP_RS00370	hypothetical protein	0.0670541549469608	0.0175194636298777
HNEAP_RS00380	HNEAP_RS00380	hypothetical protein	-0.287229313252786	-0.0267457968284273
HNEAP_RS00385	HNEAP_RS00385	hypothetical protein	0.0432546208275761	-0.0882855930789921
HNEAP_RS00390	HNEAP_RS00390	hypothetical protein	-0.27491988214216	-0.180998999969353
HNEAP_RS00395	HNEAP_RS00395	hypothetical protein	-0.393071233860421	-0.208952542716037
HNEAP_RS00400	HNEAP_RS00400	hypothetical protein	0.158123735678033	-0.335534780088626
HNEAP_RS00405	HNEAP_RS00405	hypothetical protein	0.104875620381928	-0.259599526985803
HNEAP_RS00410	HNEAP_RS00410	hypothetical protein	-0.341194178669244	0.0760961177469692
HNEAP_RS00415	HNEAP_RS00415	yfeABCD locus regulator	-0.157497020407254	-0.183450478963449
HNEAP_RS00420	HNEAP_RS00420	ATPase	-0.269350834486149	-0.0420800599937028
HNEAP_RS00435	HNEAP_RS00435	cation transporter	-0.0170829082169455	-0.0218832503230448
HNEAP_RS00445	HNEAP_RS00445	hypothetical protein	-0.134176453268751	0.0655740576041595
HNEAP_RS00450	HNEAP_RS00450	mercury transporter MerC	-0.0763100202242164	-0.0141674599728869
HNEAP_RS00455	HNEAP_RS00455	hypothetical protein	-0.0286109543482773	0.0256577855896074
HNEAP_RS00460	HNEAP_RS00460	hypothetical protein	-0.534579377601474	-0.250815264700204
HNEAP_RS00465	HNEAP_RS00465	hypothetical protein	-0.238358853157385	-0.0201955507825762
HNEAP_RS00470	HNEAP_RS00470	integrase	-0.0465806467759187	0.109977417232612
HNEAP_RS00480	HNEAP_RS00480	class I SAM-dependent methyltransferase	-0.210479820581948	-0.0606106913904743
HNEAP_RS00485	HNEAP_RS00485	SNF2-like protein	-0.143747239602211	-0.101012292925116
HNEAP_RS00490	HNEAP_RS00490	ferrous iron transport protein A	-0.55820105172223	-0.227489862966156
HNEAP_RS00510	HNEAP_RS00510	molecular chaperone DnaJ	-0.0343228654281216	-0.136161724397651
HNEAP_RS00565	HNEAP_RS00565	twin-arginine translocase subunit TatC	-0.392652393665612	-0.367979779151839
HNEAP_RS00575	HNEAP_RS00575	iron export ABC transporter permease subunit FetB	-0.482392377762195	-0.403355732675367
HNEAP_RS00580	HNEAP_RS00580	ABC transporter	-0.570375765668331	-0.249498937016833
HNEAP_RS00585	HNEAP_RS00585	hypothetical protein	-0.284873300477244	-0.181566654920957
HNEAP_RS00590	HNEAP_RS00590	DNA helicase RecG	-0.472645917607773	-0.435567321180175
HNEAP_RS00595	HNEAP_RS00595	Hsp20/alpha crystallin family protein	-0.165849285194353	-0.137176288510259
HNEAP_RS00605	HNEAP_RS00605	OmpA family protein	-0.280351318200616	-0.15227795380077
HNEAP_RS00610	HNEAP_RS00610	hypothetical protein	-0.156079973794077	-0.100921230718225
HNEAP_RS00615	HNEAP_RS00615	hypothetical protein	-0.17805834288957	-0.146709932148431
HNEAP_RS00620	HNEAP_RS00620	hypothetical protein	-0.0849489384980906	0.0428623117443401
HNEAP_RS00635	HNEAP_RS00635	diguanylate cyclase	-0.0319963492923065	-0.0488712253376526
HNEAP_RS00640	HNEAP_RS00640	response regulator	-0.368303328711479	-0.0452865317454059
HNEAP_RS00645	HNEAP_RS00645	sensor histidine kinase	-0.0723314099473775	-0.0130104383124294
HNEAP_RS00650	HNEAP_RS00650	serine/threonine-protein phosphatase	-0.277594016440485	-0.252702745509062
HNEAP_RS00655	HNEAP_RS00655	magnesium and cobalt transport protein CorA	-0.290758475638935	-0.187559779878116
HNEAP_RS00660	HNEAP_RS00660	glycosyltransferase family 1 protein	-0.100862121101477	0.00131876531192354
HNEAP_RS00665	HNEAP_RS00665	phosphatase PAP2 family protein	-0.172133508932465	-0.113741173761662
HNEAP_RS00670	HNEAP_RS00670	general secretion pathway protein GspC	-0.100982119870929	-0.0361362153993934
HNEAP_RS00675	HNEAP_RS00675	type II secretion system protein GspD	-0.0197544188041388	0.0724021849138587
HNEAP_RS00680	HNEAP_RS00680	type II secretion system protein GspE	-0.114953492013179	0.07372592344867
HNEAP_RS00685	HNEAP_RS00685	type II secretion system protein GspF	-0.0268682644228644	-0.0593132139227688
HNEAP_RS00690	HNEAP_RS00690	type II secretion system protein GspG	-0.173653163769569	-0.0667374861073053
HNEAP_RS00705	HNEAP_RS00705	type II secretion system protein GspJ	0.0770185411653035	0.182118788946457
HNEAP_RS00710	HNEAP_RS00710	general secretion pathway protein GspK	-0.0625811254696362	0.0630450789870025
HNEAP_RS00715	HNEAP_RS00715	type II secretory pathway component PulL-like protein	-0.0880430641634309	0.0209402751999281
HNEAP_RS00720	HNEAP_RS00720	type II secretion system protein M	-0.105471262371434	0.0162498535139957
HNEAP_RS00725	HNEAP_RS00725	type II secretion system protein N	-0.0871889001959829	-0.0698507958408818
HNEAP_RS00730	HNEAP_RS00730	DUF4395 domain-containing protein	-0.225727594280887	-0.043864877076869
HNEAP_RS00735	HNEAP_RS00735	hypothetical protein	0.010928868520331	0.0453732722796403
HNEAP_RS00740	HNEAP_RS00740	BCCT family transporter	-0.16884412094932	0.0343726743962964
HNEAP_RS00745	HNEAP_RS00745	MFS transporter	0.0256044002825622	-0.120181626393467
HNEAP_RS00750	HNEAP_RS00750	MFS transporter	0.0415623291968235	0.0922936050635066
HNEAP_RS00760	HNEAP_RS00760	serine/threonine protein kinase	-0.0122798707998584	0.0308055996176542
HNEAP_RS00765	HNEAP_RS00765	phosphopeptide-binding protein	0.00431839959899705	0.0648424124840865
HNEAP_RS00770	HNEAP_RS00770	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF	-0.329604815017029	-0.168917880913784
HNEAP_RS00775	HNEAP_RS00775	chromosome segregation protein SMC	-0.177753430061449	-0.144861981286203
HNEAP_RS00795	HNEAP_RS00795	tRNA-Pro	-0.415097540190421	-0.0799128748550393
HNEAP_RS00800	HNEAP_RS00800	Lrp/AsnC family transcriptional regulator	-0.0317239995312129	-0.00167530052479137
HNEAP_RS00810	HNEAP_RS00810	ABC transporter ATP-binding protein	-0.0380823334601157	-0.0633889358516537
HNEAP_RS00815	HNEAP_RS00815	phosphohistidine phosphatase SixA	0.226252749796213	-0.0504066034042152
HNEAP_RS00820	HNEAP_RS00820	rhombosortase	-0.0272941460778791	0.035589410461319
HNEAP_RS00825	HNEAP_RS00825	transaldolase	-0.0345168281927162	0.0266216707371303
HNEAP_RS00830	HNEAP_RS00830	hypothetical protein	-0.303815761056313	-0.232047116433526
HNEAP_RS00835	HNEAP_RS00835	RNA polymerase sigma factor	-0.208545264420948	-0.0466759652790181
HNEAP_RS00840	HNEAP_RS00840	hypothetical protein	-0.172630298170711	-9.73115730413809e-05
HNEAP_RS00845	HNEAP_RS00845	phosphate porin	-0.148142764985284	-0.0728792830005123
HNEAP_RS00850	HNEAP_RS00850	sensor domain-containing diguanylate cyclase	-0.135124546884235	-0.1880450530407
HNEAP_RS00855	HNEAP_RS00855	protein disulfide oxidoreductase	-0.138745418864746	-0.18337931383625
HNEAP_RS00865	HNEAP_RS00865	dUTP diphosphatase	-1.54729215255529	-1.73514223879786
HNEAP_RS00875	HNEAP_RS00875	hypothetical protein	-0.0655836136311585	-0.203393017374136
HNEAP_RS00880	HNEAP_RS00880	DUF4124 domain-containing protein	-0.259767019468612	-0.059956045363645
HNEAP_RS00885	HNEAP_RS00885	MFS transporter	0.112081729876902	0.00415831101043906
HNEAP_RS00890	HNEAP_RS00890	ArsR family transcriptional regulator	-0.317023035148438	-0.0270337386712196
HNEAP_RS00895	HNEAP_RS00895	ATPase AAA	-2.29907374385094	-1.74453711149916
HNEAP_RS00900	HNEAP_RS00900	DUF58 domain-containing protein	-1.3850726630671	-1.51318066561779
HNEAP_RS00905	HNEAP_RS00905	hypothetical protein	-1.33049591760304	-1.33518984403417
HNEAP_RS00910	HNEAP_RS00910	VWA domain-containing protein	-2.62613903719034	-1.83462045620504
HNEAP_RS00915	HNEAP_RS00915	hypothetical protein	-1.63820257949191	-1.5806519344163
HNEAP_RS00920	HNEAP_RS00920	hypothetical protein	-0.780508270339569	-0.784016582370954
HNEAP_RS00925	HNEAP_RS00925	hypothetical protein	0.223620773534254	0.104749618120032
HNEAP_RS00930	HNEAP_RS00930	High potential iron-sulfur protein	0.180994546612101	0.209330980288243
HNEAP_RS00935	HNEAP_RS00935	SELO family protein	-0.0614255827239258	-0.0632023141823002
HNEAP_RS00940	HNEAP_RS00940	hypothetical protein	-0.129755299088105	-0.0279106109732616
HNEAP_RS00945	HNEAP_RS00945	diaminobutyrate acetyltransferase	0.113684664523648	0.0401221843284461
HNEAP_RS00950	HNEAP_RS00950	diaminobutyrate--2-oxoglutarate transaminase	0.0319813880333353	-0.00486267892997816
HNEAP_RS00955	HNEAP_RS00955	ectoine synthase	-0.154788563566724	-0.00679225381724979
HNEAP_RS00960	HNEAP_RS00960	inositol monophosphatase	-0.107439268196048	-0.0839818217888517
HNEAP_RS00965	HNEAP_RS00965	rhodanese	0.0566824708745219	0.0782559625142216
HNEAP_RS00970	HNEAP_RS00970	DUF2076 domain-containing protein	-0.0714657091344684	-0.0900488076477952
HNEAP_RS00980	HNEAP_RS00980	type II restriction endonuclease	0.147037031076475	0.0331875262776782
HNEAP_RS00990	HNEAP_RS00990	DUF3240 domain-containing protein	0.48313974365867	0.36353795838837
HNEAP_RS00995	HNEAP_RS00995	CusA/CzcA family heavy metal efflux RND transporter	0.0110376679717543	0.101504146024121
HNEAP_RS01000	HNEAP_RS01000	efflux RND transporter periplasmic adaptor subunit	-0.0335635522311772	0.0134500946688831
HNEAP_RS01005	HNEAP_RS01005	TolC family protein	-0.119750044406375	0.00419691681460144
HNEAP_RS01010	HNEAP_RS01010	DNA-binding response regulator	-0.0677481977444803	0.0446690280457158
HNEAP_RS01015	HNEAP_RS01015	two-component sensor histidine kinase	-0.123243168139014	-0.0351065922389502
HNEAP_RS01025	HNEAP_RS01025	tryptophan-rich sensory protein	-0.281487932544977	-0.192607038173517
HNEAP_RS01030	HNEAP_RS01030	DUF2309 domain-containing protein	-0.0414899184203286	-3.07392181118975
HNEAP_RS01035	HNEAP_RS01035	NADH dehydrogenase subunit 5	-0.0702612286279454	-3.16281243591316
HNEAP_RS01040	HNEAP_RS01040	LysR family transcriptional regulator	0.032804592994049	-2.66732685457029
HNEAP_RS01045	HNEAP_RS01045	DUF3817 domain-containing protein	-0.175111058839233	-0.0174645790560408
HNEAP_RS01050	HNEAP_RS01050	aminoacyl-tRNA hydrolase	-0.105413041057806	-0.0408759656660926
HNEAP_RS01055	HNEAP_RS01055	hypothetical protein	0.0573716015496224	0.117042921769517
HNEAP_RS01060	HNEAP_RS01060	thioredoxin domain-containing protein	-0.0634025966559992	-0.0190680931440035
HNEAP_RS01065	HNEAP_RS01065	DUF839 domain-containing protein	-0.0755937734463874	-0.0162465208496325
HNEAP_RS01070	HNEAP_RS01070	hypothetical protein	0.00126971484085558	0.0508454723177607
HNEAP_RS01080	HNEAP_RS01080	hypothetical protein	-0.0539612460144063	0.0520524653534657
HNEAP_RS01085	HNEAP_RS01085	DUF2892 domain-containing protein	0.0949601515168448	0.281338349843355
HNEAP_RS01090	HNEAP_RS01090	hypothetical protein	0.0171334171631718	0.161858670007469
HNEAP_RS01105	HNEAP_RS01105	alkaline invertase	-0.08441746122522	-0.0786264770516727
HNEAP_RS01110	HNEAP_RS01110	sucrose-phosphate synthase	-0.0346535201201945	0.0275365396523419
HNEAP_RS01115	HNEAP_RS01115	haloacid dehalogenase	-1.53561034750765	-1.01650740865046
HNEAP_RS01120	HNEAP_RS01120	Small-conductance mechanosensitive channel-like protein	-0.115473805511549	-0.138567609928502
HNEAP_RS01125	HNEAP_RS01125	pilin	-0.091315340282101	-0.141074397478999
HNEAP_RS01130	HNEAP_RS01130	monofunctional biosynthetic peptidoglycan transglycosylase	-0.148213831956107	0.00215941291491006
HNEAP_RS01135	HNEAP_RS01135	Vi polysaccharide biosynthesis UDP-N-acetylglucosamine C-6 dehydrogenase TviB	0.267816560311866	0.201132163591751
HNEAP_RS01140	HNEAP_RS01140	nucleotidyltransferase domain-containing protein	0.145348680923705	0.0865033408101352
HNEAP_RS01145	HNEAP_RS01145	hypothetical protein	0.0949601515168457	0.19151504799073
HNEAP_RS01155	HNEAP_RS01155	group 1 glycosyl transferase	0.104731358090833	0.124049681326053
HNEAP_RS01165	HNEAP_RS01165	hypothetical protein	-0.0205382444769562	-0.0280066329417448
HNEAP_RS01170	HNEAP_RS01170	DegT/DnrJ/EryC1/StrS family aminotransferase	0.0397331548890083	0.0545411494932253
HNEAP_RS01180	HNEAP_RS01180	nucleotidyltransferase domain-containing protein	-0.0414852900141272	0.0116306062977598
HNEAP_RS01185	HNEAP_RS01185	type II toxin-antitoxin system RelE/ParE family toxin	0.0347903057760064	0.207255500270745
HNEAP_RS01195	HNEAP_RS01195	Txe/YoeB family addiction module toxin	0.10824584226707	0.0594414445828377
HNEAP_RS01200	HNEAP_RS01200	type II toxin-antitoxin system prevent-host-death family antitoxin	-0.421983925775661	-0.417747360651762
HNEAP_RS01215	HNEAP_RS01215	carbohydrate porin	-0.159180332683881	-0.067122194528265
HNEAP_RS01220	HNEAP_RS01220	succinyldiaminopimelate transaminase	-0.239080614644315	-0.0899313115376614
HNEAP_RS01225	HNEAP_RS01225	glyoxalase	0.109429106668762	0.357150930753804
HNEAP_RS01235	HNEAP_RS01235	ParA family protein	0.104731358090833	0.166273069723385
HNEAP_RS01240	HNEAP_RS01240	nitrogen regulation protein NR(I)	-0.0945956205976053	-0.0711864303395036
HNEAP_RS01245	HNEAP_RS01245	hypothetical protein	0.0241823476859544	-0.0270057653021265
HNEAP_RS01250	HNEAP_RS01250	DUF4124 domain-containing protein	-0.117593701625678	0.270624923976676
HNEAP_RS01265	HNEAP_RS01265	hypothetical protein	-0.0996704442048548	0.00139250721197115
HNEAP_RS01270	HNEAP_RS01270	C4-dicarboxylate ABC transporter	-0.0842467262472386	-0.0130944495968688
HNEAP_RS01275	HNEAP_RS01275	integral membrane protein	-0.101287675312838	0.0459144053481459
HNEAP_RS01280	HNEAP_RS01280	cytochrome c554	-1.26552118413991	-1.14851668885406
HNEAP_RS01315	HNEAP_RS01315	hypothetical protein	-0.0499019913988885	0.0107827584972178
HNEAP_RS01320	HNEAP_RS01320	copper oxidase	0.0444135592083157	0.123780797274593
HNEAP_RS01325	HNEAP_RS01325	copper resistance protein B	-0.0281514285868312	0.0424910094540696
HNEAP_RS01330	HNEAP_RS01330	hypothetical protein	-0.613273724106045	-0.31381991798369
HNEAP_RS01335	HNEAP_RS01335	bilirubin oxidase	-0.0253394493599348	0.0990070212670808
HNEAP_RS01340	HNEAP_RS01340	TolC family protein	-0.390787666875299	-0.293174525902051
HNEAP_RS01350	HNEAP_RS01350	AcrB/AcrD/AcrF family protein	-0.339784073773663	-0.15343728173716
HNEAP_RS01355	HNEAP_RS01355	DUF4332 domain-containing protein	0.0145867350528244	0.314182643617145
HNEAP_RS01360	HNEAP_RS01360	type II toxin-antitoxin system RelE/ParE family toxin	-0.155338266389488	0.131591230338673
HNEAP_RS01365	HNEAP_RS01365	hypothetical protein	0.0145867350528244	-0.131443175495122
HNEAP_RS01375	HNEAP_RS01375	ATP-dependent RNA helicase HrpA	0.00743494188349203	0.146585078049297
HNEAP_RS01380	HNEAP_RS01380	hypothetical protein	0.0242823999857649	0.0981001652693259
HNEAP_RS01385	HNEAP_RS01385	DUF3024 domain-containing protein	-0.148310999495519	-0.113521267497859
HNEAP_RS01390	HNEAP_RS01390	type II toxin-antitoxin system RelE/ParE family toxin	-0.065290412727621	0.131591230338673
HNEAP_RS01395	HNEAP_RS01395	type II toxin-antitoxin system ParD family antitoxin	0.258040771917103	0.0664962021167881
HNEAP_RS01400	HNEAP_RS01400	anti-sigma-K factor RskA	-0.031758475826221	0.0780693569901505
HNEAP_RS01405	HNEAP_RS01405	hypothetical protein	0.0324824885547326	0.160949409937471
HNEAP_RS01415	HNEAP_RS01415	hypothetical protein	0.149516315138934	0.152652845866503
HNEAP_RS01420	HNEAP_RS01420	DUF692 domain-containing protein	0.0481511226052511	0.0898315843401214
HNEAP_RS01430	HNEAP_RS01430	thioredoxin domain-containing protein	0.0517508305269168	0.15593698257163
HNEAP_RS01435	HNEAP_RS01435	fatty acid hydroxylase	-0.0150527553870496	-0.100034470775812
HNEAP_RS01440	HNEAP_RS01440	DUF4124 domain-containing protein	0.174918188257021	0.0957141940100747
HNEAP_RS01445	HNEAP_RS01445	aminoglycoside phosphotransferase	-0.221438550447989	-0.388323973216858
HNEAP_RS01450	HNEAP_RS01450	Zn-dependent hydrolase	-0.0361045372055351	0.00577582107888119
HNEAP_RS01455	HNEAP_RS01455	pyridine nucleotide-disulfide oxidoreductase	0.036839541899953	0.10898980140154
HNEAP_RS01460	HNEAP_RS01460	DNA helicase RecQ	0.0147874299186821	0.0460088083228882
HNEAP_RS01465	HNEAP_RS01465	hypothetical protein	0.12354589922748	0.0588819080301732
HNEAP_RS01470	HNEAP_RS01470	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase	-0.00587736750689061	-0.701787319620546
HNEAP_RS01475	HNEAP_RS01475	peptidase S16	0.0153000577080924	0.0837146033878913
HNEAP_RS01480	HNEAP_RS01480	thiol reductase thioredoxin	-0.0988115918798353	0.0252823281923318
HNEAP_RS01485	HNEAP_RS01485	AEC family transporter	-0.133301764659052	0.0767292953041547
HNEAP_RS01490	HNEAP_RS01490	FKBP-type peptidylprolyl isomerase	-0.631776310332475	-0.216332073081634
HNEAP_RS01495	HNEAP_RS01495	peptidase M61 domain-containing protein	-0.401346569930609	-0.28076218436896
HNEAP_RS01530	HNEAP_RS01530	elongation factor Tu	-0.36874190449868	-0.910228945355954
HNEAP_RS01735	HNEAP_RS01735	hypothetical protein	0.197086429265759	0.220596236397418
HNEAP_RS01740	HNEAP_RS01740	excinuclease ABC subunit UvrB	-0.167445908139603	-0.110062562913431
HNEAP_RS01750	HNEAP_RS01750	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	-0.0806034682221259	-0.0489810153031485
HNEAP_RS01760	HNEAP_RS01760	recombinase RecA	-0.519749692598364	-0.505838690276619
HNEAP_RS01765	HNEAP_RS01765	regulatory protein RecX	0.224752854056013	0.276270982977864
HNEAP_RS01785	HNEAP_RS01785	ammonium transporter	-0.235471585388508	-0.211224231022513
HNEAP_RS01810	HNEAP_RS01810	hypothetical protein	-0.0837707473008074	0.00862970786694817
