locusId	sysName	desc	setAS2 HCO	setAS3 LCO
GFF1190		hypothetical protein	0.0534195763020174	0.052687092659714
GFF1209		hypothetical protein	0.23493854846447	0.247049173602351
GFF1357		hypothetical protein	0.0917085736716046	0.0857990042842557
GFF1439		multidrug efflux protein	0.109772592138803	0.107023195940501
GFF1496		hypothetical protein	0.324809453587536	0.338504313334202
GFF160		2-isopropylmalate synthase	0.053021428663743	0.0527098161452113
GFF1606		hypothetical protein	0.126899548082887	0.126776761844088
GFF1629		hypothetical protein	0.156356269715703	0.149802533197636
GFF1704		hypothetical protein	0.0905709132603944	0.0892922332771244
GFF1835		cytochrome C	0.0882790239162374	0.0874150422729408
GFF2046		hypothetical protein	0.18748501048248	0.170955612122454
GFF2212		hypothetical protein	0.107957188096031	0.104572767943794
GFF2252		IS66 family transposase	0.0513234837907553	0.0502661604939794
GFF2279		IS3 family transposase	0.094526179826497	0.0925962805423279
GFF2280		IS3 family transposase	0.103300462567922	0.100253549351127
GFF365		IS66 family transposase	0.0813033726058839	0.077428893403507
GFF366		IS66 family transposase	0.127347541360307	0.126271131059977
GFF371		Killer protein	0.155366893312997	0.151074152552314
GFF455		integrase	0.0947070469513882	0.0938266825301441
GFF511		pilus assembly protein PilG	0.0718722200874137	0.0737654159069342
GFF559		hypothetical protein	0.136170314725825	0.137741104127368
GFF718		flagellar biosynthesis protein FlhA	0.0475423727107549	0.047571085751472
GFF782		hypothetical protein	0.0656224442908115	0.0654415608429917
GFF824		hypothetical protein	0.150261749397381	0.150261749397381
GFF879		hypothetical protein	0.125708659451229	0.129589856535366
GFF880		IS3 family transposase	0.0751006161283068	0.0730623500738768
GFF881		GNAT family N-acetyltransferase	0.129433983997698	0.125508607560619
GFF94		hypothetical protein	0.122865615301471	0.117801447040334
GFF951		IS3 family transposase	0.0932062555359433	0.090809024811494
HNEAP_RS00025	HNEAP_RS00025	DNA replication and repair protein RecF	0.0994702895415698	0.0961622313234863
HNEAP_RS00035	HNEAP_RS00035	LemA family protein	0.0871186046262609	0.0831167654320862
HNEAP_RS00040	HNEAP_RS00040	hypothetical protein	0.0652789566681265	0.0640706619788308
HNEAP_RS00045	HNEAP_RS00045	exodeoxyribonuclease III	0.112926020363283	0.109979556089039
HNEAP_RS00050	HNEAP_RS00050	ABC transporter permease	0.0491041080632805	0.0471319194649369
HNEAP_RS00055	HNEAP_RS00055	ABC transporter	0.0680775410372829	0.0657629315397156
HNEAP_RS00060	HNEAP_RS00060	arylesterase	0.0868708567216929	0.0833305935460599
HNEAP_RS00065	HNEAP_RS00065	DUF559 domain-containing protein	0.110065603364967	0.106069436326589
HNEAP_RS00070	HNEAP_RS00070	IS110 family transposase	0.0576856960538118	0.0553701264351519
HNEAP_RS00075	HNEAP_RS00075	prepilin-type cleavage/methylation domain-containing protein	0.0935954516747312	0.0957473937909743
HNEAP_RS00080	HNEAP_RS00080	Tfp pilus assembly protein FimT-like protein	0.0543763032730133	0.0552253273075759
HNEAP_RS00085	HNEAP_RS00085	type IV pilus modification protein PilV	0.0524892215772747	0.0537741699194843
HNEAP_RS00090	HNEAP_RS00090	prepilin-type cleavage/methylation domain-containing protein	0.0477492872631208	0.048801323118571
HNEAP_RS00095	HNEAP_RS00095	hypothetical protein	0.054384920118061	0.0556320549402982
HNEAP_RS00100	HNEAP_RS00100	type 4 fimbrial biogenesis protein PilY1	0.0189358131928325	0.019343760675024
HNEAP_RS00105	HNEAP_RS00105	PilE protein	0.0513429076653485	0.0523430444501558
HNEAP_RS00110	HNEAP_RS00110	pilus assembly protein	0.0920640484186731	0.0889682508875859
HNEAP_RS00115	HNEAP_RS00115	DUF559 domain-containing protein	0.174480201373405	0.162840162535643
HNEAP_RS00120	HNEAP_RS00120	excinuclease ABC subunit UvrA	0.060059604594629	0.0588652731780594
HNEAP_RS00130	HNEAP_RS00130	gamma-glutamyltransferase	0.0449670239722819	0.0426083464173995
HNEAP_RS00135	HNEAP_RS00135	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	0.0606776461847101	0.0586739138557563
HNEAP_RS00140	HNEAP_RS00140	metallophosphoesterase	0.105984991568329	0.104624413023797
HNEAP_RS00145	HNEAP_RS00145	ketohexokinase	0.221485517741354	0.200613576650056
HNEAP_RS00150	HNEAP_RS00150	GGDEF domain-containing protein	0.0476915048978723	0.0465143797963144
HNEAP_RS00155	HNEAP_RS00155	BolA family transcriptional regulator	0.170590932966501	0.159295611571573
HNEAP_RS00160	HNEAP_RS00160	HDOD domain-containing protein	0.0788911772329167	0.0764207806452869
HNEAP_RS00165	HNEAP_RS00165	bifunctional (p)ppGpp synthetase/guanosine-3' 5'-bis(diphosphate) 3'-pyrophosphohydrolase	0.398739844794594	0.343069177040777
HNEAP_RS00170	HNEAP_RS00170	DNA-directed RNA polymerase subunit omega	0.586166418246807	0.441499554871031
HNEAP_RS00180	HNEAP_RS00180	DedA family protein	0.121523153969862	0.112974102253756
HNEAP_RS00185	HNEAP_RS00185	glycine zipper 2TM domain-containing protein	0.0882521339424963	0.0842479060802582
HNEAP_RS00190	HNEAP_RS00190	membrane protein	0.204068707142977	0.203542396925603
HNEAP_RS00195	HNEAP_RS00195	exodeoxyribonuclease III	0.106847855321757	0.0999960174943929
HNEAP_RS00200	HNEAP_RS00200	hypothetical protein	0.0996315287496568	0.0964513728707754
HNEAP_RS00205	HNEAP_RS00205	hypothetical protein	0.0421478824298883	0.0411138126645055
HNEAP_RS00210	HNEAP_RS00210	TIGR01458 family HAD-type hydrolase	0.0744094150637262	0.0725785491940574
HNEAP_RS00215	HNEAP_RS00215	competence/damage-inducible protein A	0.0721757523887163	0.0688240437685724
