locusId	sysName	desc	setAS2 HCO	setAS3 LCO
GFF1190		hypothetical protein	0.0581583736825951	0.0507563899535202
GFF1209		hypothetical protein	0.233678572250167	0.164676981854744
GFF1357		hypothetical protein	0.0990117601182382	0.0773876658852761
GFF1439		multidrug efflux protein	0.104502338668482	0.103347637097126
GFF1496		hypothetical protein	0.294547459553622	0.312938908451078
GFF160		2-isopropylmalate synthase	0.0611380150213689	0.0588836836862814
GFF1606		hypothetical protein	0.240278435941117	0.201201377138744
GFF1629		hypothetical protein	0.140375047397965	0.155717032473934
GFF1704		hypothetical protein	0.0789958744774338	0.103994052685771
GFF1835		cytochrome C	0.106259369391475	0.0946197288604004
GFF2046		hypothetical protein	0.254101700792067	0.196255889338547
GFF2212		hypothetical protein	0.108675482760979	0.0829424738941985
GFF2252		IS66 family transposase	0.0569023513126456	0.057821350811128
GFF2279		IS3 family transposase	0.111830665002711	0.143843235940801
GFF2280		IS3 family transposase	0.156802197934538	0.092146669429324
GFF365		IS66 family transposase	0.0870915324364264	0.108861850778144
GFF366		IS66 family transposase	0.130195311718192	0.116916271183992
GFF371		Killer protein	0.146840188473488	0.138883573707162
GFF455		integrase	0.0974590130092251	0.105710089591635
GFF511		pilus assembly protein PilG	0.133315053677796	0.107216410367576
GFF559		hypothetical protein	0.104558036508466	0.133336647451826
GFF718		flagellar biosynthesis protein FlhA	0.0527004728959566	0.0526040030594412
GFF782		hypothetical protein	0.0843411413213632	0.0797317766965377
GFF824		hypothetical protein	0.17341273372954	0.173160693202741
GFF879		hypothetical protein	0.126710869118242	0.130951586748283
GFF880		IS3 family transposase	0.0954356134834337	0.0754646073422164
GFF881		GNAT family N-acetyltransferase	0.10667375714438	0.101248396077504
GFF94		hypothetical protein	0.1598718251097	0.124725354230969
GFF951		IS3 family transposase	0.0893715237732047	0.0808856927698586
HNEAP_RS00025	HNEAP_RS00025	DNA replication and repair protein RecF	0.0948447966730564	0.103315371574016
HNEAP_RS00035	HNEAP_RS00035	LemA family protein	0.101311021801072	0.0875382599253142
HNEAP_RS00040	HNEAP_RS00040	hypothetical protein	0.0722710794223178	0.0668086660979105
HNEAP_RS00045	HNEAP_RS00045	exodeoxyribonuclease III	0.110349169027329	0.096914468402076
HNEAP_RS00050	HNEAP_RS00050	ABC transporter permease	0.0528021493918528	0.0552284406745778
HNEAP_RS00055	HNEAP_RS00055	ABC transporter	0.0690125257328728	0.0786213745336553
HNEAP_RS00060	HNEAP_RS00060	arylesterase	0.0811531850314236	0.0793962562873433
HNEAP_RS00065	HNEAP_RS00065	DUF559 domain-containing protein	0.140433402467299	0.129998944931644
HNEAP_RS00070	HNEAP_RS00070	IS110 family transposase	0.0580188194267484	0.0500272241704571
HNEAP_RS00075	HNEAP_RS00075	prepilin-type cleavage/methylation domain-containing protein	0.147498855294032	0.168749892685776
HNEAP_RS00080	HNEAP_RS00080	Tfp pilus assembly protein FimT-like protein	0.0711918342402651	0.0562271451877015
HNEAP_RS00085	HNEAP_RS00085	type IV pilus modification protein PilV	0.0905249394812973	0.0973201110209332
HNEAP_RS00090	HNEAP_RS00090	prepilin-type cleavage/methylation domain-containing protein	0.0693505606360875	0.0627252113367648
HNEAP_RS00095	HNEAP_RS00095	hypothetical protein	0.0770196430479068	0.076177077971791
HNEAP_RS00100	HNEAP_RS00100	type 4 fimbrial biogenesis protein PilY1	0.0296384100205324	0.0298585141004308
HNEAP_RS00105	HNEAP_RS00105	PilE protein	0.0575439542119459	0.0717689444478654
HNEAP_RS00110	HNEAP_RS00110	pilus assembly protein	0.0879747615755201	0.106554648261529
HNEAP_RS00115	HNEAP_RS00115	DUF559 domain-containing protein	0.183633313604632	0.225004963865563
HNEAP_RS00120	HNEAP_RS00120	excinuclease ABC subunit UvrA	0.0620389257298093	0.0606131669060074
HNEAP_RS00130	HNEAP_RS00130	gamma-glutamyltransferase	0.0513055436197044	0.0525902842479389
HNEAP_RS00135	HNEAP_RS00135	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	0.0726406410842714	0.0687941572744062
HNEAP_RS00140	HNEAP_RS00140	metallophosphoesterase	0.109226464586881	0.13550698786307
HNEAP_RS00145	HNEAP_RS00145	ketohexokinase	0.172962146492469	0.162536510490869
HNEAP_RS00150	HNEAP_RS00150	GGDEF domain-containing protein	0.0491974773120694	0.0479597518662676
HNEAP_RS00155	HNEAP_RS00155	BolA family transcriptional regulator	0.168438084765705	0.124462761858736
HNEAP_RS00160	HNEAP_RS00160	HDOD domain-containing protein	0.0907883569199036	0.115058875545925
HNEAP_RS00165	HNEAP_RS00165	bifunctional (p)ppGpp synthetase/guanosine-3' 5'-bis(diphosphate) 3'-pyrophosphohydrolase	0.38837219477598	0.322686497697729
HNEAP_RS00170	HNEAP_RS00170	DNA-directed RNA polymerase subunit omega	0.648515046394905	0.500315154884641
HNEAP_RS00180	HNEAP_RS00180	DedA family protein	0.164155283708648	0.151466285706503
HNEAP_RS00185	HNEAP_RS00185	glycine zipper 2TM domain-containing protein	0.104333276287936	0.104179775547847
HNEAP_RS00190	HNEAP_RS00190	membrane protein	0.164073612430917	0.18888345699467
HNEAP_RS00195	HNEAP_RS00195	exodeoxyribonuclease III	0.0950421233378118	0.125363314020164
HNEAP_RS00200	HNEAP_RS00200	hypothetical protein	0.129036282426064	0.118985632750354
HNEAP_RS00205	HNEAP_RS00205	hypothetical protein	0.0468988836790126	0.0478292171827953
HNEAP_RS00210	HNEAP_RS00210	TIGR01458 family HAD-type hydrolase	0.0729860561927139	0.0882960616388578
HNEAP_RS00215	HNEAP_RS00215	competence/damage-inducible protein A	0.0702946090351204	0.0594181655003463
HNEAP_RS00230	HNEAP_RS00230	hypothetical protein	0.140001957562992	0.155094140293454
HNEAP_RS00235	HNEAP_RS00235	hypothetical protein	0.0688411706856784	0.07377567674537
HNEAP_RS00240	HNEAP_RS00240	5'-deoxynucleotidase	0.150708403874636	0.208084043527295
HNEAP_RS00245	HNEAP_RS00245	deoxyguanosinetriphosphate triphosphohydrolase	0.0799551534127258	0.0867642410908058
HNEAP_RS00250	HNEAP_RS00250	NAD(P)-dependent oxidoreductase	0.0706862185847604	0.0668329319367192
HNEAP_RS00260	HNEAP_RS00260	DNA recombination protein RmuC	0.0557821049586349	0.0609836650818752
HNEAP_RS00265	HNEAP_RS00265	hypothetical protein	0.297625793390222	0.220058162624669
HNEAP_RS00270	HNEAP_RS00270	metallophosphoesterase	0.287642980369104	0.296438218073606
HNEAP_RS00275	HNEAP_RS00275	hypothetical protein	0.16272554252568	0.125515569863414
HNEAP_RS00280	HNEAP_RS00280	hypothetical protein	0.226895980708781	0.191237260071707
HNEAP_RS00285	HNEAP_RS00285	bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase	0.17216539256034	0.143386708877468
HNEAP_RS00290	HNEAP_RS00290	hypothetical protein	0.143851961520221	0.120193868481156
HNEAP_RS00295	HNEAP_RS00295	molecular chaperone Skp	0.0996901118696717	0.0838738475695881
HNEAP_RS00300	HNEAP_RS00300	phosphopantetheine-binding protein	0.444611282707961	0.117359304163051
HNEAP_RS00305	HNEAP_RS00305	3-oxoacyl-ACP synthase	0.0567798944684681	0.0540288758540894
HNEAP_RS00310	HNEAP_RS00310	acyl carrier protein	0.430858558924318	0.294624681478777
HNEAP_RS00320	HNEAP_RS00320	AMP-dependent synthetase and ligase	0.0628988008139681	0.0620866698722283
HNEAP_RS00325	HNEAP_RS00325	acyl-CoA synthetase	0.0949626805832288	0.0746270604973086
HNEAP_RS00330	HNEAP_RS00330	outer membrane lipoprotein carrier protein LolA	0.135346755487963	0.0984935545151819
HNEAP_RS00335	HNEAP_RS00335	MMPL domain-containing protein	0.0512726703365186	0.0584737973932472
HNEAP_RS00340	HNEAP_RS00340	hypothetical protein	0.126418746533789	0.123003803332875
HNEAP_RS00345	HNEAP_RS00345	2-hydroxyacid dehydrogenase	0.139281529577676	0.138973322600992
