locusId	sysName	desc	comb	setAS2 HCO	setAS3 LCO
GFF1190		hypothetical protein	 hypothetical protein	1397	1474
GFF1209		hypothetical protein	 hypothetical protein	77	63
GFF1357		hypothetical protein	 hypothetical protein	399	500
GFF1439		multidrug efflux protein	 multidrug efflux protein	298	326
GFF1496		hypothetical protein	 hypothetical protein	46	38
GFF160		2-isopropylmalate synthase	 2-isopropylmalate synthase	1383	1414
GFF1606		hypothetical protein	 hypothetical protein	257	258
GFF1629		hypothetical protein	 hypothetical protein	156	184
GFF1704		hypothetical protein	 hypothetical protein	480	507
GFF1835		cytochrome C	 cytochrome C	500	519
GFF2046		hypothetical protein	 hypothetical protein	96	133
GFF2212		hypothetical protein	 hypothetical protein	316	355
GFF2252		IS66 family transposase	 IS66 family transposase	1405	1515
GFF2279		IS3 family transposase	 IS3 family transposase	425	459
GFF2280		IS3 family transposase	 IS3 family transposase	350	391
GFF365		IS66 family transposase	 IS66 family transposase	568	683
GFF366		IS66 family transposase	 IS66 family transposase	242	250
GFF371		Killer protein	 Killer protein	159	177
GFF455		integrase	 integrase	439	455
GFF511		pilus assembly protein PilG	 pilus assembly protein PilG	990	875
GFF559		hypothetical protein	 hypothetical protein	224	214
GFF718		flagellar biosynthesis protein FlhA	 flagellar biosynthesis protein FlhA	1747	1743
GFF782		hypothetical protein	 hypothetical protein	931	941
GFF824		hypothetical protein	 hypothetical protein	170	170
GFF879		hypothetical protein	 hypothetical protein	241	216
GFF880		IS3 family transposase	 IS3 family transposase	690	767
GFF881		GNAT family N-acetyltransferase	 GNAT family N-acetyltransferase	245	278
GFF94		hypothetical protein	 hypothetical protein	252	296
GFF951		IS3 family transposase	 IS3 family transposase	447	494
HNEAP_RS00025	HNEAP_RS00025	DNA replication and repair protein RecF	HNEAP_RS00025 DNA replication and repair protein RecF	350	393
HNEAP_RS00035	HNEAP_RS00035	LemA family protein	HNEAP_RS00035 LemA family protein	455	535
HNEAP_RS00040	HNEAP_RS00040	hypothetical protein	HNEAP_RS00040 hypothetical protein	884	947
HNEAP_RS00045	HNEAP_RS00045	exodeoxyribonuclease III	HNEAP_RS00045 exodeoxyribonuclease III	288	317
HNEAP_RS00050	HNEAP_RS00050	ABC transporter permease	HNEAP_RS00050 ABC transporter permease	1497	1734
HNEAP_RS00055	HNEAP_RS00055	ABC transporter	HNEAP_RS00055 ABC transporter	802	911
HNEAP_RS00060	HNEAP_RS00060	arylesterase	HNEAP_RS00060 arylesterase	463	535
HNEAP_RS00065	HNEAP_RS00065	DUF559 domain-containing protein	HNEAP_RS00065 DUF559 domain-containing protein	319	368
HNEAP_RS00070	HNEAP_RS00070	IS110 family transposase	HNEAP_RS00070 IS110 family transposase	1120	1304
HNEAP_RS00075	HNEAP_RS00075	prepilin-type cleavage/methylation domain-containing protein	HNEAP_RS00075 prepilin-type cleavage/methylation domain-containing protein	530	480
HNEAP_RS00080	HNEAP_RS00080	Tfp pilus assembly protein FimT-like protein	HNEAP_RS00080 Tfp pilus assembly protein FimT-like protein	1421	1336
HNEAP_RS00085	HNEAP_RS00085	type IV pilus modification protein PilV	HNEAP_RS00085 type IV pilus modification protein PilV	1753	1572
HNEAP_RS00090	HNEAP_RS00090	prepilin-type cleavage/methylation domain-containing protein	HNEAP_RS00090 prepilin-type cleavage/methylation domain-containing protein	1994	1817
HNEAP_RS00095	HNEAP_RS00095	hypothetical protein	HNEAP_RS00095 hypothetical protein	1562	1416
HNEAP_RS00100	HNEAP_RS00100	type 4 fimbrial biogenesis protein PilY1	HNEAP_RS00100 type 4 fimbrial biogenesis protein PilY1	11371	10477
HNEAP_RS00105	HNEAP_RS00105	PilE protein	HNEAP_RS00105 PilE protein	1779	1634
HNEAP_RS00110	HNEAP_RS00110	pilus assembly protein	HNEAP_RS00110 pilus assembly protein	442	502
HNEAP_RS00115	HNEAP_RS00115	DUF559 domain-containing protein	HNEAP_RS00115 DUF559 domain-containing protein	130	173
HNEAP_RS00120	HNEAP_RS00120	excinuclease ABC subunit UvrA	HNEAP_RS00120 excinuclease ABC subunit UvrA	1017	1093
HNEAP_RS00130	HNEAP_RS00130	gamma-glutamyltransferase	HNEAP_RS00130 gamma-glutamyltransferase	1798	2189
HNEAP_RS00135	HNEAP_RS00135	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	HNEAP_RS00135 23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	1014	1148
HNEAP_RS00140	HNEAP_RS00140	metallophosphoesterase	HNEAP_RS00140 metallophosphoesterase	342	359
HNEAP_RS00145	HNEAP_RS00145	ketohexokinase	HNEAP_RS00145 ketohexokinase	53	69
HNEAP_RS00150	HNEAP_RS00150	GGDEF domain-containing protein	HNEAP_RS00150 GGDEF domain-containing protein	1583	1729
HNEAP_RS00155	HNEAP_RS00155	BolA family transcriptional regulator	HNEAP_RS00155 BolA family transcriptional regulator	116	147
HNEAP_RS00160	HNEAP_RS00160	HDOD domain-containing protein	HNEAP_RS00160 HDOD domain-containing protein	589	661
HNEAP_RS00165	HNEAP_RS00165	bifunctional (p)ppGpp synthetase/guanosine-3' 5'-bis(diphosphate) 3'-pyrophosphohydrolase	HNEAP_RS00165 bifunctional (p)ppGpp synthetase/guanosine-3' 5'-bis(diphosphate) 3'-pyrophosphohydrolase	17	27
HNEAP_RS00170	HNEAP_RS00170	DNA-directed RNA polymerase subunit omega	HNEAP_RS00170 DNA-directed RNA polymerase subunit omega	6	13
HNEAP_RS00180	HNEAP_RS00180	DedA family protein	HNEAP_RS00180 DedA family protein	222	283
HNEAP_RS00185	HNEAP_RS00185	glycine zipper 2TM domain-containing protein	HNEAP_RS00185 glycine zipper 2TM domain-containing protein	449	528
HNEAP_RS00190	HNEAP_RS00190	membrane protein	HNEAP_RS00190 membrane protein	97	98
HNEAP_RS00195	HNEAP_RS00195	exodeoxyribonuclease III	HNEAP_RS00195 exodeoxyribonuclease III	334	433
HNEAP_RS00200	HNEAP_RS00200	hypothetical protein	HNEAP_RS00200 hypothetical protein	349	390
HNEAP_RS00205	HNEAP_RS00205	hypothetical protein	HNEAP_RS00205 hypothetical protein	2085	2282
HNEAP_RS00210	HNEAP_RS00210	TIGR01458 family HAD-type hydrolase	HNEAP_RS00210 TIGR01458 family HAD-type hydrolase	691	759
HNEAP_RS00215	HNEAP_RS00215	competence/damage-inducible protein A	HNEAP_RS00215 competence/damage-inducible protein A	715	854
HNEAP_RS00230	HNEAP_RS00230	hypothetical protein	HNEAP_RS00230 hypothetical protein	245	319
HNEAP_RS00235	HNEAP_RS00235	hypothetical protein	HNEAP_RS00235 hypothetical protein	818	913
HNEAP_RS00240	HNEAP_RS00240	5'-deoxynucleotidase	HNEAP_RS00240 5'-deoxynucleotidase	68	84
HNEAP_RS00245	HNEAP_RS00245	deoxyguanosinetriphosphate triphosphohydrolase	HNEAP_RS00245 deoxyguanosinetriphosphate triphosphohydrolase	903	1051
HNEAP_RS00250	HNEAP_RS00250	NAD(P)-dependent oxidoreductase	HNEAP_RS00250 NAD(P)-dependent oxidoreductase	971	1096
HNEAP_RS00260	HNEAP_RS00260	DNA recombination protein RmuC	HNEAP_RS00260 DNA recombination protein RmuC	1026	1117
HNEAP_RS00265	HNEAP_RS00265	hypothetical protein	HNEAP_RS00265 hypothetical protein	117	99
HNEAP_RS00270	HNEAP_RS00270	metallophosphoesterase	HNEAP_RS00270 metallophosphoesterase	41	40
HNEAP_RS00275	HNEAP_RS00275	hypothetical protein	HNEAP_RS00275 hypothetical protein	199	185
HNEAP_RS00280	HNEAP_RS00280	hypothetical protein	HNEAP_RS00280 hypothetical protein	155	218
HNEAP_RS00285	HNEAP_RS00285	bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase	HNEAP_RS00285 bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase	169	152
