locusId	sysName	desc	comb	setAS2 HCO	setAS3 LCO
GFF1190		hypothetical protein	 hypothetical protein	-0.00193199708677917	0.0763927207086944
GFF1209		hypothetical protein	 hypothetical protein	-0.130837392179166	-0.0470108271150493
GFF1357		hypothetical protein	 hypothetical protein	-0.504752910110622	-0.315188876555996
GFF1439		multidrug efflux protein	 multidrug efflux protein	-0.234943565162585	-0.290410821546729
GFF1496		hypothetical protein	 hypothetical protein	0.515598511329987	0.189416354532424
GFF160		2-isopropylmalate synthase	 2-isopropylmalate synthase	0.031737946637975	-0.0427606547603485
GFF1606		hypothetical protein	 hypothetical protein	0.0143100326650428	-0.165237451704754
GFF1629		hypothetical protein	 hypothetical protein	0.214595294847937	0.163596953989352
GFF1704		hypothetical protein	 hypothetical protein	0.05033696548142	0.0290741425378529
GFF1835		cytochrome C	 cytochrome C	-0.0398248363332151	-0.0256688648323824
GFF2046		hypothetical protein	 hypothetical protein	0.00205037658000014	0.12980409931335
GFF2212		hypothetical protein	 hypothetical protein	0.00738558403171402	0.0729432491584861
GFF2252		IS66 family transposase	 IS66 family transposase	-0.00939998693937022	-0.0302703712342507
GFF2279		IS3 family transposase	 IS3 family transposase	0.0704443805388952	0.191248911145565
GFF2280		IS3 family transposase	 IS3 family transposase	0.024775170323053	-0.0202002195458713
GFF365		IS66 family transposase	 IS66 family transposase	0.0334333950043571	-0.0202002195458713
GFF366		IS66 family transposase	 IS66 family transposase	0.0639967458085996	0.215702768283101
GFF371		Killer protein	 Killer protein	0.171451273491578	0.119453233841297
GFF455		integrase	 integrase	-0.0267769949730532	0.00411322347642644
GFF511		pilus assembly protein PilG	 pilus assembly protein PilG	0.940687019589897	0.674997042571074
GFF559		hypothetical protein	 hypothetical protein	0.0749656610505726	0.156582746646811
GFF718		flagellar biosynthesis protein FlhA	 flagellar biosynthesis protein FlhA	-0.011781018382604	-0.154143706049664
GFF782		hypothetical protein	 hypothetical protein	-0.0271140378918042	-0.0202002195458713
GFF824		hypothetical protein	 hypothetical protein	0.0647806008171383	0.0188322668442125
GFF879		hypothetical protein	 hypothetical protein	-0.0391338915024658	-0.0957478033497477
GFF880		IS3 family transposase	 IS3 family transposase	0.085885407452243	0.0855217844596382
GFF881		GNAT family N-acetyltransferase	 GNAT family N-acetyltransferase	0.0871411849339511	-0.242004413729498
GFF94		hypothetical protein	 hypothetical protein	0.173216096863702	0.101622303415705
GFF951		IS3 family transposase	 IS3 family transposase	-0.0777256036460935	-0.0259850994657115
HNEAP_RS00025	HNEAP_RS00025	DNA replication and repair protein RecF	HNEAP_RS00025 DNA replication and repair protein RecF	-0.303316091397026	-0.373505354127387
HNEAP_RS00035	HNEAP_RS00035	LemA family protein	HNEAP_RS00035 LemA family protein	-0.116785967040042	0.0342901793610962
HNEAP_RS00040	HNEAP_RS00040	hypothetical protein	HNEAP_RS00040 hypothetical protein	-0.0130241142902207	0.0415561467377899
HNEAP_RS00045	HNEAP_RS00045	exodeoxyribonuclease III	HNEAP_RS00045 exodeoxyribonuclease III	-0.0585192295139493	-0.135996185249107
HNEAP_RS00050	HNEAP_RS00050	ABC transporter permease	HNEAP_RS00050 ABC transporter permease	0.0343053117914318	-0.0451473687507426
HNEAP_RS00055	HNEAP_RS00055	ABC transporter	HNEAP_RS00055 ABC transporter	-0.117106714870396	-0.0555767372727962
HNEAP_RS00060	HNEAP_RS00060	arylesterase	HNEAP_RS00060 arylesterase	-0.154393966194669	-0.150413611997227
HNEAP_RS00065	HNEAP_RS00065	DUF559 domain-containing protein	HNEAP_RS00065 DUF559 domain-containing protein	0.198654898740787	0.0622335693789988
HNEAP_RS00070	HNEAP_RS00070	IS110 family transposase	HNEAP_RS00070 IS110 family transposase	0.0869106178598756	0.0136810081660695
HNEAP_RS00075	HNEAP_RS00075	prepilin-type cleavage/methylation domain-containing protein	HNEAP_RS00075 prepilin-type cleavage/methylation domain-containing protein	0.732353483249815	0.359350553706773
HNEAP_RS00080	HNEAP_RS00080	Tfp pilus assembly protein FimT-like protein	HNEAP_RS00080 Tfp pilus assembly protein FimT-like protein	0.466916044652336	0.302046746694243
HNEAP_RS00085	HNEAP_RS00085	type IV pilus modification protein PilV	HNEAP_RS00085 type IV pilus modification protein PilV	0.739097540416914	0.584574544835202
HNEAP_RS00090	HNEAP_RS00090	prepilin-type cleavage/methylation domain-containing protein	HNEAP_RS00090 prepilin-type cleavage/methylation domain-containing protein	0.626724426793612	0.34473201399043
HNEAP_RS00095	HNEAP_RS00095	hypothetical protein	HNEAP_RS00095 hypothetical protein	0.749138772756644	0.57515055765998
HNEAP_RS00100	HNEAP_RS00100	type 4 fimbrial biogenesis protein PilY1	HNEAP_RS00100 type 4 fimbrial biogenesis protein PilY1	0.239896031650541	0.128192280968617
HNEAP_RS00105	HNEAP_RS00105	PilE protein	HNEAP_RS00105 PilE protein	0.829619728519039	0.559474114546266
HNEAP_RS00110	HNEAP_RS00110	pilus assembly protein	HNEAP_RS00110 pilus assembly protein	-0.0389087896454258	0.022029476718121
HNEAP_RS00115	HNEAP_RS00115	DUF559 domain-containing protein	HNEAP_RS00115 DUF559 domain-containing protein	-0.0260019815644335	-0.166689099684123
HNEAP_RS00120	HNEAP_RS00120	excinuclease ABC subunit UvrA	HNEAP_RS00120 excinuclease ABC subunit UvrA	-0.112764617935954	-0.0461793863696136
HNEAP_RS00130	HNEAP_RS00130	gamma-glutamyltransferase	HNEAP_RS00130 gamma-glutamyltransferase	-0.0162637722158195	0.089345180399996
HNEAP_RS00135	HNEAP_RS00135	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	HNEAP_RS00135 23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	-0.0763654296857791	0.0280491862679887
HNEAP_RS00140	HNEAP_RS00140	metallophosphoesterase	HNEAP_RS00140 metallophosphoesterase	-0.0649869242555335	-0.101371974646482
HNEAP_RS00145	HNEAP_RS00145	ketohexokinase	HNEAP_RS00145 ketohexokinase	-1.46630248270271	-1.13225685828969
HNEAP_RS00150	HNEAP_RS00150	GGDEF domain-containing protein	HNEAP_RS00150 GGDEF domain-containing protein	-0.109976886159058	-0.123830098291298
HNEAP_RS00155	HNEAP_RS00155	BolA family transcriptional regulator	HNEAP_RS00155 BolA family transcriptional regulator	-0.213979255998454	-0.191531145141627
