locusId	sysName	desc	setAS2 HCO	setAS3 LCO
GFF1190		hypothetical protein	0.0858590218349132	0.14877234230987
GFF1209		hypothetical protein	-0.0396326759458615	0.0280099940164591
GFF1357		hypothetical protein	-0.404320147063047	-0.218237292316557
GFF1439		multidrug efflux protein	-0.146196231142552	-0.219707131538383
GFF1496		hypothetical protein	0.598448995380632	0.244761553037004
GFF160		2-isopropylmalate synthase	-0.0270288746897455	-0.064253828048866
GFF1606		hypothetical protein	0.0792766796050445	-0.140985899463256
GFF1629		hypothetical protein	0.279561941787939	0.18352794709049
GFF1704		hypothetical protein	0.10789208616823	0.0390055230902282
GFF1835		cytochrome C	-0.00954736189610784	-0.0284283416532058
GFF2046		hypothetical protein	0.00350047946405403	0.128357197110506
GFF2212		hypothetical protein	-0.0262602782529418	0.0636946293372041
GFF2252		IS66 family transposase	-0.0689026764622946	-0.0637319264884662
GFF2279		IS3 family transposase	0.00763888792890764	0.157547976947308
GFF2280		IS3 family transposase	-0.0380303222869346	-0.0539011537441282
GFF365		IS66 family transposase	0.0666706715120627	0.0267291778096948
GFF366		IS66 family transposase	0.0972340223163051	0.262979688998416
GFF371		Killer protein	0.206556012716099	0.16696744885238
GFF455		integrase	0.0516539032126112	0.0846470433414659
GFF511		pilus assembly protein PilG	1.03267375495211	0.755012756473842
GFF559		hypothetical protein	0.187205215912883	0.23659846054958
GFF718		flagellar biosynthesis protein FlhA	0.0661410448168369	-0.0995023761392287
GFF782		hypothetical protein	0.0244757772238862	0.0022719412122289
GFF824		hypothetical protein	0.120799456388136	0.0506964249731643
GFF879		hypothetical protein	0.0202121223184535	-0.0382256740652437
GFF880		IS3 family transposase	0.144657236836329	0.145068289403951
GFF881		GNAT family N-acetyltransferase	0.14648719875487	-0.182457908785185
GFF94		hypothetical protein	0.113674262127362	0.0765707432209523
GFF951		IS3 family transposase	-0.00857922084630211	0.0373219097386327
HNEAP_RS00025	HNEAP_RS00025	DNA replication and repair protein RecF	-0.362857926133366	-0.39855691432214
HNEAP_RS00035	HNEAP_RS00035	LemA family protein	-0.176327801776382	0.00923861916634319
HNEAP_RS00040	HNEAP_RS00040	hypothetical protein	-0.0725659490265609	0.0165045865430369
HNEAP_RS00045	HNEAP_RS00045	exodeoxyribonuclease III	-0.118061064250289	-0.16104774544386
HNEAP_RS00050	HNEAP_RS00050	ABC transporter permease	-0.0252365229449084	-0.0701989289454956
HNEAP_RS00055	HNEAP_RS00055	ABC transporter	-0.176648549606737	-0.0806282974675492
HNEAP_RS00060	HNEAP_RS00060	arylesterase	-0.213935800931009	-0.17546517219198
HNEAP_RS00065	HNEAP_RS00065	DUF559 domain-containing protein	0.139113064004446	0.0371820091842458
HNEAP_RS00070	HNEAP_RS00070	IS110 family transposase	0.0273687831235354	-0.0113705520286835
HNEAP_RS00075	HNEAP_RS00075	prepilin-type cleavage/methylation domain-containing protein	0.672811648513475	0.33429899351202
HNEAP_RS00080	HNEAP_RS00080	Tfp pilus assembly protein FimT-like protein	0.407374209915996	0.27699518649949
HNEAP_RS00085	HNEAP_RS00085	type IV pilus modification protein PilV	0.679555705680573	0.559522984640449
HNEAP_RS00090	HNEAP_RS00090	prepilin-type cleavage/methylation domain-containing protein	0.567182592057272	0.319680453795677
HNEAP_RS00095	HNEAP_RS00095	hypothetical protein	0.689596938020304	0.550098997465227
HNEAP_RS00100	HNEAP_RS00100	type 4 fimbrial biogenesis protein PilY1	0.180354196914201	0.103140720773864
HNEAP_RS00105	HNEAP_RS00105	PilE protein	0.770077893782699	0.534422554351513
HNEAP_RS00110	HNEAP_RS00110	pilus assembly protein	-0.098450624381766	-0.00302208347663205
HNEAP_RS00115	HNEAP_RS00115	DUF559 domain-containing protein	-0.0855438163007737	-0.191740659878876
HNEAP_RS00120	HNEAP_RS00120	excinuclease ABC subunit UvrA	-0.172306452672295	-0.0712309465643666
HNEAP_RS00130	HNEAP_RS00130	gamma-glutamyltransferase	-0.0758056069521597	0.064293620205243
HNEAP_RS00135	HNEAP_RS00135	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	-0.135907264422119	0.0029976260732357
HNEAP_RS00140	HNEAP_RS00140	metallophosphoesterase	-0.124528758991874	-0.126423534841235
HNEAP_RS00145	HNEAP_RS00145	ketohexokinase	-1.52584431743905	-1.15730841848445
HNEAP_RS00150	HNEAP_RS00150	GGDEF domain-containing protein	-0.169518720895398	-0.148881658486051
HNEAP_RS00155	HNEAP_RS00155	BolA family transcriptional regulator	-0.273521090734794	-0.21658270533638
HNEAP_RS00160	HNEAP_RS00160	HDOD domain-containing protein	-0.161444183091113	0.0147693852580991
HNEAP_RS00165	HNEAP_RS00165	bifunctional (p)ppGpp synthetase/guanosine-3' 5'-bis(diphosphate) 3'-pyrophosphohydrolase	-1.30028885152787	-1.22110725947061
HNEAP_RS00170	HNEAP_RS00170	DNA-directed RNA polymerase subunit omega	-1.24683385847522	-0.628308185824825
HNEAP_RS00180	HNEAP_RS00180	DedA family protein	-0.391908251789438	-0.2555978653974
HNEAP_RS00185	HNEAP_RS00185	glycine zipper 2TM domain-containing protein	-0.227778911219649	-0.100939786277478
HNEAP_RS00190	HNEAP_RS00190	membrane protein	-0.132437767123329	0.181486004687615
HNEAP_RS00195	HNEAP_RS00195	exodeoxyribonuclease III	0.0908602564511637	0.217962539037715
HNEAP_RS00200	HNEAP_RS00200	hypothetical protein	-0.271168556574909	-0.321223201031595
HNEAP_RS00205	HNEAP_RS00205	hypothetical protein	-0.0881456640263727	-0.113380367060124
HNEAP_RS00210	HNEAP_RS00210	TIGR01458 family HAD-type hydrolase	-0.166589878194737	-0.210809949352311
HNEAP_RS00215	HNEAP_RS00215	competence/damage-inducible protein A	-0.0705886755720628	-0.170629739848643
HNEAP_RS00230	HNEAP_RS00230	hypothetical protein	-0.120500746078966	-0.279744723134207
HNEAP_RS00235	HNEAP_RS00235	hypothetical protein	-0.241393071219293	-0.0731419906455407
HNEAP_RS00240	HNEAP_RS00240	5'-deoxynucleotidase	-0.562328811026359	-0.203152107448993
HNEAP_RS00245	HNEAP_RS00245	deoxyguanosinetriphosphate triphosphohydrolase	-0.206266144953311	-0.117791178787329
HNEAP_RS00250	HNEAP_RS00250	NAD(P)-dependent oxidoreductase	-0.0885171216415231	-0.0548860140848318
HNEAP_RS00260	HNEAP_RS00260	DNA recombination protein RmuC	-0.155365863953328	-0.199421242885787
HNEAP_RS00265	HNEAP_RS00265	hypothetical protein	-0.585309962972794	-0.822900934159474
HNEAP_RS00270	HNEAP_RS00270	metallophosphoesterase	-0.903659881392474	-0.940363693384418
HNEAP_RS00275	HNEAP_RS00275	hypothetical protein	-0.0771271998295844	-0.169613809891482
HNEAP_RS00280	HNEAP_RS00280	hypothetical protein	-0.141534521404086	0.214077568093655
HNEAP_RS00285	HNEAP_RS00285	bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase	-0.707072876457517	-0.835732833280267
HNEAP_RS00290	HNEAP_RS00290	hypothetical protein	-0.132006956762612	-0.110451977020476
HNEAP_RS00295	HNEAP_RS00295	molecular chaperone Skp	-0.118179440293723	-0.0700177252996384
HNEAP_RS00300	HNEAP_RS00300	phosphopantetheine-binding protein	-0.147052624639014	-0.131794827072888
HNEAP_RS00305	HNEAP_RS00305	3-oxoacyl-ACP synthase	-0.0904096065514659	-0.0287628914578728
HNEAP_RS00310	HNEAP_RS00310	acyl carrier protein	-0.112096595545606	-0.18983267642914
HNEAP_RS00320	HNEAP_RS00320	AMP-dependent synthetase and ligase	-0.0980681367267941	-0.0406189592720636
HNEAP_RS00325	HNEAP_RS00325	acyl-CoA synthetase	-0.111237960472167	-0.394557694038915
HNEAP_RS00330	HNEAP_RS00330	outer membrane lipoprotein carrier protein LolA	-0.150288460774455	-0.16370610054952
HNEAP_RS00335	HNEAP_RS00335	MMPL domain-containing protein	-0.122318141966027	-0.152546787764717
