locusId	sysName	desc	setAS2 HCO	setAS3 LCO
GFF1190		hypothetical protein	0.0874825221026869	0.153424988868876
GFF1209		hypothetical protein	-0.0657887983919698	0.00533505434234627
GFF1357		hypothetical protein	-0.440986067707011	-0.232554589796065
GFF1439		multidrug efflux protein	-0.152318402164672	-0.255145789338275
GFF1496		hypothetical protein	0.572773091713242	0.29282250390068
GFF160		2-isopropylmalate synthase	-0.0548714498718743	-0.0673620653741764
GFF1606		hypothetical protein	0.107403916884253	0.00499151462387815
GFF1629		hypothetical protein	0.241874843321328	0.193175300448207
GFF1704		hypothetical protein	0.0481518387986872	0.0599463403771097
GFF1835		cytochrome C	-0.0564509338126333	-0.064674666905395
GFF2046		hypothetical protein	0.0307191824613762	0.120951858143397
GFF2212		hypothetical protein	-0.0650869064252495	0.0625248844788846
GFF2252		IS66 family transposase	-0.0445853966004934	-0.0856340430950162
GFF2279		IS3 family transposase	-0.0639705106884056	0.143561009274572
GFF2280		IS3 family transposase	0.018203436935786	0.00623575363234075
GFF365		IS66 family transposase	0.0154150523866869	0.0251110880811112
GFF366		IS66 family transposase	0.0627404118391075	0.190568677354031
GFF371		Killer protein	0.207399706860975	0.139613647710233
GFF455		integrase	0.108025556439183	0.0880096567436404
GFF511		pilus assembly protein PilG	1.09311740937993	0.818826257506842
GFF559		hypothetical protein	0.250990071494501	0.223709332696552
GFF718		flagellar biosynthesis protein FlhA	0.0752816308872939	-0.0728406573286815
GFF782		hypothetical protein	0.0982487866621833	0.0110817777320626
GFF824		hypothetical protein	0.138216141714974	0.0546627667059152
GFF879		hypothetical protein	-0.0428276499486584	-0.02901645044843
GFF880		IS3 family transposase	0.0768155970508309	0.131645706197693
GFF881		GNAT family N-acetyltransferase	0.144170864852597	-0.166845921040333
GFF94		hypothetical protein	0.0378214654349671	0.039237650842157
GFF951		IS3 family transposase	-0.0388721866747987	-0.00565535071658907
HNEAP_RS00025	HNEAP_RS00025	DNA replication and repair protein RecF	-0.395172193453559	-0.428099495392651
HNEAP_RS00035	HNEAP_RS00035	LemA family protein	-0.279575907404753	-0.046495487195962
HNEAP_RS00040	HNEAP_RS00040	hypothetical protein	-0.00737645860896929	0.0180573152774581
HNEAP_RS00045	HNEAP_RS00045	exodeoxyribonuclease III	-0.143649375714504	-0.176111816995187
HNEAP_RS00050	HNEAP_RS00050	ABC transporter permease	-0.0509526000963882	-0.0754886104538723
HNEAP_RS00055	HNEAP_RS00055	ABC transporter	-0.191793679250888	-0.0573908877883635
HNEAP_RS00060	HNEAP_RS00060	arylesterase	-0.221964470067907	-0.17405628358606
HNEAP_RS00065	HNEAP_RS00065	DUF559 domain-containing protein	0.153498599547928	0.0390659116548964
HNEAP_RS00070	HNEAP_RS00070	IS110 family transposase	-0.014677202807273	-0.0442826489326293
HNEAP_RS00075	HNEAP_RS00075	prepilin-type cleavage/methylation domain-containing protein	0.563783490816838	0.279915859930394
HNEAP_RS00080	HNEAP_RS00080	Tfp pilus assembly protein FimT-like protein	0.404507221998204	0.280085763365573
HNEAP_RS00085	HNEAP_RS00085	type IV pilus modification protein PilV	0.756515241753525	0.537379670485546
HNEAP_RS00090	HNEAP_RS00090	prepilin-type cleavage/methylation domain-containing protein	0.677842534016473	0.397877316708133
HNEAP_RS00095	HNEAP_RS00095	hypothetical protein	0.752563697568339	0.532148985731371
HNEAP_RS00100	HNEAP_RS00100	type 4 fimbrial biogenesis protein PilY1	0.201509725837904	0.0961316126778424
HNEAP_RS00105	HNEAP_RS00105	PilE protein	0.765489447294095	0.5502187133653
HNEAP_RS00110	HNEAP_RS00110	pilus assembly protein	-0.142907637509633	-0.0826335821561699
HNEAP_RS00115	HNEAP_RS00115	DUF559 domain-containing protein	-0.275856021267639	-0.0192071299204448
HNEAP_RS00120	HNEAP_RS00120	excinuclease ABC subunit UvrA	-0.181262792088867	-0.0840942565313494
HNEAP_RS00130	HNEAP_RS00130	gamma-glutamyltransferase	-0.116559076915769	0.0372412293098847
HNEAP_RS00135	HNEAP_RS00135	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	-0.105591151262156	-0.0146164093980996
HNEAP_RS00140	HNEAP_RS00140	metallophosphoesterase	-0.162030756341976	-0.20065826046952
HNEAP_RS00145	HNEAP_RS00145	ketohexokinase	-1.64995423000949	-1.19875655025116
HNEAP_RS00150	HNEAP_RS00150	GGDEF domain-containing protein	-0.190169829077171	-0.162189574655001
HNEAP_RS00155	HNEAP_RS00155	BolA family transcriptional regulator	-0.321061351069829	-0.183018274440364
HNEAP_RS00160	HNEAP_RS00160	HDOD domain-containing protein	-0.104745981762549	0.0106411277022662
HNEAP_RS00165	HNEAP_RS00165	bifunctional (p)ppGpp synthetase/guanosine-3' 5'-bis(diphosphate) 3'-pyrophosphohydrolase	-1.3237223325329	-1.21463062959956
HNEAP_RS00170	HNEAP_RS00170	DNA-directed RNA polymerase subunit omega	-1.35928351775584	-0.693798466298121
HNEAP_RS00180	HNEAP_RS00180	DedA family protein	-0.314609345006063	-0.150376087880266
HNEAP_RS00185	HNEAP_RS00185	glycine zipper 2TM domain-containing protein	-0.200718378478077	-0.108729103235454
HNEAP_RS00190	HNEAP_RS00190	membrane protein	-0.171111916392754	0.185907299984168
HNEAP_RS00195	HNEAP_RS00195	exodeoxyribonuclease III	0.0287213088497866	0.15171861380834
HNEAP_RS00200	HNEAP_RS00200	hypothetical protein	-0.238448767555522	-0.324854258895572
HNEAP_RS00205	HNEAP_RS00205	hypothetical protein	-0.0842832069090038	-0.117408406688064
HNEAP_RS00210	HNEAP_RS00210	TIGR01458 family HAD-type hydrolase	-0.199657183107766	-0.24299724545175
HNEAP_RS00215	HNEAP_RS00215	competence/damage-inducible protein A	-0.0239473798840857	-0.171152798008261
HNEAP_RS00230	HNEAP_RS00230	hypothetical protein	-0.216577593186757	-0.186678057670409
HNEAP_RS00235	HNEAP_RS00235	hypothetical protein	-0.251027104411061	-0.0838529690379399
HNEAP_RS00240	HNEAP_RS00240	5'-deoxynucleotidase	-0.558187586169921	-0.258573977187158
HNEAP_RS00245	HNEAP_RS00245	deoxyguanosinetriphosphate triphosphohydrolase	-0.197665335434071	-0.118044750991897
HNEAP_RS00250	HNEAP_RS00250	NAD(P)-dependent oxidoreductase	-0.112806722163127	-0.0654073416360337
HNEAP_RS00260	HNEAP_RS00260	DNA recombination protein RmuC	-0.181262035299183	-0.252302798994695
HNEAP_RS00265	HNEAP_RS00265	hypothetical protein	-0.642632235857346	-0.915788097085183
HNEAP_RS00270	HNEAP_RS00270	metallophosphoesterase	-0.993573730840567	-1.00477626162494
HNEAP_RS00275	HNEAP_RS00275	hypothetical protein	-0.0989116904580145	-0.122845406155461
HNEAP_RS00280	HNEAP_RS00280	hypothetical protein	-0.113867964558279	0.172101500459137
HNEAP_RS00285	HNEAP_RS00285	bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase	-0.698397466472339	-0.84804003193917
HNEAP_RS00290	HNEAP_RS00290	hypothetical protein	-0.13870809293273	-0.0149323442422808
HNEAP_RS00295	HNEAP_RS00295	molecular chaperone Skp	-0.131426335942582	-0.0381019488675634
HNEAP_RS00300	HNEAP_RS00300	phosphopantetheine-binding protein	-0.0376431275340847	-0.0102352221944555
HNEAP_RS00305	HNEAP_RS00305	3-oxoacyl-ACP synthase	-0.025737054279614	-0.0139425527011916
HNEAP_RS00310	HNEAP_RS00310	acyl carrier protein	-0.131292598279369	-0.23632570069888
HNEAP_RS00320	HNEAP_RS00320	AMP-dependent synthetase and ligase	-0.0739453998552557	-0.0527304515421587
HNEAP_RS00325	HNEAP_RS00325	acyl-CoA synthetase	-0.123177439329052	-0.326029742710455
HNEAP_RS00330	HNEAP_RS00330	outer membrane lipoprotein carrier protein LolA	-0.150431244688627	-0.187246118258367
HNEAP_RS00335	HNEAP_RS00335	MMPL domain-containing protein	-0.13973525010354	-0.146387510461453
HNEAP_RS00340	HNEAP_RS00340	hypothetical protein	0.00998408857262323	-0.17285116545052
HNEAP_RS00345	HNEAP_RS00345	2-hydroxyacid dehydrogenase	-0.13784117550601	-0.149379177758213
HNEAP_RS00350	HNEAP_RS00350	PilZ domain-containing protein	-0.129635280416595	0.0566242830392012
HNEAP_RS00355	HNEAP_RS00355	glutamate racemase	-0.0531680510396582	-0.106772567598151
HNEAP_RS00360	HNEAP_RS00360	Txe/YoeB family addiction module toxin	-0.174723169945133	0.0014827288467405
HNEAP_RS00365	HNEAP_RS00365	prevent-host-death family protein	0.529327801748337	-0.307132711295949
HNEAP_RS00370	HNEAP_RS00370	hypothetical protein	-0.0393259975583229	0.11232616760306
HNEAP_RS00380	HNEAP_RS00380	hypothetical protein	-0.0143322910073644	0.0360835045983663
