locusId	sysName	desc	setAS2 HCO	setAS3 LCO
GFF1190		hypothetical protein	0.0506446115732166	0.0510261526254969
GFF1209		hypothetical protein	0.226974579812959	0.228556952000134
GFF1357		hypothetical protein	0.0848512596124569	0.0831725364069668
GFF1439		multidrug efflux protein	0.10265708178665	0.106949925880221
GFF1496		hypothetical protein	0.302012429863938	0.320819013962791
GFF160		2-isopropylmalate synthase	0.0505338184112442	0.0516822578849778
GFF1606		hypothetical protein	0.121288806433441	0.125936713119124
GFF1629		hypothetical protein	0.141023049538042	0.144814036469542
GFF1704		hypothetical protein	0.0830218671928751	0.0844716491576291
GFF1835		cytochrome C	0.0821928635673463	0.0839941989257608
GFF2046		hypothetical protein	0.16311270319403	0.163656921424121
GFF2212		hypothetical protein	0.101255196632587	0.100915881660738
GFF2252		IS66 family transposase	0.0481926851244438	0.0495505333185836
GFF2279		IS3 family transposase	0.0950868473783028	0.0934280138649354
GFF2280		IS3 family transposase	0.0997542486998448	0.101957211871269
GFF365		IS66 family transposase	0.0744181620691236	0.0757612370045119
GFF366		IS66 family transposase	0.116351542147292	0.115973770448825
GFF371		Killer protein	0.144779678213795	0.14921917277779
GFF455		integrase	0.0904835150355657	0.092554606257358
GFF511		pilus assembly protein PilG	0.0737407145671215	0.0773646135657973
GFF559		hypothetical protein	0.13180223275479	0.134836995230028
GFF718		flagellar biosynthesis protein FlhA	0.047043020672704	0.0492860932000222
GFF782		hypothetical protein	0.062171832278916	0.0643807394847218
GFF824		hypothetical protein	0.140324232113378	0.145146329283894
GFF879		hypothetical protein	0.122583294986394	0.124743257784582
GFF880		IS3 family transposase	0.0682371339169715	0.0688878712015562
GFF881		GNAT family N-acetyltransferase	0.122291213495052	0.131999156053235
GFF94		hypothetical protein	0.118599631389393	0.12090585158108
GFF951		IS3 family transposase	0.0871469811356604	0.0883621385319752
HNEAP_RS00025	HNEAP_RS00025	DNA replication and repair protein RecF	0.0927928665905881	0.0955410796413551
