locusId	sysName	desc	setAS2 HCO	setAS3 LCO
GFF1190		hypothetical protein	0.057962172375061	0.0553415974089247
GFF1209		hypothetical protein	0.172445798476467	0.244894682322346
GFF1357		hypothetical protein	0.0848905566709835	0.0854746245509926
GFF1439		multidrug efflux protein	0.1254984507454	0.104077372431046
GFF1496		hypothetical protein	0.240981615798585	0.44247076029015
GFF160		2-isopropylmalate synthase	0.0543457765590525	0.0563114677069066
GFF1606		hypothetical protein	0.0920121005297419	0.111693245580179
GFF1629		hypothetical protein	0.10419216966674	0.0890650525422227
GFF1704		hypothetical protein	0.107883352755544	0.1030793190222
GFF1835		cytochrome C	0.103829262929837	0.103370359603043
GFF2046		hypothetical protein	0.1680575129906	0.13420899996057
GFF2212		hypothetical protein	0.112658848315973	0.12448108175476
GFF2252		IS66 family transposase	0.048458503707049	0.0455352211996205
GFF2279		IS3 family transposase	0.0888213801312183	0.0924123534818011
GFF2280		IS3 family transposase	0.172287461707552	0.166580441478121
GFF365		IS66 family transposase	0.0845187721271599	0.0892141601034104
GFF366		IS66 family transposase	0.129154250762264	0.136279628461873
GFF371		Killer protein	0.117927284449366	0.168346562708541
GFF455		integrase	0.105719955041758	0.0759934682716378
GFF511		pilus assembly protein PilG	0.0916346830109656	0.143232460727481
GFF559		hypothetical protein	0.103552360897403	0.215738191296076
GFF718		flagellar biosynthesis protein FlhA	0.0482548894013479	0.0487522208576931
GFF782		hypothetical protein	0.0695031943688909	0.0737745969608072
GFF824		hypothetical protein	0.196030395939707	0.175008932033038
GFF879		hypothetical protein	0.143030689888982	0.15816899455815
GFF880		IS3 family transposase	0.0766358684492949	0.0740681401890901
GFF881		GNAT family N-acetyltransferase	0.16215202329707	0.14806211397859
GFF94		hypothetical protein	0.122896018402952	0.13741553528265
GFF951		IS3 family transposase	0.0959725312739495	0.0979425652773576
HNEAP_RS00025	HNEAP_RS00025	DNA replication and repair protein RecF	0.0929530113322188	0.0859676412538719
HNEAP_RS00035	HNEAP_RS00035	LemA family protein	0.106765164270805	0.10511115583304
HNEAP_RS00040	HNEAP_RS00040	hypothetical protein	0.074656913973668	0.0685387020272178
HNEAP_RS00045	HNEAP_RS00045	exodeoxyribonuclease III	0.104088236157821	0.108952879068939
HNEAP_RS00050	HNEAP_RS00050	ABC transporter permease	0.0526147042064997	0.0508537633024266
HNEAP_RS00055	HNEAP_RS00055	ABC transporter	0.0771702108126693	0.0893644558301859
HNEAP_RS00060	HNEAP_RS00060	arylesterase	0.0721070873387979	0.0945652160781264
