locusId	sysName	desc	setAS2 HCO	setAS3 LCO
GFF1190		hypothetical protein	-0.0167151208709225	0.668398747536578
GFF1209		hypothetical protein	-0.527512411020974	-0.177717987694829
GFF1357		hypothetical protein	-3.84798828047024	-2.39592734241446
GFF1439		multidrug efflux protein	-1.46411809803371	-1.98343402298947
GFF1496		hypothetical protein	1.62067789016369	0.417556739968565
GFF160		2-isopropylmalate synthase	0.278859775847302	-0.372593503619083
GFF1606		hypothetical protein	0.0910323361808276	-1.02752822571752
GFF1629		hypothetical protein	1.24129611837692	0.929601598599123
GFF1704		hypothetical protein	0.342192326022397	0.202444645152956
GFF1835		cytochrome C	-0.276264980937623	-0.178473760050396
GFF2046		hypothetical protein	0.0104846948533658	0.676801579633053
GFF2212		hypothetical protein	0.0490284656608124	0.456828299321404
GFF2252		IS66 family transposase	-0.0845911550808443	-0.271232314113977
GFF2279		IS3 family transposase	0.510499920138888	1.39747506457189
GFF2280		IS3 family transposase	0.124369694472226	-0.103968819725587
GFF365		IS66 family transposase	0.25534755915839	-0.150734617365332
GFF366		IS66 family transposase	0.391794468810817	1.27609896327359
GFF371		Killer protein	0.974388471418684	0.610054529824409
GFF455		integrase	-0.184006262345604	0.030186932189845
GFF511		pilus assembly protein PilG	6.93541812131967	3.86403770728325
GFF559		hypothetical protein	0.453117117986601	0.658498226000296
GFF718		flagellar biosynthesis protein FlhA	-0.106102864494554	-1.38262887877517
GFF782		hypothetical protein	-0.22264526381926	-0.162552853124525
GFF824		hypothetical protein	0.294372394684361	0.0934306138884757
GFF879		hypothetical protein	-0.224235271294616	-0.511666141526446
GFF880		IS3 family transposase	0.681693419294194	0.68723595534657
GFF881		GNAT family N-acetyltransferase	0.457414954907529	-1.35448933552993
GFF94		hypothetical protein	1.09325558351581	0.597953846448346
GFF951		IS3 family transposase	-0.560779599543942	-0.185642209344898
HNEAP_RS00025	HNEAP_RS00025	DNA replication and repair protein RecF	-2.22161828435901	-2.70060420031498
HNEAP_RS00035	HNEAP_RS00035	LemA family protein	-0.798354813889864	0.236352758836918
HNEAP_RS00040	HNEAP_RS00040	hypothetical protein	-0.104364531178642	0.342777844660985
HNEAP_RS00045	HNEAP_RS00045	exodeoxyribonuclease III	-0.394096379182396	-0.902288101691942
HNEAP_RS00050	HNEAP_RS00050	ABC transporter permease	0.303595067316269	-0.402426678987681
HNEAP_RS00055	HNEAP_RS00055	ABC transporter	-0.927107528908884	-0.414405662103704
HNEAP_RS00060	HNEAP_RS00060	arylesterase	-1.20092352142303	-1.09286765942847
HNEAP_RS00065	HNEAP_RS00065	DUF559 domain-containing protein	1.40252910930152	0.423426216179722
HNEAP_RS00070	HNEAP_RS00070	IS110 family transposase	0.74384937258288	0.119418906843396
HNEAP_RS00075	HNEAP_RS00075	prepilin-type cleavage/methylation domain-containing protein	4.87438791498862	2.53755706561207
HNEAP_RS00080	HNEAP_RS00080	Tfp pilus assembly protein FimT-like protein	3.33375734305279	2.17656455990766
HNEAP_RS00085	HNEAP_RS00085	type IV pilus modification protein PilV	4.19931002382126	3.56413469451332
HNEAP_RS00090	HNEAP_RS00090	prepilin-type cleavage/methylation domain-containing protein	5.08787177311507	2.80928572331441
HNEAP_RS00095	HNEAP_RS00095	hypothetical protein	5.68531541622751	4.54419409897103
HNEAP_RS00100	HNEAP_RS00100	type 4 fimbrial biogenesis protein PilY1	2.29271237829319	1.22896776183692
HNEAP_RS00105	HNEAP_RS00105	PilE protein	6.45047026580633	4.35765827782882
HNEAP_RS00110	HNEAP_RS00110	pilus assembly protein	-0.264868174301784	0.146600475181838
HNEAP_RS00115	HNEAP_RS00115	DUF559 domain-containing protein	-0.108451660874195	-0.833311796055456
HNEAP_RS00120	HNEAP_RS00120	excinuclease ABC subunit UvrA	-0.983521596297413	-0.402554325764295
HNEAP_RS00130	HNEAP_RS00130	gamma-glutamyltransferase	-0.146894690837749	0.817566621634193
HNEAP_RS00135	HNEAP_RS00135	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	-0.629506375608067	0.230739855084766
HNEAP_RS00140	HNEAP_RS00140	metallophosphoesterase	-0.46711327398605	-0.654623352386473
HNEAP_RS00145	HNEAP_RS00145	ketohexokinase	-6.68076933742935	-5.52595231101269
HNEAP_RS00150	HNEAP_RS00150	GGDEF domain-containing protein	-0.944144075751993	-1.10211111787112
HNEAP_RS00155	HNEAP_RS00155	BolA family transcriptional regulator	-1.06780273885719	-0.768470652432611
HNEAP_RS00160	HNEAP_RS00160	HDOD domain-containing protein	-0.748681543856791	0.283184035332454
HNEAP_RS00165	HNEAP_RS00165	bifunctional (p)ppGpp synthetase/guanosine-3' 5'-bis(diphosphate) 3'-pyrophosphohydrolase	-3.51230491322797	-3.38579279434749
HNEAP_RS00170	HNEAP_RS00170	DNA-directed RNA polymerase subunit omega	-2.81668005292919	-1.13739589772483
HNEAP_RS00180	HNEAP_RS00180	DedA family protein	-1.71144788454382	-1.12487971033651
HNEAP_RS00185	HNEAP_RS00185	glycine zipper 2TM domain-containing protein	-1.20340901724602	-0.555726210772164
HNEAP_RS00190	HNEAP_RS00190	membrane protein	-0.223909837588372	0.894730832764632
HNEAP_RS00195	HNEAP_RS00195	exodeoxyribonuclease III	1.01272529261883	1.72416812542277
HNEAP_RS00200	HNEAP_RS00200	hypothetical protein	-1.41995782341041	-2.12934713826365
HNEAP_RS00205	HNEAP_RS00205	hypothetical protein	-0.263840352111852	-0.811885226525003
HNEAP_RS00210	HNEAP_RS00210	TIGR01458 family HAD-type hydrolase	-0.871725130996325	-1.39657541344311
HNEAP_RS00215	HNEAP_RS00215	competence/damage-inducible protein A	-0.0826054976741477	-1.07968952883728
HNEAP_RS00230	HNEAP_RS00230	hypothetical protein	-0.395348772549348	-1.6232543758076
HNEAP_RS00235	HNEAP_RS00235	hypothetical protein	-1.45371002017516	-0.36937578752324
HNEAP_RS00240	HNEAP_RS00240	5'-deoxynucleotidase	-2.24282781448038	-0.819554086072029
HNEAP_RS00245	HNEAP_RS00245	deoxyguanosinetriphosphate triphosphohydrolase	-1.19530444717682	-0.743465380260539
HNEAP_RS00250	HNEAP_RS00250	NAD(P)-dependent oxidoreductase	-0.246522852393353	-0.246079707790176
HNEAP_RS00260	HNEAP_RS00260	DNA recombination protein RmuC	-0.826446748819541	-1.49918024648182
HNEAP_RS00265	HNEAP_RS00265	hypothetical protein	-1.79181801457255	-3.79140770150248
HNEAP_RS00270	HNEAP_RS00270	metallophosphoesterase	-3.15792816730279	-3.34069510068424
HNEAP_RS00275	HNEAP_RS00275	hypothetical protein	-0.0892395837042361	-0.740379357894865
HNEAP_RS00280	HNEAP_RS00280	hypothetical protein	-0.456721649102669	1.38250655694159
HNEAP_RS00285	HNEAP_RS00285	bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase	-3.84984031210935	-4.80715867650802
HNEAP_RS00290	HNEAP_RS00290	hypothetical protein	-0.417049093910374	-0.519249274053799
HNEAP_RS00295	HNEAP_RS00295	molecular chaperone Skp	-0.435725738416475	-0.3293407513434
HNEAP_RS00300	HNEAP_RS00300	phosphopantetheine-binding protein	-0.40480496544711	-0.453721160619508
HNEAP_RS00305	HNEAP_RS00305	3-oxoacyl-ACP synthase	-0.262443609656732	-0.031162971618688
HNEAP_RS00310	HNEAP_RS00310	acyl carrier protein	-0.135853000217055	-0.391606501789397
HNEAP_RS00320	HNEAP_RS00320	AMP-dependent synthetase and ligase	-0.333881043360519	-0.132088716452593
HNEAP_RS00325	HNEAP_RS00325	acyl-CoA synthetase	-0.367617497583539	-2.81335194858232
HNEAP_RS00330	HNEAP_RS00330	outer membrane lipoprotein carrier protein LolA	-0.65767311966208	-1.04608702927039
HNEAP_RS00335	HNEAP_RS00335	MMPL domain-containing protein	-0.550344268323519	-1.11166538584841
HNEAP_RS00340	HNEAP_RS00340	hypothetical protein	0.75214805248875	-0.952563157138288
HNEAP_RS00345	HNEAP_RS00345	2-hydroxyacid dehydrogenase	-0.787737327777673	-0.56899469344051
HNEAP_RS00350	HNEAP_RS00350	PilZ domain-containing protein	-0.181032421081603	0.435994070932023
HNEAP_RS00355	HNEAP_RS00355	glutamate racemase	0.0356490600896878	-0.296059551843138
HNEAP_RS00360	HNEAP_RS00360	Txe/YoeB family addiction module toxin	-0.378859166194784	0.164539076452688
HNEAP_RS00365	HNEAP_RS00365	prevent-host-death family protein	1.32069938503254	-0.761512141289084
HNEAP_RS00370	HNEAP_RS00370	hypothetical protein	-0.204710895177996	0.425282068907758
HNEAP_RS00380	HNEAP_RS00380	hypothetical protein	0.216411317904427	-0.103318543961539
HNEAP_RS00385	HNEAP_RS00385	hypothetical protein	-0.892813298606453	-0.357270422533992
HNEAP_RS00390	HNEAP_RS00390	hypothetical protein	-0.881786819892689	-0.357422819512159
HNEAP_RS00395	HNEAP_RS00395	hypothetical protein	0.280308136817208	0.191221877069536
HNEAP_RS00400	HNEAP_RS00400	hypothetical protein	1.10893448961889	0.653178938144674
HNEAP_RS00405	HNEAP_RS00405	hypothetical protein	-0.609298844001334	-1.15449222439836
HNEAP_RS00410	HNEAP_RS00410	hypothetical protein	-0.427072498380548	-0.328629531514267
HNEAP_RS00415	HNEAP_RS00415	yfeABCD locus regulator	0.324700303095023	-0.359486214411385
HNEAP_RS00420	HNEAP_RS00420	ATPase	-0.114035657310974	-1.46030365777124
HNEAP_RS00435	HNEAP_RS00435	cation transporter	1.56831907970986	1.09912234357821
HNEAP_RS00445	HNEAP_RS00445	hypothetical protein	-1.0743560831125	-1.03542569977872
HNEAP_RS00450	HNEAP_RS00450	mercury transporter MerC	-1.10739522319339	0.73415976656527
HNEAP_RS00455	HNEAP_RS00455	hypothetical protein	0.354944082681726	0.157958175485946
HNEAP_RS00460	HNEAP_RS00460	hypothetical protein	-2.00212407627738	0.588172844306403
HNEAP_RS00465	HNEAP_RS00465	hypothetical protein	-0.124500676286827	-0.550564910814555
HNEAP_RS00470	HNEAP_RS00470	integrase	-0.606624248438879	0.50496623121105
HNEAP_RS00480	HNEAP_RS00480	class I SAM-dependent methyltransferase	-0.140038094665295	-0.876139796870204
HNEAP_RS00485	HNEAP_RS00485	SNF2-like protein	-0.459593564425873	-0.843414632033643
HNEAP_RS00490	HNEAP_RS00490	ferrous iron transport protein A	0.11618637053432	0.0294381088559712
HNEAP_RS00510	HNEAP_RS00510	molecular chaperone DnaJ	-1.66582990234679	-0.456468195200098
HNEAP_RS00565	HNEAP_RS00565	twin-arginine translocase subunit TatC	-1.30963357304295	-0.613545053306367
HNEAP_RS00575	HNEAP_RS00575	iron export ABC transporter permease subunit FetB	-1.93978607278552	-1.08984142004353
HNEAP_RS00580	HNEAP_RS00580	ABC transporter	-3.21853053145049	-1.86912234998947
HNEAP_RS00585	HNEAP_RS00585	hypothetical protein	-1.61183521969316	-1.48273934324031
HNEAP_RS00590	HNEAP_RS00590	DNA helicase RecG	-2.38012164905299	-3.60925515465696
HNEAP_RS00595	HNEAP_RS00595	Hsp20/alpha crystallin family protein	1.65021950249395	0.299669030766958
HNEAP_RS00605	HNEAP_RS00605	OmpA family protein	-0.0729287984653527	0.193080758717914
HNEAP_RS00610	HNEAP_RS00610	hypothetical protein	0.0221153057255381	-0.13237652946759
HNEAP_RS00615	HNEAP_RS00615	hypothetical protein	0.589054908813094	-1.00467529422897
HNEAP_RS00620	HNEAP_RS00620	hypothetical protein	-0.250640661633931	0.600875779150723
HNEAP_RS00635	HNEAP_RS00635	diguanylate cyclase	-1.88880569791325	-1.10837587632095
HNEAP_RS00640	HNEAP_RS00640	response regulator	-0.411145365380731	-1.5813456526895
HNEAP_RS00645	HNEAP_RS00645	sensor histidine kinase	-0.68257137006661	-1.54767593932287
