locusId	sysName	desc	comb	setAS2 HCO	setAS3 LCO
GFF1190		hypothetical protein	 hypothetical protein	1628	1580
GFF1209		hypothetical protein	 hypothetical protein	76	74
GFF1357		hypothetical protein	 hypothetical protein	490	525
GFF1439		multidrug efflux protein	 multidrug efflux protein	365	315
GFF1496		hypothetical protein	 hypothetical protein	54	41
GFF160		2-isopropylmalate synthase	 2-isopropylmalate synthase	1558	1432
GFF1606		hypothetical protein	 hypothetical protein	285	246
GFF1629		hypothetical protein	 hypothetical protein	221	198
GFF1704		hypothetical protein	 hypothetical protein	597	558
GFF1835		cytochrome C	 cytochrome C	588	542
GFF2046		hypothetical protein	 hypothetical protein	153	151
GFF2212		hypothetical protein	 hypothetical protein	386	391
GFF2252		IS66 family transposase	 IS66 family transposase	1719	1549
GFF2279		IS3 family transposase	 IS3 family transposase	438	469
GFF2280		IS3 family transposase	 IS3 family transposase	409	376
GFF365		IS66 family transposase	 IS66 family transposase	735	686
GFF366		IS66 family transposase	 IS66 family transposase	305	309
GFF371		Killer protein	 Killer protein	207	183
GFF455		integrase	 integrase	513	469
GFF511		pilus assembly protein PilG	 pilus assembly protein PilG	1156	886
GFF559		hypothetical protein	 hypothetical protein	254	231
GFF718		flagellar biosynthesis protein FlhA	 flagellar biosynthesis protein FlhA	1879	1572
GFF782		hypothetical protein	 hypothetical protein	1084	946
GFF824		hypothetical protein	 hypothetical protein	215	188
GFF879		hypothetical protein	 hypothetical protein	265	248
GFF880		IS3 family transposase	 IS3 family transposase	893	860
GFF881		GNAT family N-acetyltransferase	 GNAT family N-acetyltransferase	284	212
GFF94		hypothetical protein	 hypothetical protein	291	270
GFF951		IS3 family transposase	 IS3 family transposase	526	499
HNEAP_RS00025	HNEAP_RS00025	DNA replication and repair protein RecF	HNEAP_RS00025 DNA replication and repair protein RecF	415	376
HNEAP_RS00035	HNEAP_RS00035	LemA family protein	HNEAP_RS00035 LemA family protein	545	594
HNEAP_RS00040	HNEAP_RS00040	hypothetical protein	HNEAP_RS00040 hypothetical protein	1064	1004
HNEAP_RS00045	HNEAP_RS00045	exodeoxyribonuclease III	HNEAP_RS00045 exodeoxyribonuclease III	320	290
HNEAP_RS00050	HNEAP_RS00050	ABC transporter permease	HNEAP_RS00050 ABC transporter permease	1932	1761
HNEAP_RS00055	HNEAP_RS00055	ABC transporter	HNEAP_RS00055 ABC transporter	903	919
HNEAP_RS00060	HNEAP_RS00060	arylesterase	HNEAP_RS00060 arylesterase	577	553
HNEAP_RS00065	HNEAP_RS00065	DUF559 domain-containing protein	HNEAP_RS00065 DUF559 domain-containing protein	424	363
HNEAP_RS00070	HNEAP_RS00070	IS110 family transposase	HNEAP_RS00070 IS110 family transposase	1450	1317
HNEAP_RS00075	HNEAP_RS00075	prepilin-type cleavage/methylation domain-containing protein	HNEAP_RS00075 prepilin-type cleavage/methylation domain-containing protein	561	427
HNEAP_RS00080	HNEAP_RS00080	Tfp pilus assembly protein FimT-like protein	HNEAP_RS00080 Tfp pilus assembly protein FimT-like protein	1692	1439
HNEAP_RS00085	HNEAP_RS00085	type IV pilus modification protein PilV	HNEAP_RS00085 type IV pilus modification protein PilV	1950	1553
HNEAP_RS00090	HNEAP_RS00090	prepilin-type cleavage/methylation domain-containing protein	HNEAP_RS00090 prepilin-type cleavage/methylation domain-containing protein	2347	1792
HNEAP_RS00095	HNEAP_RS00095	hypothetical protein	HNEAP_RS00095 hypothetical protein	1860	1480
HNEAP_RS00100	HNEAP_RS00100	type 4 fimbrial biogenesis protein PilY1	HNEAP_RS00100 type 4 fimbrial biogenesis protein PilY1	12378	10668
HNEAP_RS00105	HNEAP_RS00105	PilE protein	HNEAP_RS00105 PilE protein	2075	1657
HNEAP_RS00110	HNEAP_RS00110	pilus assembly protein	HNEAP_RS00110 pilus assembly protein	540	522
