locusId	sysName	desc	setAS3 0-5	setAS5 10
GFF1190		hypothetical protein	0.0534598108356059	0.047041952037395
GFF1209		hypothetical protein	0.238046094689869	0.209630266826919
GFF1357		hypothetical protein	0.130417316081791	0.12358535715644
GFF1439		multidrug efflux protein	0.0761958905998419	0.0780451152909075
GFF1496		hypothetical protein	0.463180771232111	0.31326373276171
GFF160		2-isopropylmalate synthase	0.0493659098506323	0.0561218894589348
GFF1606		hypothetical protein	0.150706888342733	0.192649120904201
GFF1629		hypothetical protein	0.13540047187694	0.144534536949873
GFF1704		hypothetical protein	0.0734916189095172	0.0969803797205994
GFF1835		cytochrome C	0.0806474073320423	0.0879572632897911
GFF2046		hypothetical protein	0.168495305052958	0.155302465210907
GFF2212		hypothetical protein	0.0912499960395275	0.106239081408442
GFF2252		IS66 family transposase	0.0533277119480644	0.0475490974401046
GFF2279		IS3 family transposase	0.130207056993994	0.0982746632728316
GFF2280		IS3 family transposase	0.110028466380716	0.112843460040563
GFF365		IS66 family transposase	0.0834589489894053	0.0718360159969938
GFF366		IS66 family transposase	0.141291556922671	0.0963209604855888
GFF371		Killer protein	0.159346866148097	0.175804485218472
GFF455		integrase	0.100490082242188	0.100546471854441
GFF511		pilus assembly protein PilG	0.163690624936789	0.161687054896081
GFF559		hypothetical protein	0.15088449386344	0.0969236916918425
GFF718		flagellar biosynthesis protein FlhA	0.04560278716854	0.045266824017167
GFF782		hypothetical protein	0.0908782311794303	0.10102575271283
GFF824		hypothetical protein	0.135049396788293	0.174040715651566
GFF879		hypothetical protein	0.191350365342639	0.156538813146056
GFF880		IS3 family transposase	0.0642780886780129	0.0693555718904789
GFF881		GNAT family N-acetyltransferase	0.158613914054091	0.145376203298741
GFF94		hypothetical protein	0.080184165910543	0.113189960162017
GFF951		IS3 family transposase	0.0941812844449042	0.0933892462308853
HNEAP_RS00025	HNEAP_RS00025	DNA replication and repair protein RecF	0.0679239004809835	0.0740425327435337
HNEAP_RS00035	HNEAP_RS00035	LemA family protein	0.0908541783264536	0.0801998308263185
HNEAP_RS00040	HNEAP_RS00040	hypothetical protein	0.0633884289814548	0.0664774565192552
HNEAP_RS00045	HNEAP_RS00045	exodeoxyribonuclease III	0.112942635504966	0.112781569360281
HNEAP_RS00050	HNEAP_RS00050	ABC transporter permease	0.0486412528791748	0.0477389047137611
HNEAP_RS00055	HNEAP_RS00055	ABC transporter	0.0677214176225366	0.0676285912230132
HNEAP_RS00060	HNEAP_RS00060	arylesterase	0.0878050314306785	0.0901046331247125
HNEAP_RS00065	HNEAP_RS00065	DUF559 domain-containing protein	0.112347238646115	0.0827284164928882
HNEAP_RS00070	HNEAP_RS00070	IS110 family transposase	0.0605288651516729	0.0528706329536197
HNEAP_RS00075	HNEAP_RS00075	prepilin-type cleavage/methylation domain-containing protein	0.133622931644034	0.166719889389134
HNEAP_RS00080	HNEAP_RS00080	Tfp pilus assembly protein FimT-like protein	0.089901187093064	0.0865881744283932
HNEAP_RS00085	HNEAP_RS00085	type IV pilus modification protein PilV	0.0903815931594395	0.0785690871426825
HNEAP_RS00090	HNEAP_RS00090	prepilin-type cleavage/methylation domain-containing protein	0.063684786171874	0.0614920141870403
HNEAP_RS00095	HNEAP_RS00095	hypothetical protein	0.0757063996119691	0.0773893008116667
HNEAP_RS00100	HNEAP_RS00100	type 4 fimbrial biogenesis protein PilY1	0.0279951709920564	0.0282991364189884
