locusId	sysName	desc	comb	setAS4 0-5	setAS6 10
GFF1190		hypothetical protein	 hypothetical protein	-0.0975974757190218	-0.114159441417565
GFF1209		hypothetical protein	 hypothetical protein	0.154559541831115	-0.0382791395150936
GFF1357		hypothetical protein	 hypothetical protein	-1.20305349774352	-0.942894314871047
GFF1439		multidrug efflux protein	 multidrug efflux protein	0.229603868459216	0.198247854855403
GFF1496		hypothetical protein	 hypothetical protein	-0.36484901915524	-0.181125824961381
GFF160		2-isopropylmalate synthase	 2-isopropylmalate synthase	0.0400400478139772	0.0251427809530905
GFF1606		hypothetical protein	 hypothetical protein	0.162757684399067	0.236780752211427
GFF1629		hypothetical protein	 hypothetical protein	-0.0451328932428162	0.107006997865651
GFF1704		hypothetical protein	 hypothetical protein	0.0350338935256596	-0.0496415096256588
GFF1835		cytochrome C	 cytochrome C	-0.0422103686665459	0.0551354690696982
GFF2046		hypothetical protein	 hypothetical protein	0.239326041399755	0.0616810213013196
GFF2212		hypothetical protein	 hypothetical protein	-0.0861413748560323	-0.012016623826393
GFF2252		IS66 family transposase	 IS66 family transposase	0.0617645405335537	0.0539105436450206
GFF2279		IS3 family transposase	 IS3 family transposase	0.329713546935173	0.207526730279681
GFF2280		IS3 family transposase	 IS3 family transposase	0.0168525079006685	-0.222143707122279
GFF365		IS66 family transposase	 IS66 family transposase	-0.114705971341707	-0.127474435181707
GFF366		IS66 family transposase	 IS66 family transposase	-0.0229746794733624	-0.00822366174686245
GFF371		Killer protein	 Killer protein	-0.113329863840966	-0.165492024012207
GFF455		integrase	 integrase	-0.0528020276402018	-0.114251152032064
GFF511		pilus assembly protein PilG	 pilus assembly protein PilG	1.48383214846227	1.16412241876318
GFF559		hypothetical protein	 hypothetical protein	0.251333015060731	0.305597460689222
GFF718		flagellar biosynthesis protein FlhA	 flagellar biosynthesis protein FlhA	0.679101795139333	0.689016463975801
GFF782		hypothetical protein	 hypothetical protein	0.0476087696948172	0.0309786656399252
GFF824		hypothetical protein	 hypothetical protein	-0.104074238007333	-0.288718446077862
GFF879		hypothetical protein	 hypothetical protein	-0.00589757770307486	-0.187073181885551
GFF880		IS3 family transposase	 IS3 family transposase	0.133618924246995	0.0863934974837164
GFF881		GNAT family N-acetyltransferase	 GNAT family N-acetyltransferase	-0.0703173330787771	0.05197695438508
GFF94		hypothetical protein	 hypothetical protein	-0.0153076382431667	0.0395265379489284
GFF951		IS3 family transposase	 IS3 family transposase	0.0926973764277921	0.0651855590379231
HNEAP_RS00025	HNEAP_RS00025	DNA replication and repair protein RecF	HNEAP_RS00025 DNA replication and repair protein RecF	-0.0634708660395641	-0.111748537229059
HNEAP_RS00035	HNEAP_RS00035	LemA family protein	HNEAP_RS00035 LemA family protein	-0.0654301327061582	0.0293601928844948
HNEAP_RS00040	HNEAP_RS00040	hypothetical protein	HNEAP_RS00040 hypothetical protein	0.0776756138532502	0.146902523110206
HNEAP_RS00045	HNEAP_RS00045	exodeoxyribonuclease III	HNEAP_RS00045 exodeoxyribonuclease III	0.0421170548456632	0.127871586906656
HNEAP_RS00050	HNEAP_RS00050	ABC transporter permease	HNEAP_RS00050 ABC transporter permease	-0.036954931711852	0.0218803585366962
HNEAP_RS00055	HNEAP_RS00055	ABC transporter	HNEAP_RS00055 ABC transporter	0.0851726432046215	0.0701890192389146
HNEAP_RS00060	HNEAP_RS00060	arylesterase	HNEAP_RS00060 arylesterase	-0.0683236056900718	0.0578980964810438
HNEAP_RS00065	HNEAP_RS00065	DUF559 domain-containing protein	HNEAP_RS00065 DUF559 domain-containing protein	0.137548379170752	0.155477946771229
HNEAP_RS00070	HNEAP_RS00070	IS110 family transposase	HNEAP_RS00070 IS110 family transposase	-0.0109658063281263	0.011753464631555
HNEAP_RS00075	HNEAP_RS00075	prepilin-type cleavage/methylation domain-containing protein	HNEAP_RS00075 prepilin-type cleavage/methylation domain-containing protein	1.31754959862523	1.14136186061563
HNEAP_RS00080	HNEAP_RS00080	Tfp pilus assembly protein FimT-like protein	HNEAP_RS00080 Tfp pilus assembly protein FimT-like protein	0.961564087244024	0.794977844468952
HNEAP_RS00085	HNEAP_RS00085	type IV pilus modification protein PilV	HNEAP_RS00085 type IV pilus modification protein PilV	1.23642338309068	1.06326503899146
HNEAP_RS00090	HNEAP_RS00090	prepilin-type cleavage/methylation domain-containing protein	HNEAP_RS00090 prepilin-type cleavage/methylation domain-containing protein	1.21482336233881	1.05996617363138
HNEAP_RS00095	HNEAP_RS00095	hypothetical protein	HNEAP_RS00095 hypothetical protein	1.24014297805698	1.09960679553029
HNEAP_RS00100	HNEAP_RS00100	type 4 fimbrial biogenesis protein PilY1	HNEAP_RS00100 type 4 fimbrial biogenesis protein PilY1	0.954034675874031	0.93356326808821
HNEAP_RS00105	HNEAP_RS00105	PilE protein	HNEAP_RS00105 PilE protein	0.967945522262402	0.900454025272842
HNEAP_RS00110	HNEAP_RS00110	pilus assembly protein	HNEAP_RS00110 pilus assembly protein	-0.0535124567477978	-0.0619132978495585
HNEAP_RS00115	HNEAP_RS00115	DUF559 domain-containing protein	HNEAP_RS00115 DUF559 domain-containing protein	-0.459906888707637	-0.676283602266622
