locusId	sysName	desc	setAS4 0-5	setAS6 10
GFF1190		hypothetical protein	-0.0310373131903248	-0.0767311785194629
GFF1209		hypothetical protein	0.186471024430192	-0.0118308915615239
GFF1357		hypothetical protein	-1.16182812764169	-0.943765684111217
GFF1439		multidrug efflux protein	0.309679362855771	0.229560573566959
GFF1496		hypothetical protein	-0.273601510813722	-0.15092066620341
GFF160		2-isopropylmalate synthase	-0.00234838154404926	0.0611829833131914
GFF1606		hypothetical protein	0.158255831175255	0.184348517288267
GFF1629		hypothetical protein	0.0340524530915216	0.138585950991575
GFF1704		hypothetical protein	-0.0106480317513125	-0.0867800340770568
GFF1835		cytochrome C	-0.0677462719679625	0.0029237740658079
GFF2046		hypothetical protein	0.176201406625798	0.0116002991556394
GFF2212		hypothetical protein	-0.0625389438438493	-0.035027866167642
GFF2252		IS66 family transposase	0.0199739086828217	0.0572095212439763
GFF2279		IS3 family transposase	0.215630343907641	0.179745487202823
GFF2280		IS3 family transposase	0.0476915424533644	-0.0299913669889911
GFF365		IS66 family transposase	-0.106076540065237	-0.0717681381660427
GFF366		IS66 family transposase	-0.0112206942274327	0.0495708405758268
GFF371		Killer protein	-0.0714080544164979	-0.0866760785329213
GFF455		integrase	-0.0643833537896032	-0.063774281784033
GFF511		pilus assembly protein PilG	1.570985732929	1.23142758505282
GFF559		hypothetical protein	0.436267901606293	0.331390187744976
GFF718		flagellar biosynthesis protein FlhA	0.747656210886921	0.746946548759636
GFF782		hypothetical protein	0.0955804086720899	0.0155857344838335
GFF824		hypothetical protein	-0.122780557957723	-0.212936301493322
GFF879		hypothetical protein	0.0600476616244663	-0.0132858630465957
GFF880		IS3 family transposase	0.212523692310562	0.138729281679774
GFF881		GNAT family N-acetyltransferase	0.0440471829307505	0.123939175027173
GFF94		hypothetical protein	-0.11606204859163	0.058944657256875
GFF951		IS3 family transposase	-0.0286430715000101	-0.0532547248999347
HNEAP_RS00025	HNEAP_RS00025	DNA replication and repair protein RecF	-0.108102854397181	-0.103402462281009
HNEAP_RS00035	HNEAP_RS00035	LemA family protein	-0.164115896651895	-0.0586097406729369
HNEAP_RS00040	HNEAP_RS00040	hypothetical protein	0.00646662141962295	0.130365444186607
HNEAP_RS00045	HNEAP_RS00045	exodeoxyribonuclease III	-0.0132984879455851	0.154328687537321
HNEAP_RS00050	HNEAP_RS00050	ABC transporter permease	-0.0553637820676158	0.0660492157077144
HNEAP_RS00055	HNEAP_RS00055	ABC transporter	-0.00560478004397424	0.0794297389564989
HNEAP_RS00060	HNEAP_RS00060	arylesterase	-0.164136889311509	0.0845872549232958
HNEAP_RS00065	HNEAP_RS00065	DUF559 domain-containing protein	-0.00449259057024598	0.0769056411836644
HNEAP_RS00070	HNEAP_RS00070	IS110 family transposase	-0.0799690697369986	-0.00582381707373436
HNEAP_RS00075	HNEAP_RS00075	prepilin-type cleavage/methylation domain-containing protein	1.18121335114692	1.13123689999135
HNEAP_RS00080	HNEAP_RS00080	Tfp pilus assembly protein FimT-like protein	0.788164540576236	0.735532267749319
HNEAP_RS00085	HNEAP_RS00085	type IV pilus modification protein PilV	1.26263420060537	1.16140931425438
HNEAP_RS00090	HNEAP_RS00090	prepilin-type cleavage/methylation domain-containing protein	1.19925866745986	1.09327186027127
HNEAP_RS00095	HNEAP_RS00095	hypothetical protein	1.19575694772887	1.12667725715649
HNEAP_RS00100	HNEAP_RS00100	type 4 fimbrial biogenesis protein PilY1	0.906212261152401	0.954630023266482
HNEAP_RS00105	HNEAP_RS00105	PilE protein	0.944054498029264	0.965785235111159
HNEAP_RS00110	HNEAP_RS00110	pilus assembly protein	-0.0647101134043506	-0.0174095259532123
HNEAP_RS00115	HNEAP_RS00115	DUF559 domain-containing protein	-0.0438454184802559	-0.228875809168812
HNEAP_RS00120	HNEAP_RS00120	excinuclease ABC subunit UvrA	-0.212878601237504	-0.141593521582001
HNEAP_RS00130	HNEAP_RS00130	gamma-glutamyltransferase	0.114558609546105	0.14614594230442
HNEAP_RS00135	HNEAP_RS00135	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	0.00907088595547734	0.145439193649812
HNEAP_RS00140	HNEAP_RS00140	metallophosphoesterase	-0.0632064933389671	-0.0527259726521461
HNEAP_RS00145	HNEAP_RS00145	ketohexokinase	-2.37844881047837	-2.09845324630927
HNEAP_RS00150	HNEAP_RS00150	GGDEF domain-containing protein	-0.0553593601968245	-0.0595321217392701
HNEAP_RS00155	HNEAP_RS00155	BolA family transcriptional regulator	0.0465265219708471	0.0833850766765387
HNEAP_RS00160	HNEAP_RS00160	HDOD domain-containing protein	0.110171141050301	0.18308265977713
HNEAP_RS00165	HNEAP_RS00165	bifunctional (p)ppGpp synthetase/guanosine-3' 5'-bis(diphosphate) 3'-pyrophosphohydrolase	-1.75141165876587	-2.45834919139566
HNEAP_RS00170	HNEAP_RS00170	DNA-directed RNA polymerase subunit omega	-0.730498972746584	-0.982976028889339
HNEAP_RS00180	HNEAP_RS00180	DedA family protein	-0.381288324523712	-0.279233988958596
HNEAP_RS00185	HNEAP_RS00185	glycine zipper 2TM domain-containing protein	-0.367577659022738	-0.0873555374259443
HNEAP_RS00190	HNEAP_RS00190	membrane protein	-0.243958525265634	-0.102064499861653
HNEAP_RS00195	HNEAP_RS00195	exodeoxyribonuclease III	-0.0931622031505785	-0.0703808777111963
HNEAP_RS00200	HNEAP_RS00200	hypothetical protein	-0.339187981531484	-0.177647904122127
HNEAP_RS00205	HNEAP_RS00205	hypothetical protein	-0.0783774071777916	-0.00287976718533223
HNEAP_RS00210	HNEAP_RS00210	TIGR01458 family HAD-type hydrolase	-0.0815952251357128	0.047640164275764
HNEAP_RS00215	HNEAP_RS00215	competence/damage-inducible protein A	-0.0552969612417371	-0.084578171374714
HNEAP_RS00230	HNEAP_RS00230	hypothetical protein	-0.131941198412195	-0.123947316051485
HNEAP_RS00235	HNEAP_RS00235	hypothetical protein	-0.329050374430897	-0.226956055005447
HNEAP_RS00240	HNEAP_RS00240	5'-deoxynucleotidase	-0.479056054596304	-0.375254703395998
HNEAP_RS00245	HNEAP_RS00245	deoxyguanosinetriphosphate triphosphohydrolase	-0.0510884738949517	-0.0155940978533611
HNEAP_RS00250	HNEAP_RS00250	NAD(P)-dependent oxidoreductase	-0.0479670328964072	0.0186864727822016
HNEAP_RS00260	HNEAP_RS00260	DNA recombination protein RmuC	-0.216878584887858	-0.152757324683026
HNEAP_RS00265	HNEAP_RS00265	hypothetical protein	-0.410946243628392	-0.0325513094101906
HNEAP_RS00270	HNEAP_RS00270	metallophosphoesterase	-2.48991941774049	-1.676989477871
HNEAP_RS00275	HNEAP_RS00275	hypothetical protein	0.0055998776020898	0.255183708305425
HNEAP_RS00280	HNEAP_RS00280	hypothetical protein	0.103906358805354	0.146061071553721
HNEAP_RS00285	HNEAP_RS00285	bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase	-0.650187566927219	-0.681996469945096
HNEAP_RS00290	HNEAP_RS00290	hypothetical protein	-0.145388222008251	-0.0585542856395982
HNEAP_RS00295	HNEAP_RS00295	molecular chaperone Skp	-0.0164406483165305	0.164790109490976
HNEAP_RS00300	HNEAP_RS00300	phosphopantetheine-binding protein	-0.41493237811066	-0.106865486125475
HNEAP_RS00305	HNEAP_RS00305	3-oxoacyl-ACP synthase	-0.0679976303671559	0.0467769121888111
HNEAP_RS00310	HNEAP_RS00310	acyl carrier protein	-0.248490216353699	-0.0753696331962326
HNEAP_RS00320	HNEAP_RS00320	AMP-dependent synthetase and ligase	-0.163551743590617	-0.089338259605503
HNEAP_RS00325	HNEAP_RS00325	acyl-CoA synthetase	-0.220165414100325	-0.0578112618119295
HNEAP_RS00330	HNEAP_RS00330	outer membrane lipoprotein carrier protein LolA	-0.117046412783413	-0.0181484495527933
HNEAP_RS00335	HNEAP_RS00335	MMPL domain-containing protein	-0.133280931297735	-0.0334496697080269
HNEAP_RS00340	HNEAP_RS00340	hypothetical protein	-0.0704099015393211	0.0262425011400396
HNEAP_RS00345	HNEAP_RS00345	2-hydroxyacid dehydrogenase	-0.0897169596245853	0.00734141771332197
HNEAP_RS00350	HNEAP_RS00350	PilZ domain-containing protein	0.313388671254416	0.277413655688891
HNEAP_RS00355	HNEAP_RS00355	glutamate racemase	-0.0691501954603968	0.0180444193203577
HNEAP_RS00360	HNEAP_RS00360	Txe/YoeB family addiction module toxin	-0.0402933119980915	-0.201212820734476
HNEAP_RS00365	HNEAP_RS00365	prevent-host-death family protein	-0.103764734110217	0.0290364888126406
HNEAP_RS00370	HNEAP_RS00370	hypothetical protein	-0.107660332526459	0.0549691242211097
HNEAP_RS00380	HNEAP_RS00380	hypothetical protein	0.141824488545801	0.238307646725829
HNEAP_RS00385	HNEAP_RS00385	hypothetical protein	0.0264392689816475	0.0459366630259002
HNEAP_RS00390	HNEAP_RS00390	hypothetical protein	0.266498539091892	0.201107035549633
HNEAP_RS00395	HNEAP_RS00395	hypothetical protein	0.183679010792843	0.0510799663018604
HNEAP_RS00400	HNEAP_RS00400	hypothetical protein	0.0287144548196743	0.0714717551330377
HNEAP_RS00405	HNEAP_RS00405	hypothetical protein	-0.0956032088357279	0.0568249791686366
HNEAP_RS00410	HNEAP_RS00410	hypothetical protein	-0.261275402832184	-0.240806169720605
HNEAP_RS00415	HNEAP_RS00415	yfeABCD locus regulator	0.134882894547055	0.100855561914131
HNEAP_RS00420	HNEAP_RS00420	ATPase	0.0186461640583069	0.00999784501128254
HNEAP_RS00435	HNEAP_RS00435	cation transporter	-0.10444637600378	0.0714717551330377
HNEAP_RS00440	HNEAP_RS00440	N-acetyltransferase	0.0628626772315197	0.21442970897508
HNEAP_RS00445	HNEAP_RS00445	hypothetical protein	-0.0794860798583663	-0.131899729402416
HNEAP_RS00450	HNEAP_RS00450	mercury transporter MerC	0.227956317468275	0.204817300978085
HNEAP_RS00455	HNEAP_RS00455	hypothetical protein	-0.0595339541282076	0.0542624651008143
HNEAP_RS00460	HNEAP_RS00460	hypothetical protein	0.00598345679600065	0.00395219398920155
HNEAP_RS00465	HNEAP_RS00465	hypothetical protein	-0.137182312587127	-0.0432604609582388
HNEAP_RS00470	HNEAP_RS00470	integrase	-0.0595339541282058	-0.060546229533168
HNEAP_RS00480	HNEAP_RS00480	class I SAM-dependent methyltransferase	0.0269455665972611	0.0770312804749373
HNEAP_RS00485	HNEAP_RS00485	SNF2-like protein	-0.0697975959963859	0.0140347513152914
HNEAP_RS00490	HNEAP_RS00490	ferrous iron transport protein A	-0.337916324295437	-0.0478271732393072
HNEAP_RS00510	HNEAP_RS00510	molecular chaperone DnaJ	-0.218977471702196	-0.108323490333335
HNEAP_RS00565	HNEAP_RS00565	twin-arginine translocase subunit TatC	-0.281527675713356	-0.00972432771494258
HNEAP_RS00575	HNEAP_RS00575	iron export ABC transporter permease subunit FetB	-0.164425070153028	0.0533419510274999
HNEAP_RS00580	HNEAP_RS00580	ABC transporter	-0.203923863463382	-0.214223248111928
HNEAP_RS00585	HNEAP_RS00585	hypothetical protein	-0.139431607406239	-0.0156502249129069
HNEAP_RS00590	HNEAP_RS00590	DNA helicase RecG	-0.305859770824396	-0.2842899348302
HNEAP_RS00595	HNEAP_RS00595	Hsp20/alpha crystallin family protein	0.0397966855745526	0.0257796644401704
HNEAP_RS00605	HNEAP_RS00605	OmpA family protein	0.0899966536373231	0.0714717551330377
HNEAP_RS00610	HNEAP_RS00610	hypothetical protein	-0.0854171478281511	0.0205095853717694
HNEAP_RS00615	HNEAP_RS00615	hypothetical protein	-0.138809245251192	-0.146708414916494
HNEAP_RS00620	HNEAP_RS00620	hypothetical protein	0.0516354218082657	0.0574239806474051
HNEAP_RS00635	HNEAP_RS00635	diguanylate cyclase	-0.100367671636784	-0.117875246356071
