locusId	sysName	desc	setAS4 0-5	setAS6 10
GFF1190		hypothetical protein	0.0408561781225727	0.0426025698124206
GFF1209		hypothetical protein	0.176711185747392	0.187517043258801
GFF1357		hypothetical protein	0.0830316306771454	0.0836659477933937
GFF1439		multidrug efflux protein	0.063642378063103	0.0662740553038685
GFF1496		hypothetical protein	0.252019336618805	0.25705097888592
GFF160		2-isopropylmalate synthase	0.0404724537503442	0.0415304595120317
GFF1606		hypothetical protein	0.103048737212324	0.106078191472069
GFF1629		hypothetical protein	0.131604380707312	0.134240495596736
GFF1704		hypothetical protein	0.069932850411456	0.0732230764705362
GFF1835		cytochrome C	0.0655127891859511	0.0672053799478207
GFF2046		hypothetical protein	0.12418658534257	0.131181200980724
GFF2212		hypothetical protein	0.0792753792437955	0.0818244075685783
GFF2252		IS66 family transposase	0.0398662215930917	0.0410478009598087
GFF2279		IS3 family transposase	0.0750593394061202	0.0778374848066606
GFF2280		IS3 family transposase	0.0780870504307428	0.0816883600147697
GFF365		IS66 family transposase	0.0606157071714491	0.0625381897060017
GFF366		IS66 family transposase	0.0967176970719644	0.0992937379521288
GFF371		Killer protein	0.117414577532319	0.121966544097299
GFF455		integrase	0.0750570179666613	0.0777765657767927
GFF511		pilus assembly protein PilG	0.0559541749983833	0.0582658429806099
GFF559		hypothetical protein	0.0982598240704524	0.102401349235214
GFF718		flagellar biosynthesis protein FlhA	0.0290139678037619	0.0297379071091011
GFF782		hypothetical protein	0.0527618549371952	0.0551630801611161
GFF824		hypothetical protein	0.11197291869175	0.117750301809709
GFF879		hypothetical protein	0.0988240015469194	0.103292786402703
GFF880		IS3 family transposase	0.0585313578815337	0.0610092256040979
GFF881		GNAT family N-acetyltransferase	0.103298475270104	0.105709428740896
GFF94		hypothetical protein	0.0990465173653267	0.100159085046537
GFF951		IS3 family transposase	0.0714268614724841	0.0742472253365249
HNEAP_RS00025	HNEAP_RS00025	DNA replication and repair protein RecF	0.0762663216199073	0.0790326799690383
HNEAP_RS00035	HNEAP_RS00035	LemA family protein	0.0631079691899592	0.0644740138443514
HNEAP_RS00040	HNEAP_RS00040	hypothetical protein	0.0504336016873358	0.0513208643530016
HNEAP_RS00045	HNEAP_RS00045	exodeoxyribonuclease III	0.0903359848218675	0.0913972277286326
HNEAP_RS00050	HNEAP_RS00050	ABC transporter permease	0.037366660987278	0.0380549037108833
HNEAP_RS00055	HNEAP_RS00055	ABC transporter	0.0537392044014139	0.0549816595877289
HNEAP_RS00060	HNEAP_RS00060	arylesterase	0.0687357971495692	0.0688097538358721
HNEAP_RS00065	HNEAP_RS00065	DUF559 domain-containing protein	0.0789757984868256	0.0808414688800722
HNEAP_RS00070	HNEAP_RS00070	IS110 family transposase	0.0440437423281718	0.045165075761655
HNEAP_RS00075	HNEAP_RS00075	prepilin-type cleavage/methylation domain-containing protein	0.0889617520403867	0.0910994419982656
HNEAP_RS00080	HNEAP_RS00080	Tfp pilus assembly protein FimT-like protein	0.0379103172340877	0.0390418072132975
HNEAP_RS00085	HNEAP_RS00085	type IV pilus modification protein PilV	0.0386260535408805	0.0396792174937605
HNEAP_RS00090	HNEAP_RS00090	prepilin-type cleavage/methylation domain-containing protein	0.0340399381873798	0.0350150668665281
HNEAP_RS00095	HNEAP_RS00095	hypothetical protein	0.0416913003079984	0.0427535609639155
HNEAP_RS00100	HNEAP_RS00100	type 4 fimbrial biogenesis protein PilY1	0.0130271669780957	0.0132658757374304
HNEAP_RS00105	HNEAP_RS00105	PilE protein	0.0412634545589862	0.0421066791467903
HNEAP_RS00110	HNEAP_RS00110	pilus assembly protein	0.0726615358654804	0.0747860915839578
HNEAP_RS00115	HNEAP_RS00115	DUF559 domain-containing protein	0.133280217448688	0.141986122971233
HNEAP_RS00120	HNEAP_RS00120	excinuclease ABC subunit UvrA	0.0436718846551144	0.0448661665517645
HNEAP_RS00130	HNEAP_RS00130	gamma-glutamyltransferase	0.0335245829246817	0.034504011295687
HNEAP_RS00135	HNEAP_RS00135	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	0.0476479671461547	0.0484038804604758
HNEAP_RS00140	HNEAP_RS00140	metallophosphoesterase	0.0754260070620198	0.0780448994328364
HNEAP_RS00145	HNEAP_RS00145	ketohexokinase	0.212863709399144	0.21156706560198
HNEAP_RS00150	HNEAP_RS00150	GGDEF domain-containing protein	0.0361091372248107	0.0374386495826279
HNEAP_RS00155	HNEAP_RS00155	BolA family transcriptional regulator	0.127415238295555	0.131155167825716
HNEAP_RS00160	HNEAP_RS00160	HDOD domain-containing protein	0.0600426477579328	0.0614604212760128
HNEAP_RS00165	HNEAP_RS00165	bifunctional (p)ppGpp synthetase/guanosine-3' 5'-bis(diphosphate) 3'-pyrophosphohydrolase	0.283547529344704	0.362076255832064
HNEAP_RS00170	HNEAP_RS00170	DNA-directed RNA polymerase subunit omega	0.337741055737658	0.371306420821852
HNEAP_RS00180	HNEAP_RS00180	DedA family protein	0.103005586248014	0.105496189440201
HNEAP_RS00185	HNEAP_RS00185	glycine zipper 2TM domain-containing protein	0.0685957287536428	0.0683547584775037
HNEAP_RS00190	HNEAP_RS00190	membrane protein	0.187796807925586	0.19095308493105
HNEAP_RS00195	HNEAP_RS00195	exodeoxyribonuclease III	0.0752177794243734	0.0777216802648544
HNEAP_RS00200	HNEAP_RS00200	hypothetical protein	0.0893613052811264	0.0906472270543054
HNEAP_RS00205	HNEAP_RS00205	hypothetical protein	0.0318697948824297	0.0326743209877151
HNEAP_RS00210	HNEAP_RS00210	TIGR01458 family HAD-type hydrolase	0.0564624808014465	0.0574510542778438
HNEAP_RS00215	HNEAP_RS00215	competence/damage-inducible protein A	0.0530544879233522	0.0552112410432123
HNEAP_RS00230	HNEAP_RS00230	hypothetical protein	0.0851972038424938	0.0882746391763565
HNEAP_RS00235	HNEAP_RS00235	hypothetical protein	0.0490562021837926	0.050218025825853
HNEAP_RS00240	HNEAP_RS00240	5'-deoxynucleotidase	0.145367560412286	0.148973435373897
HNEAP_RS00245	HNEAP_RS00245	deoxyguanosinetriphosphate triphosphohydrolase	0.0470103034828854	0.048458853558592
HNEAP_RS00250	HNEAP_RS00250	NAD(P)-dependent oxidoreductase	0.0488494279562868	0.0501294342186115
HNEAP_RS00260	HNEAP_RS00260	DNA recombination protein RmuC	0.0436844946596088	0.0449298116233628
HNEAP_RS00265	HNEAP_RS00265	hypothetical protein	0.126905155227846	0.124633245441775
HNEAP_RS00270	HNEAP_RS00270	metallophosphoesterase	0.399500654196162	0.347018821495992
HNEAP_RS00275	HNEAP_RS00275	hypothetical protein	0.116484313400165	0.11658801720314
HNEAP_RS00280	HNEAP_RS00280	hypothetical protein	0.114590354110617	0.117786238657767
HNEAP_RS00285	HNEAP_RS00285	bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase	0.102422517143828	0.107715561636618
HNEAP_RS00290	HNEAP_RS00290	hypothetical protein	0.0807675563595168	0.0827269973021647
HNEAP_RS00295	HNEAP_RS00295	molecular chaperone Skp	0.0619861068065431	0.0626013542111934
HNEAP_RS00300	HNEAP_RS00300	phosphopantetheine-binding protein	0.146839199613683	0.145704474083355
HNEAP_RS00305	HNEAP_RS00305	3-oxoacyl-ACP synthase	0.0407589916636154	0.041552331162367
HNEAP_RS00310	HNEAP_RS00310	acyl carrier protein	0.238655894043034	0.241554692751772
HNEAP_RS00320	HNEAP_RS00320	AMP-dependent synthetase and ligase	0.0402364524624286	0.0412968425044313
HNEAP_RS00325	HNEAP_RS00325	acyl-CoA synthetase	0.0690373255639229	0.0699760295497642
HNEAP_RS00330	HNEAP_RS00330	outer membrane lipoprotein carrier protein LolA	0.0685318614291506	0.070052968014033
HNEAP_RS00335	HNEAP_RS00335	MMPL domain-containing protein	0.0388837732365162	0.039747331293141
HNEAP_RS00340	HNEAP_RS00340	hypothetical protein	0.0789155863085104	0.0806586167459656
HNEAP_RS00345	HNEAP_RS00345	2-hydroxyacid dehydrogenase	0.0836561997658716	0.0855141566740583
HNEAP_RS00350	HNEAP_RS00350	PilZ domain-containing protein	0.155930083301847	0.16145081470716
HNEAP_RS00355	HNEAP_RS00355	glutamate racemase	0.0664653204100202	0.0680235126422579
HNEAP_RS00360	HNEAP_RS00360	Txe/YoeB family addiction module toxin	0.166744961292533	0.176956663745642
HNEAP_RS00365	HNEAP_RS00365	prevent-host-death family protein	0.271586184498371	0.276246919318057
HNEAP_RS00370	HNEAP_RS00370	hypothetical protein	0.0944171624426129	0.0956386408086999
HNEAP_RS00380	HNEAP_RS00380	hypothetical protein	0.098431801612788	0.100415801578068
HNEAP_RS00385	HNEAP_RS00385	hypothetical protein	0.119936623245224	0.123787567465021
HNEAP_RS00390	HNEAP_RS00390	hypothetical protein	0.19923045408894	0.207231544098157
HNEAP_RS00395	HNEAP_RS00395	hypothetical protein	0.128881602854573	0.135504909999904
HNEAP_RS00400	HNEAP_RS00400	hypothetical protein	0.184781530995081	0.19009176242662
HNEAP_RS00405	HNEAP_RS00405	hypothetical protein	0.184924715762486	0.187571057897984
HNEAP_RS00410	HNEAP_RS00410	hypothetical protein	0.154229366684489	0.15978761009914
HNEAP_RS00415	HNEAP_RS00415	yfeABCD locus regulator	0.114628712674767	0.118997404822592
HNEAP_RS00420	HNEAP_RS00420	ATPase	0.0619962622888993	0.0642487078153047
HNEAP_RS00435	HNEAP_RS00435	cation transporter	0.0670873414442806	0.0678286605392716
HNEAP_RS00440	HNEAP_RS00440	N-acetyltransferase	0.318681700035043	0.32297661448716
HNEAP_RS00445	HNEAP_RS00445	hypothetical protein	0.0967676142920793	0.101091381709308
HNEAP_RS00450	HNEAP_RS00450	mercury transporter MerC	0.0934070950359297	0.0966830556482478
HNEAP_RS00455	HNEAP_RS00455	hypothetical protein	0.115126956758231	0.117375773259717
HNEAP_RS00460	HNEAP_RS00460	hypothetical protein	0.0854043666397974	0.0884406706969939
HNEAP_RS00465	HNEAP_RS00465	hypothetical protein	0.0594712489463234	0.0608463369115632
HNEAP_RS00470	HNEAP_RS00470	integrase	0.0933269172571753	0.0967244537567598
HNEAP_RS00480	HNEAP_RS00480	class I SAM-dependent methyltransferase	0.0795658157567401	0.0817710743872072
HNEAP_RS00485	HNEAP_RS00485	SNF2-like protein	0.0265863045220328	0.0272227377469288
HNEAP_RS00490	HNEAP_RS00490	ferrous iron transport protein A	0.239842233076847	0.238665842264816
HNEAP_RS00510	HNEAP_RS00510	molecular chaperone DnaJ	0.0728422094948411	0.0743977043006852
HNEAP_RS00565	HNEAP_RS00565	twin-arginine translocase subunit TatC	0.230667361960709	0.230161586369675
HNEAP_RS00575	HNEAP_RS00575	iron export ABC transporter permease subunit FetB	0.0997003922154126	0.100237405670894
HNEAP_RS00580	HNEAP_RS00580	ABC transporter	0.106405343648106	0.110677144130728
HNEAP_RS00585	HNEAP_RS00585	hypothetical protein	0.0804729085028018	0.0819807220784635
HNEAP_RS00590	HNEAP_RS00590	DNA helicase RecG	0.0427656416777218	0.0443266262418524
HNEAP_RS00595	HNEAP_RS00595	Hsp20/alpha crystallin family protein	0.0885357696532476	0.0917926729063071
HNEAP_RS00605	HNEAP_RS00605	OmpA family protein	0.0607044403847149	0.0629284247836292
HNEAP_RS00610	HNEAP_RS00610	hypothetical protein	0.0485739507997848	0.0495883793852918
HNEAP_RS00615	HNEAP_RS00615	hypothetical protein	0.113474939418648	0.117867835125925
HNEAP_RS00620	HNEAP_RS00620	hypothetical protein	0.09733342421249	0.100616203194094
HNEAP_RS00635	HNEAP_RS00635	diguanylate cyclase	0.0512618444388421	0.0532913072766584
HNEAP_RS00640	HNEAP_RS00640	response regulator	0.105401438689906	0.107625604996273
HNEAP_RS00645	HNEAP_RS00645	sensor histidine kinase	0.0386410464948946	0.0395145909872529
HNEAP_RS00650	HNEAP_RS00650	serine/threonine-protein phosphatase	0.0658766676785218	0.0682061170080054
HNEAP_RS00655	HNEAP_RS00655	magnesium and cobalt transport protein CorA	0.0547854986395972	0.0557914893143276
HNEAP_RS00660	HNEAP_RS00660	glycosyltransferase family 1 protein	0.0464383842280981	0.0481366606825151
HNEAP_RS00665	HNEAP_RS00665	phosphatase PAP2 family protein	0.0707649016837078	0.0726764774960427
HNEAP_RS00670	HNEAP_RS00670	general secretion pathway protein GspC	0.0472982165124758	0.0485826276382822
HNEAP_RS00675	HNEAP_RS00675	type II secretion system protein GspD	0.0342314311038561	0.0351310115105324
HNEAP_RS00680	HNEAP_RS00680	type II secretion system protein GspE	0.0351896874037598	0.0361071917486595
HNEAP_RS00685	HNEAP_RS00685	type II secretion system protein GspF	0.0504646154164787	0.0517210463391002
HNEAP_RS00690	HNEAP_RS00690	type II secretion system protein GspG	0.110940842410112	0.114262492684858
HNEAP_RS00705	HNEAP_RS00705	type II secretion system protein GspJ	0.0820469265530075	0.0829480071411121
HNEAP_RS00710	HNEAP_RS00710	general secretion pathway protein GspK	0.0506001795565648	0.052247020824995
HNEAP_RS00715	HNEAP_RS00715	type II secretory pathway component PulL-like protein	0.0423295709322749	0.0438467185083067
HNEAP_RS00720	HNEAP_RS00720	type II secretion system protein M	0.0553936162238698	0.0565373351976487
HNEAP_RS00725	HNEAP_RS00725	type II secretion system protein N	0.0512810143297789	0.0529361419894499
HNEAP_RS00730	HNEAP_RS00730	DUF4395 domain-containing protein	0.0805763325960509	0.0672364143395421
HNEAP_RS00735	HNEAP_RS00735	hypothetical protein	0.0588491753563067	0.0606492599274899
HNEAP_RS00740	HNEAP_RS00740	BCCT family transporter	0.0374992870486075	0.0383636655690786
HNEAP_RS00745	HNEAP_RS00745	MFS transporter	0.0649808304851041	0.066764143362927
HNEAP_RS00750	HNEAP_RS00750	MFS transporter	0.0668525511944842	0.0692918858750825
HNEAP_RS00760	HNEAP_RS00760	serine/threonine protein kinase	0.0371042915324373	0.0378758170159682
HNEAP_RS00765	HNEAP_RS00765	phosphopeptide-binding protein	0.0869899098694204	0.0903833533424359
HNEAP_RS00770	HNEAP_RS00770	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF	0.153784606816722	0.158055223345017
HNEAP_RS00775	HNEAP_RS00775	chromosome segregation protein SMC	0.0303275135493285	0.0309747709434146
HNEAP_RS00795	HNEAP_RS00795	tRNA-Pro	0.164293232956656	0.177613498567124
HNEAP_RS00800	HNEAP_RS00800	Lrp/AsnC family transcriptional regulator	0.0674749660997453	0.0697092604026833
HNEAP_RS00810	HNEAP_RS00810	ABC transporter ATP-binding protein	0.0498599313830726	0.0514369305938719
HNEAP_RS00815	HNEAP_RS00815	phosphohistidine phosphatase SixA	0.112301015933416	0.111503886445843
HNEAP_RS00820	HNEAP_RS00820	rhombosortase	0.101037154336857	0.103379909141314
HNEAP_RS00825	HNEAP_RS00825	transaldolase	0.0793021661811039	0.0825958119752193
HNEAP_RS00830	HNEAP_RS00830	hypothetical protein	0.0791544141012372	0.0851348629049405
HNEAP_RS00835	HNEAP_RS00835	RNA polymerase sigma factor	0.0733449255191086	0.0745083444132772
HNEAP_RS00840	HNEAP_RS00840	hypothetical protein	0.0712554650510951	0.072815032879086
HNEAP_RS00845	HNEAP_RS00845	phosphate porin	0.0427954422044749	0.0440672774625915
HNEAP_RS00850	HNEAP_RS00850	sensor domain-containing diguanylate cyclase	0.0636339779603655	0.0653506363557982
HNEAP_RS00855	HNEAP_RS00855	protein disulfide oxidoreductase	0.0912813531856073	0.0949817126295342
