locusId	sysName	desc	setAS4 0-5	setAS6 10
GFF1190		hypothetical protein	-0.858372957013503	-1.02065008834726
GFF1209		hypothetical protein	0.624180218479478	-0.180124379985271
GFF1357		hypothetical protein	-8.3968338974927	-6.82234219488377
GFF1439		multidrug efflux protein	1.80383342438619	1.4887839822477
GFF1496		hypothetical protein	-0.952466278657448	-0.425133397035392
GFF160		2-isopropylmalate synthase	0.357127228843513	0.223352427400404
GFF1606		hypothetical protein	0.778952848015608	1.22165630336501
GFF1629		hypothetical protein	-0.269676119771759	0.639255034433381
GFF1704		hypothetical protein	0.269679743741421	-0.386721181519278
GFF1835		cytochrome C	-0.319108321118275	0.441368623799924
GFF2046		hypothetical protein	1.28875991761365	0.355664103169075
GFF2212		hypothetical protein	-0.579136121423937	-0.0843934536296157
GFF2252		IS66 family transposase	0.562124534964107	0.487091846249085
GFF2279		IS3 family transposase	2.33024974671374	1.46685554042588
GFF2280		IS3 family transposase	0.10714572056546	-1.37728317113733
GFF365		IS66 family transposase	-0.980921034473402	-1.02833343575795
GFF366		IS66 family transposase	-0.149465002550852	-0.0583119316062526
GFF371		Killer protein	-0.673999631007676	-0.839350297299465
GFF455		integrase	-0.422300615144414	-0.845704356843644
GFF511		pilus assembly protein PilG	9.5626085220815	7.47225936375261
GFF559		hypothetical protein	1.79272260285741	1.62679107760003
GFF718		flagellar biosynthesis protein FlhA	6.11419009973143	6.12081172783659
GFF782		hypothetical protein	0.381601213360951	0.234660292805729
GFF824		hypothetical protein	-0.644446122627779	-1.28117346299051
GFF879		hypothetical protein	-0.0324071930303642	-0.971750701829178
GFF880		IS3 family transposase	0.995491595033391	0.66639773417855
GFF881		GNAT family N-acetyltransferase	-0.423138901671117	0.276417869719154
GFF94		hypothetical protein	-0.0978978907968527	0.251523935670099
GFF951		IS3 family transposase	0.65019059253898	0.452286734025318
HNEAP_RS00025	HNEAP_RS00025	DNA replication and repair protein RecF	-0.473544153108744	-0.828288763447366
HNEAP_RS00035	HNEAP_RS00035	LemA family protein	-0.515411842077938	0.211077659658928
HNEAP_RS00040	HNEAP_RS00040	hypothetical protein	0.673497634147352	1.24073876695027
HNEAP_RS00045	HNEAP_RS00045	exodeoxyribonuclease III	0.312530938138995	0.943876470927631
HNEAP_RS00050	HNEAP_RS00050	ABC transporter permease	-0.341384173668909	0.198656934118822
HNEAP_RS00055	HNEAP_RS00055	ABC transporter	0.726316445900988	0.613096854848629
HNEAP_RS00060	HNEAP_RS00060	arylesterase	-0.563052485634586	0.476971494575144
HNEAP_RS00065	HNEAP_RS00065	DUF559 domain-containing protein	0.969425670032708	1.16281889818664
HNEAP_RS00070	HNEAP_RS00070	IS110 family transposase	-0.094870953692778	0.0997833881618719
HNEAP_RS00075	HNEAP_RS00075	prepilin-type cleavage/methylation domain-containing protein	8.12969231224002	7.66029795816446
HNEAP_RS00080	HNEAP_RS00080	Tfp pilus assembly protein FimT-like protein	7.51766303540075	6.14370636540451
HNEAP_RS00085	HNEAP_RS00085	type IV pilus modification protein PilV	9.85176788846293	8.14199668296548
HNEAP_RS00090	HNEAP_RS00090	prepilin-type cleavage/methylation domain-containing protein	10.046978275733	8.80718727260344
HNEAP_RS00095	HNEAP_RS00095	hypothetical protein	9.56855515298617	8.53959608119094
HNEAP_RS00100	HNEAP_RS00100	type 4 fimbrial biogenesis protein PilY1	9.2915869152845	9.09014289310876
HNEAP_RS00105	HNEAP_RS00105	PilE protein	8.5159739005668	7.71070086379843
HNEAP_RS00110	HNEAP_RS00110	pilus assembly protein	-0.389228555751234	-0.427791069015963
HNEAP_RS00115	HNEAP_RS00115	DUF559 domain-containing protein	-1.57667220633366	-2.30365874582398
HNEAP_RS00120	HNEAP_RS00120	excinuclease ABC subunit UvrA	-1.44898759551203	-1.44289096638472
HNEAP_RS00130	HNEAP_RS00130	gamma-glutamyltransferase	1.43624339691782	1.20988119566333
HNEAP_RS00135	HNEAP_RS00135	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	0.79907334965925	0.97320333749225
HNEAP_RS00140	HNEAP_RS00140	metallophosphoesterase	0.0278484107963555	-0.248788069067976
HNEAP_RS00145	HNEAP_RS00145	ketohexokinase	-9.37263353846348	-8.24730210499397
HNEAP_RS00150	HNEAP_RS00150	GGDEF domain-containing protein	0.314157229552434	-0.340615337574632
HNEAP_RS00155	HNEAP_RS00155	BolA family transcriptional regulator	0.577553540359588	-0.00648971665402638
HNEAP_RS00160	HNEAP_RS00160	HDOD domain-containing protein	1.28985311063386	1.0527078461947
HNEAP_RS00165	HNEAP_RS00165	bifunctional (p)ppGpp synthetase/guanosine-3' 5'-bis(diphosphate) 3'-pyrophosphohydrolase	-4.9935285420875	-6.16471928875508
HNEAP_RS00170	HNEAP_RS00170	DNA-directed RNA polymerase subunit omega	-0.99674917769437	-1.61841665334238
HNEAP_RS00180	HNEAP_RS00180	DedA family protein	-2.42969066542279	-2.03298822190421
HNEAP_RS00185	HNEAP_RS00185	glycine zipper 2TM domain-containing protein	-2.69682912514703	-0.554546167878088
HNEAP_RS00190	HNEAP_RS00190	membrane protein	-1.00943056037498	-0.770222753710143
HNEAP_RS00195	HNEAP_RS00195	exodeoxyribonuclease III	0.126672457711449	-0.296560186504161
HNEAP_RS00200	HNEAP_RS00200	hypothetical protein	-2.4584415456243	-2.15582390769163
HNEAP_RS00205	HNEAP_RS00205	hypothetical protein	-0.435782653568482	-0.0658466117704701
HNEAP_RS00210	HNEAP_RS00210	TIGR01458 family HAD-type hydrolase	-0.274645929648759	0.520367915923735
HNEAP_RS00215	HNEAP_RS00215	competence/damage-inducible protein A	-0.0724073579753114	-0.320916217119235
HNEAP_RS00230	HNEAP_RS00230	hypothetical protein	-0.413147344412861	-0.654303991709622
HNEAP_RS00235	HNEAP_RS00235	hypothetical protein	-2.18421322028055	-2.17463772816861
HNEAP_RS00240	HNEAP_RS00240	5'-deoxynucleotidase	-2.25585410386422	-1.76212916348507
HNEAP_RS00245	HNEAP_RS00245	deoxyguanosinetriphosphate triphosphohydrolase	0.195466386757898	-0.123547640052434
HNEAP_RS00250	HNEAP_RS00250	NAD(P)-dependent oxidoreductase	-0.255967713338907	-0.244778078735571
HNEAP_RS00260	HNEAP_RS00260	DNA recombination protein RmuC	-1.45897441499605	-1.54578969711734
HNEAP_RS00265	HNEAP_RS00265	hypothetical protein	-2.21321980254126	-0.0800990101861091
HNEAP_RS00270	HNEAP_RS00270	metallophosphoesterase	-5.76553525882528	-4.47907863529936
HNEAP_RS00275	HNEAP_RS00275	hypothetical protein	0.418897665415477	1.1072205062702
