locusId	sysName	desc	comb	setAS7 1-5	setAS8 5
GFF1190		hypothetical protein	 hypothetical protein	3388	2750
GFF1209		hypothetical protein	 hypothetical protein	177	139
GFF1357		hypothetical protein	 hypothetical protein	529	482
GFF1439		multidrug efflux protein	 multidrug efflux protein	952	834
GFF1496		hypothetical protein	 hypothetical protein	92	75
GFF160		2-isopropylmalate synthase	 2-isopropylmalate synthase	3012	2425
GFF1606		hypothetical protein	 hypothetical protein	549	471
GFF1629		hypothetical protein	 hypothetical protein	374	298
GFF1704		hypothetical protein	 hypothetical protein	1119	976
GFF1835		cytochrome C	 cytochrome C	1109	915
GFF2046		hypothetical protein	 hypothetical protein	281	226
GFF2212		hypothetical protein	 hypothetical protein	871	697
GFF2252		IS66 family transposase	 IS66 family transposase	3176	2613
GFF2279		IS3 family transposase	 IS3 family transposase	883	743
GFF2280		IS3 family transposase	 IS3 family transposase	808	653
GFF365		IS66 family transposase	 IS66 family transposase	1320	1147
GFF366		IS66 family transposase	 IS66 family transposase	539	435
GFF371		Killer protein	 Killer protein	341	238
GFF455		integrase	 integrase	904	797
GFF511		pilus assembly protein PilG	 pilus assembly protein PilG	2239	1578
GFF559		hypothetical protein	 hypothetical protein	476	427
GFF718		flagellar biosynthesis protein FlhA	 flagellar biosynthesis protein FlhA	4300	3436
GFF782		hypothetical protein	 hypothetical protein	1989	1692
GFF824		hypothetical protein	 hypothetical protein	370	294
GFF879		hypothetical protein	 hypothetical protein	553	422
GFF880		IS3 family transposase	 IS3 family transposase	1648	1349
GFF881		GNAT family N-acetyltransferase	 GNAT family N-acetyltransferase	539	410
GFF94		hypothetical protein	 hypothetical protein	464	371
GFF951		IS3 family transposase	 IS3 family transposase	1024	818
HNEAP_RS00025	HNEAP_RS00025	DNA replication and repair protein RecF	HNEAP_RS00025 DNA replication and repair protein RecF	695	550
HNEAP_RS00035	HNEAP_RS00035	LemA family protein	HNEAP_RS00035 LemA family protein	1128	892
HNEAP_RS00040	HNEAP_RS00040	hypothetical protein	HNEAP_RS00040 hypothetical protein	1988	1641
HNEAP_RS00045	HNEAP_RS00045	exodeoxyribonuclease III	HNEAP_RS00045 exodeoxyribonuclease III	701	502
HNEAP_RS00050	HNEAP_RS00050	ABC transporter permease	HNEAP_RS00050 ABC transporter permease	3452	2815
HNEAP_RS00055	HNEAP_RS00055	ABC transporter	HNEAP_RS00055 ABC transporter	1724	1414
HNEAP_RS00060	HNEAP_RS00060	arylesterase	HNEAP_RS00060 arylesterase	1088	868
HNEAP_RS00065	HNEAP_RS00065	DUF559 domain-containing protein	HNEAP_RS00065 DUF559 domain-containing protein	734	601
HNEAP_RS00070	HNEAP_RS00070	IS110 family transposase	HNEAP_RS00070 IS110 family transposase	2363	1919
HNEAP_RS00075	HNEAP_RS00075	prepilin-type cleavage/methylation domain-containing protein	HNEAP_RS00075 prepilin-type cleavage/methylation domain-containing protein	879	634
HNEAP_RS00080	HNEAP_RS00080	Tfp pilus assembly protein FimT-like protein	HNEAP_RS00080 Tfp pilus assembly protein FimT-like protein	3296	2294
HNEAP_RS00085	HNEAP_RS00085	type IV pilus modification protein PilV	HNEAP_RS00085 type IV pilus modification protein PilV	3860	2805
HNEAP_RS00090	HNEAP_RS00090	prepilin-type cleavage/methylation domain-containing protein	HNEAP_RS00090 prepilin-type cleavage/methylation domain-containing protein	4824	3551
HNEAP_RS00095	HNEAP_RS00095	hypothetical protein	HNEAP_RS00095 hypothetical protein	3264	2526
HNEAP_RS00100	HNEAP_RS00100	type 4 fimbrial biogenesis protein PilY1	HNEAP_RS00100 type 4 fimbrial biogenesis protein PilY1	26739	18703
HNEAP_RS00105	HNEAP_RS00105	PilE protein	HNEAP_RS00105 PilE protein	3206	2391
HNEAP_RS00110	HNEAP_RS00110	pilus assembly protein	HNEAP_RS00110 pilus assembly protein	949	739
