locusId	sysName	desc	setAS10 1-5	setAS11 5
GFF1190		hypothetical protein	0.00370383441243249	-0.0272519297386055
GFF1209		hypothetical protein	0.227849900567257	-0.0373948625768399
GFF1357		hypothetical protein	-1.03107281755371	-1.22032282348152
GFF1439		multidrug efflux protein	-0.161342944056191	-0.110441836279564
GFF1496		hypothetical protein	-0.0531795290028024	-0.0288392175686979
GFF160		2-isopropylmalate synthase	-0.0179779445518067	-0.0464571555315406
GFF1606		hypothetical protein	-0.00552745435155189	-0.0175797802576826
GFF1629		hypothetical protein	0.0820308285005333	0.180311554725282
GFF1704		hypothetical protein	0.0641112125706322	0.100137145384935
GFF1835		cytochrome C	-0.0720571388224623	-0.157337920792639
GFF2046		hypothetical protein	-0.108409297451756	-0.141311152735258
GFF2212		hypothetical protein	-0.0686267255767891	0.0986968840734466
GFF2252		IS66 family transposase	0.118870893174914	0.0841569846225405
GFF2279		IS3 family transposase	-0.011805197941273	0.0680822091305647
GFF2280		IS3 family transposase	-0.0387155095866999	-0.00654831049213511
GFF365		IS66 family transposase	-0.0561569996938964	-0.0531765143557254
GFF366		IS66 family transposase	9.8898548315407e-05	0.0959226794774922
GFF371		Killer protein	-0.0640773086059431	0.00698548817907235
GFF455		integrase	-0.0370689568032722	-0.0960322905438238
GFF511		pilus assembly protein PilG	0.528245630348798	0.498322004706321
GFF559		hypothetical protein	-0.310858916237699	-0.0294272422477784
GFF718		flagellar biosynthesis protein FlhA	-0.000730988279709854	0.00477551800741594
GFF782		hypothetical protein	0.135476127642924	0.128950326632973
GFF824		hypothetical protein	0.0158288886239561	-0.122482371065386
GFF879		hypothetical protein	0.248358220540784	0.175771776273537
GFF880		IS3 family transposase	0.11817122248396	0.016137681358981
GFF881		GNAT family N-acetyltransferase	0.102100846510215	0.152977546109203
GFF94		hypothetical protein	-0.0348927737021498	0.0868975150380411
GFF951		IS3 family transposase	0.00228113567580635	-0.0989152652041915
HNEAP_RS00025	HNEAP_RS00025	DNA replication and repair protein RecF	-0.253436854745736	-0.20470847659756
HNEAP_RS00035	HNEAP_RS00035	LemA family protein	-0.178071016618239	0.0282303796592676
HNEAP_RS00040	HNEAP_RS00040	hypothetical protein	0.0625922153753693	0.0471343199636852
HNEAP_RS00045	HNEAP_RS00045	exodeoxyribonuclease III	-0.00795349987109606	-0.0588295356829741
HNEAP_RS00050	HNEAP_RS00050	ABC transporter permease	-0.104524942230095	-0.0771252126388196
HNEAP_RS00055	HNEAP_RS00055	ABC transporter	-0.0334038048114742	-0.057201863204339
HNEAP_RS00060	HNEAP_RS00060	arylesterase	-0.0243824502690146	-0.0124147757955049
HNEAP_RS00065	HNEAP_RS00065	DUF559 domain-containing protein	0.0352410876895162	-0.0168853659379494
HNEAP_RS00070	HNEAP_RS00070	IS110 family transposase	-0.0393206511296285	-0.0746322383938021
HNEAP_RS00075	HNEAP_RS00075	prepilin-type cleavage/methylation domain-containing protein	0.171764246133008	0.185337769219717
HNEAP_RS00080	HNEAP_RS00080	Tfp pilus assembly protein FimT-like protein	0.116525822087328	0.0713797489948593
HNEAP_RS00085	HNEAP_RS00085	type IV pilus modification protein PilV	0.404507300796012	0.234020481112539
HNEAP_RS00090	HNEAP_RS00090	prepilin-type cleavage/methylation domain-containing protein	0.372553327270564	0.267005165885737
HNEAP_RS00095	HNEAP_RS00095	hypothetical protein	0.365569721847389	0.317404528600205
HNEAP_RS00100	HNEAP_RS00100	type 4 fimbrial biogenesis protein PilY1	0.144648825984529	0.131517336012531
HNEAP_RS00105	HNEAP_RS00105	PilE protein	0.127904739958624	0.0269719809201146
HNEAP_RS00110	HNEAP_RS00110	pilus assembly protein	-0.0132094710411059	-0.0562909004712674
HNEAP_RS00115	HNEAP_RS00115	DUF559 domain-containing protein	-0.232027755364137	-0.479408888181379
HNEAP_RS00120	HNEAP_RS00120	excinuclease ABC subunit UvrA	-0.218872938382406	-0.154457869951831
HNEAP_RS00130	HNEAP_RS00130	gamma-glutamyltransferase	0.0255653133690379	0.043802739741491
HNEAP_RS00135	HNEAP_RS00135	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	0.0252747247592985	-0.0338387279387405
HNEAP_RS00140	HNEAP_RS00140	metallophosphoesterase	0.0506300316750886	0.0657489868435402
HNEAP_RS00145	HNEAP_RS00145	ketohexokinase	-2.43897912305488	-1.86262606427518
HNEAP_RS00150	HNEAP_RS00150	GGDEF domain-containing protein	-0.0868029383337642	-0.153684572121199
HNEAP_RS00155	HNEAP_RS00155	BolA family transcriptional regulator	0.071873747787278	-0.0681694281162322
HNEAP_RS00160	HNEAP_RS00160	HDOD domain-containing protein	-0.0445277299684663	0.0373862725887418
HNEAP_RS00165	HNEAP_RS00165	bifunctional (p)ppGpp synthetase/guanosine-3' 5'-bis(diphosphate) 3'-pyrophosphohydrolase	-1.12901949767044	-1.14526080548739
HNEAP_RS00170	HNEAP_RS00170	DNA-directed RNA polymerase subunit omega	-0.448341229242407	-0.589560536802264
