locusId	sysName	desc	setAS10 1-5	setAS11 5
GFF1190		hypothetical protein	0.108711312782357	0.0716089915063882
GFF1209		hypothetical protein	0.337870649504494	0.0632346887580644
GFF1357		hypothetical protein	-0.934106813406035	-1.14679625105449
GFF1439		multidrug efflux protein	-0.0590361603786829	-0.0302694394912842
GFF1496		hypothetical protein	0.050354548870615	0.0580431419245425
GFF160		2-isopropylmalate synthase	-0.0364002397451674	-0.0727172899564819
GFF1606		hypothetical protein	0.104866609735338	0.081103875645944
GFF1629		hypothetical protein	0.185564906373951	0.273535954759935
GFF1704		hypothetical protein	0.147205997909234	0.182003393230319
GFF1835		cytochrome C	-0.0625942734049368	-0.150895835108236
GFF2046		hypothetical protein	-0.141728561557885	-0.18271441336239
GFF2212		hypothetical protein	-0.0710952299666666	0.0709952835731946
GFF2252		IS66 family transposase	0.107011955391295	0.0547277255623024
GFF2279		IS3 family transposase	-0.0196927400754979	0.0386529500703267
GFF2280		IS3 family transposase	-0.0466030517209247	-0.0359775695523731
GFF365		IS66 family transposase	-0.0865159059072851	-0.0739257442175395
GFF366		IS66 family transposase	-0.0302600076650734	0.0751734496156781
GFF371		Killer protein	-0.0944362148193319	-0.0137186090791467
GFF455		integrase	-0.069922101942732	-0.113907257394314
GFF511		pilus assembly protein PilG	0.508828476270932	0.490772190732715
GFF559		hypothetical protein	-0.32394432462095	-0.0257301800162935
GFF718		flagellar biosynthesis protein FlhA	0.0679991577570028	0.0685450588619806
GFF782		hypothetical protein	0.234712660706933	0.21450213434136
GFF824		hypothetical protein	0.12391077148636	-0.0204621208186162
GFF879		hypothetical protein	0.361925664100771	0.290600896815586
GFF880		IS3 family transposase	0.231738666043946	0.137492276978787
GFF881		GNAT family N-acetyltransferase	0.215135755560379	0.274332141729009
GFF94		hypothetical protein	-0.0533150688955105	0.0606373806130998
GFF951		IS3 family transposase	0.116237185154987	0.0300737773741111
HNEAP_RS00025	HNEAP_RS00025	DNA replication and repair protein RecF	-0.271859149939097	-0.230968611022502
HNEAP_RS00035	HNEAP_RS00035	LemA family protein	-0.1964933118116	0.00197024523432632
HNEAP_RS00040	HNEAP_RS00040	hypothetical protein	0.0441699201820086	0.0208741855387439
HNEAP_RS00045	HNEAP_RS00045	exodeoxyribonuclease III	-0.0263757950644568	-0.0850896701079154
HNEAP_RS00050	HNEAP_RS00050	ABC transporter permease	-0.122947237423456	-0.103385347063761
HNEAP_RS00055	HNEAP_RS00055	ABC transporter	-0.0518261000048349	-0.0834619976292802
HNEAP_RS00060	HNEAP_RS00060	arylesterase	-0.0428047454623753	-0.0386749102204462
HNEAP_RS00065	HNEAP_RS00065	DUF559 domain-containing protein	0.0168187924961555	-0.0431455003628907
