locusId	sysName	type	scaffoldId	begin	end	strand	name	desc	GC	nTA	used
HNEAP_RS00015	HNEAP_RS00015	1	NC_013422.1	159	1559	+	NA	chromosomal replication initiator protein DnaA	0.5353	30	FALSE
HNEAP_RS00020	HNEAP_RS00020	1	NC_013422.1	1623	2735	+	NA	DNA polymerase III subunit beta	0.5346	22	FALSE
HNEAP_RS00025	HNEAP_RS00025	1	NC_013422.1	2815	3840	+	NA	DNA replication and repair protein RecF	0.5536	16	TRUE
HNEAP_RS00030	HNEAP_RS00030	1	NC_013422.1	4029	6482	+	NA	DNA topoisomerase (ATP-hydrolyzing) subunit B	0.5534	49	FALSE
HNEAP_RS00035	HNEAP_RS00035	1	NC_013422.1	6658	7233	+	NA	LemA family protein	0.533	16	TRUE
HNEAP_RS00040	HNEAP_RS00040	1	NC_013422.1	7248	8171	+	NA	hypothetical protein	0.539	22	TRUE
HNEAP_RS00045	HNEAP_RS00045	1	NC_013422.1	8681	9454	+	NA	exodeoxyribonuclease III	0.5103	26	TRUE
HNEAP_RS00050	HNEAP_RS00050	1	NC_013422.1	9655	12165	-	NA	ABC transporter permease	0.5707	48	TRUE
HNEAP_RS00055	HNEAP_RS00055	1	NC_013422.1	12156	12896	-	NA	ABC transporter	0.5789	10	TRUE
HNEAP_RS00060	HNEAP_RS00060	1	NC_013422.1	13056	13742	+	NA	arylesterase	0.5546	16	TRUE
HNEAP_RS00065	HNEAP_RS00065	1	NC_013422.1	14129	14500	-	NA	DUF559 domain-containing protein	0.5188	9	TRUE
HNEAP_RS00070	HNEAP_RS00070	1	NC_013422.1	14569	15519	-	NA	IS110 family transposase	0.5741	13	TRUE
HNEAP_RS00075	HNEAP_RS00075	1	NC_013422.1	16642	17178	-	NA	prepilin-type cleavage/methylation domain-containing protein	0.5047	11	TRUE
HNEAP_RS00080	HNEAP_RS00080	1	NC_013422.1	17753	18331	+	NA	Tfp pilus assembly protein FimT-like protein	0.5268	23	TRUE
HNEAP_RS00085	HNEAP_RS00085	1	NC_013422.1	18315	18794	+	NA	type IV pilus modification protein PilV	0.5792	12	TRUE
HNEAP_RS00090	HNEAP_RS00090	1	NC_013422.1	18791	19822	+	NA	prepilin-type cleavage/methylation domain-containing protein	0.5407	35	TRUE
HNEAP_RS00095	HNEAP_RS00095	1	NC_013422.1	19825	20643	+	NA	hypothetical protein	0.5495	15	TRUE
HNEAP_RS00100	HNEAP_RS00100	1	NC_013422.1	20656	24519	+	NA	type 4 fimbrial biogenesis protein PilY1	0.5005	173	TRUE
HNEAP_RS00105	HNEAP_RS00105	1	NC_013422.1	24658	25152	+	NA	PilE protein	0.5394	19	TRUE
HNEAP_RS00110	HNEAP_RS00110	1	NC_013422.1	25490	26074	+	NA	pilus assembly protein	0.5556	9	TRUE
HNEAP_RS00115	HNEAP_RS00115	1	NC_013422.1	26258	26629	+	NA	DUF559 domain-containing protein	0.4946	11	TRUE
HNEAP_RS00120	HNEAP_RS00120	1	NC_013422.1	26886	29708	-	NA	excinuclease ABC subunit UvrA	0.5912	48	TRUE
HNEAP_RS00125	HNEAP_RS00125	1	NC_013422.1	29824	30381	+	NA	single-stranded DNA-binding protein	0.5914	11	FALSE
HNEAP_RS00130	HNEAP_RS00130	1	NC_013422.1	30592	32391	-	NA	gamma-glutamyltransferase	0.5767	34	TRUE
HNEAP_RS00135	HNEAP_RS00135	1	NC_013422.1	32408	33346	-	NA	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	0.5634	27	TRUE
HNEAP_RS00140	HNEAP_RS00140	1	NC_013422.1	33737	34285	+	NA	metallophosphoesterase	0.5974	8	TRUE
HNEAP_RS00145	HNEAP_RS00145	1	NC_013422.1	34356	35618	+	NA	ketohexokinase	0.5764	22	TRUE
HNEAP_RS00150	HNEAP_RS00150	1	NC_013422.1	35755	38121	+	NA	GGDEF domain-containing protein	0.5758	27	TRUE
HNEAP_RS00155	HNEAP_RS00155	1	NC_013422.1	38154	38462	+	NA	BolA family transcriptional regulator	0.5793	4	TRUE
HNEAP_RS00160	HNEAP_RS00160	1	NC_013422.1	38491	39528	+	NA	HDOD domain-containing protein	0.5694	17	TRUE
HNEAP_RS00165	HNEAP_RS00165	1	NC_013422.1	39572	41770	-	NA	bifunctional (p)ppGpp synthetase/guanosine-3' 5'-bis(diphosphate) 3'-pyrophosphohydrolase	0.5789	30	TRUE
HNEAP_RS00170	HNEAP_RS00170	1	NC_013422.1	41772	42095	-	NA	DNA-directed RNA polymerase subunit omega	0.5772	3	TRUE
HNEAP_RS00175	HNEAP_RS00175	1	NC_013422.1	42146	42775	-	NA	guanylate kinase	0.5794	9	FALSE
HNEAP_RS00180	HNEAP_RS00180	1	NC_013422.1	42782	43396	-	NA	DedA family protein	0.5707	11	TRUE
HNEAP_RS00185	HNEAP_RS00185	1	NC_013422.1	43484	43954	-	NA	glycine zipper 2TM domain-containing protein	0.6178	11	TRUE
HNEAP_RS00190	HNEAP_RS00190	1	NC_013422.1	44187	44936	+	NA	membrane protein	0.5427	18	TRUE
HNEAP_RS00195	HNEAP_RS00195	1	NC_013422.1	44946	45716	-	NA	exodeoxyribonuclease III	0.5551	17	TRUE
HNEAP_RS00200	HNEAP_RS00200	1	NC_013422.1	46091	47482	-	NA	hypothetical protein	0.5338	27	TRUE
HNEAP_RS00205	HNEAP_RS00205	1	NC_013422.1	48094	50388	+	NA	hypothetical protein	0.5712	60	TRUE
HNEAP_RS00210	HNEAP_RS00210	1	NC_013422.1	50405	51196	-	NA	TIGR01458 family HAD-type hydrolase	0.5934	13	TRUE
HNEAP_RS00215	HNEAP_RS00215	1	NC_013422.1	51408	52196	-	NA	competence/damage-inducible protein A	0.5805	10	TRUE
HNEAP_RS00220	HNEAP_RS00220	1	NC_013422.1	52193	53305	-	NA	ferrochelatase	0.5732	27	FALSE
HNEAP_RS00225	HNEAP_RS00225	1	NC_013422.1	53431	54390	+	NA	thioredoxin-disulfide reductase	0.5594	13	FALSE
HNEAP_RS00230	HNEAP_RS00230	1	NC_013422.1	54484	54804	+	NA	hypothetical protein	0.6012	4	TRUE
HNEAP_RS00235	HNEAP_RS00235	1	NC_013422.1	54801	55673	+	NA	hypothetical protein	0.6174	14	TRUE
HNEAP_RS00240	HNEAP_RS00240	1	NC_013422.1	55687	56304	-	NA	5'-deoxynucleotidase	0.5485	12	TRUE
HNEAP_RS00245	HNEAP_RS00245	1	NC_013422.1	56333	57763	-	NA	deoxyguanosinetriphosphate triphosphohydrolase	0.5947	16	TRUE
HNEAP_RS00250	HNEAP_RS00250	1	NC_013422.1	57863	58720	+	NA	NAD(P)-dependent oxidoreductase	0.6131	5	TRUE
HNEAP_RS00255	HNEAP_RS00255	1	NC_013422.1	58846	60408	+	NA	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase PurH	0.6065	19	FALSE
HNEAP_RS00260	HNEAP_RS00260	1	NC_013422.1	60466	62061	+	NA	DNA recombination protein RmuC	0.5977	18	TRUE
HNEAP_RS00265	HNEAP_RS00265	1	NC_013422.1	62045	62242	-	NA	hypothetical protein	0.5101	0	TRUE
HNEAP_RS00270	HNEAP_RS00270	1	NC_013422.1	62254	63108	-	NA	metallophosphoesterase	0.5333	22	TRUE
HNEAP_RS00275	HNEAP_RS00275	1	NC_013422.1	63522	63998	+	NA	hypothetical protein	0.499	14	TRUE
HNEAP_RS00280	HNEAP_RS00280	1	NC_013422.1	64169	64549	+	NA	hypothetical protein	0.5249	9	TRUE
HNEAP_RS00285	HNEAP_RS00285	1	NC_013422.1	64607	67444	+	NA	bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase	0.5648	41	TRUE
HNEAP_RS00290	HNEAP_RS00290	1	NC_013422.1	67499	67957	+	NA	hypothetical protein	0.5882	6	TRUE
HNEAP_RS00295	HNEAP_RS00295	1	NC_013422.1	68056	68586	+	NA	molecular chaperone Skp	0.5593	10	TRUE
HNEAP_RS00300	HNEAP_RS00300	1	NC_013422.1	68944	69192	+	NA	phosphopantetheine-binding protein	0.5141	4	TRUE
HNEAP_RS00305	HNEAP_RS00305	1	NC_013422.1	69189	70436	+	NA	3-oxoacyl-ACP synthase	0.625	16	TRUE
HNEAP_RS00310	HNEAP_RS00310	1	NC_013422.1	70516	70800	+	NA	acyl carrier protein	0.5123	3	TRUE
HNEAP_RS12050	HNEAP_RS12050	1	NC_013422.1	70809	71507	+	NA	membrane protein-like protein	0.5851	15	TRUE
HNEAP_RS00320	HNEAP_RS00320	1	NC_013422.1	71516	73297	+	NA	AMP-dependent synthetase and ligase	0.5881	30	TRUE
HNEAP_RS00325	HNEAP_RS00325	1	NC_013422.1	73294	74238	+	NA	acyl-CoA synthetase	0.5831	15	TRUE
HNEAP_RS00330	HNEAP_RS00330	1	NC_013422.1	74238	74837	+	NA	outer membrane lipoprotein carrier protein LolA	0.5767	9	TRUE
HNEAP_RS00335	HNEAP_RS00335	1	NC_013422.1	74834	77248	+	NA	MMPL domain-containing protein	0.5925	39	TRUE
HNEAP_RS00340	HNEAP_RS00340	1	NC_013422.1	77245	77697	+	NA	hypothetical protein	0.6004	5	TRUE
HNEAP_RS00345	HNEAP_RS00345	1	NC_013422.1	78057	79043	+	NA	2-hydroxyacid dehydrogenase	0.5755	20	TRUE
